response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
Bulmer effect,2 - 8,20X,Chr,200,3,CV,0.680575110441161,0.055391160938506,Inf,12.2867096285763,1.06763833352853e-34
Bulmer effect,2 - 8,2X,Chr,200,3,CV,0.741690951333777,0.0553911609385042,Inf,13.3900596912422,6.91251713131485e-41
Bulmer effect,2 - 8,20X,Peri,200,3,CV,0.722072641446362,0.0553911609385045,Inf,13.0358820651549,7.64774230811451e-39
Bulmer effect,2 - 8,2X,Peri,200,3,CV,0.715072877210608,0.0553911609385045,Inf,12.9095123679478,3.97812265713021e-38
Bulmer effect,2 - 8,20X,WT,200,3,CV,0.794028489899818,0.0553911609385051,Inf,14.3349313581158,1.32377368926892e-46
Bulmer effect,2 - 8,2X,WT,200,3,CV,0.800784055174683,0.0553911609385048,Inf,14.4568924284456,2.26809135516379e-47
Bulmer effect,2 - 8,20X,Chr,200,4,CV,0.319454625512078,0.0553911609385049,Inf,5.76724914407797,8.05758916936199e-09
Bulmer effect,2 - 8,2X,Chr,200,4,CV,0.306771568228625,0.0553911609385045,Inf,5.53827655948941,3.05462635770585e-08
Bulmer effect,2 - 8,20X,Peri,200,4,CV,0.320846388957285,0.0553911609385048,Inf,5.79237523679073,6.93978761608027e-09
Bulmer effect,2 - 8,2X,Peri,200,4,CV,0.323330610228463,0.0553911609385043,Inf,5.83722393158409,5.30777381000144e-09
Bulmer effect,2 - 8,20X,WT,200,4,CV,0.334463857920998,0.0553911609385051,Inf,6.03821714970585,1.5582627730991e-09
Bulmer effect,2 - 8,2X,WT,200,4,CV,0.309034291885602,0.0553911609385052,Inf,5.57912646439546,2.41729450760181e-08
Bulmer effect,2 - 8,20X,Chr,2,3,GW,0.164234964609192,0.0553911609385067,Inf,2.9650031128887,0.00302679866811672
Bulmer effect,2 - 8,2X,Chr,2,3,GW,0.112356967274728,0.0553911609385074,Inf,2.02842773776598,0.042516611536057
Bulmer effect,2 - 8,20X,Peri,2,3,GW,0.149597744624621,0.0555310555676483,Inf,2.69394743347496,0.00706113000768119
Bulmer effect,2 - 8,2X,Peri,2,3,GW,0.149621327106967,0.0553911609385076,Inf,2.70117694902746,0.00690945672725587
Bulmer effect,2 - 8,20X,WT,2,3,GW,0.139583454053997,0.0556734426483603,Inf,2.50718201379465,0.0121698026598899
Bulmer effect,2 - 8,20X,Chr,200,3,GW,0.559294454676516,0.0553911609385092,Inf,10.0971787772674,5.68542782623949e-24
Bulmer effect,2 - 8,2X,Chr,200,3,GW,0.606157964476177,0.0553911609385078,Inf,10.943225493127,7.16061355355595e-28
Bulmer effect,2 - 8,20X,Peri,200,3,GW,0.61426458442069,0.0553911609385079,Inf,11.0895777234677,1.40951550087492e-28
Bulmer effect,2 - 8,2X,Peri,200,3,GW,0.665967942749513,0.0553911609385076,Inf,12.0230002669349,2.69022639758533e-33
Bulmer effect,2 - 8,20X,WT,200,3,GW,0.625697850051554,0.0553911609385085,Inf,11.2959872920187,1.37351785719878e-29
Bulmer effect,2 - 8,2X,WT,200,3,GW,0.745048729926091,0.0553911609385084,Inf,13.4506790849391,3.05057785756879e-41
Bulmer effect,2 - 8,20X,Chr,2,4,GW,0.268584740213091,0.0553911609385076,Inf,4.84887364089119,1.24164478166597e-06
Bulmer effect,2 - 8,2X,Chr,2,4,GW,0.25801727041769,0.0553911609385076,Inf,4.65809464986891,3.1914947923605e-06
Bulmer effect,2 - 8,20X,Peri,2,4,GW,0.138222643953648,0.0555310553860167,Inf,2.48910529419641,0.0128065031269091
Bulmer effect,2 - 8,2X,Peri,2,4,GW,0.178281434253465,0.0555310555676478,Inf,3.21048163826605,0.00132512734214184
Bulmer effect,2 - 8,20X,WT,2,4,GW,0.263699486345053,0.0555310555676486,Inf,4.74868492322843,2.0474362601705e-06
Bulmer effect,2 - 8,2X,WT,2,4,GW,0.18946232430831,0.0553911609385077,Inf,3.42044328189187,0.000625191710058578
Bulmer effect,2 - 8,20X,Chr,200,4,GW,0.213970476746124,0.0553911609385085,Inf,3.86289929874659,0.000112049205638493
Bulmer effect,2 - 8,2X,Chr,200,4,GW,0.209547196602904,0.0553911609385091,Inf,3.7830439559757,0.000154922042348662
Bulmer effect,2 - 8,20X,Peri,200,4,GW,0.264669754584279,0.0553911609385079,Inf,4.77819475345715,1.76876021986183e-06
Bulmer effect,2 - 8,2X,Peri,200,4,GW,0.243676441649761,0.0553911609385078,Inf,4.39919361719602,1.08653856186451e-05
Bulmer effect,2 - 8,20X,WT,200,4,GW,0.25393834132968,0.0553911609385076,Inf,4.5844560219922,4.55169872339078e-06
Bulmer effect,2 - 8,2X,WT,200,4,GW,0.26605332853366,0.0553911609385081,Inf,4.80317299774626,1.56170842499958e-06
