response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
Bulmer effect,2 - 200,Peri,20X,2,3,CV,0.602958933383252,0.279898287380076,Inf,2.1542072980407,0.0312239187963417
Bulmer effect,2 - 200,WT,2X,2,3,CV,0.562614188909187,0.229650524160523,Inf,2.44987112903747,0.0142907351956833
Bulmer effect,2 - 200,Chr,20X,2,4,CV,1.36289241435812,0.279898287379944,Inf,4.86924170603476,1.12027310953974e-06
Bulmer effect,2 - 200,Peri,20X,2,4,CV,1.33416323649213,0.229650488351535,Inf,5.80953798996444,6.26454781304445e-09
Bulmer effect,2 - 200,WT,20X,2,4,CV,1.36494497469336,0.393896107509037,Inf,3.46524108431827,0.000529756353122636
Bulmer effect,2 - 200,Peri,2X,2,4,CV,1.22225369461557,0.279898199327138,Inf,4.36677941320739,1.26091955066651e-05
Bulmer effect,2 - 200,Peri,2X,8,4,CV,1.69349576540101,0.393896107508863,Inf,4.29934628222469,1.71302641029172e-05
Bulmer effect,2 - 200,Chr,20X,2,3,GW,0.260590269223845,0.0553911609385056,Inf,4.70454608295984,2.54431394192869e-06
Bulmer effect,2 - 200,Peri,20X,2,3,GW,0.334445614992086,0.0555310555676465,Inf,6.02267706913429,1.71555520229699e-09
Bulmer effect,2 - 200,WT,20X,2,3,GW,0.403677237585733,0.0553911609385045,Inf,7.28775549647529,3.1516125280844e-13
Bulmer effect,2 - 200,Chr,2X,2,3,GW,0.363897773610818,0.0553911609385051,Inf,6.5696000489106,5.04505871886827e-11
Bulmer effect,2 - 200,Peri,2X,2,3,GW,0.322465793545916,0.0553911609385052,Inf,5.82161103111586,5.82830660319682e-09
Bulmer effect,2 - 200,WT,2X,2,3,GW,0.262920265838403,0.055391160938505,Inf,4.74661049495416,2.06853744660311e-06
Bulmer effect,2 - 200,Chr,20X,8,3,GW,0.655649759291169,0.0553911609385041,Inf,11.8367217473394,2.52116168808093e-32
Bulmer effect,2 - 200,Peri,20X,8,3,GW,0.799112454788155,0.0553911609385039,Inf,14.4267143213579,3.51428122407481e-47
Bulmer effect,2 - 200,WT,20X,8,3,GW,0.889791633583291,0.0556734426483552,Inf,15.9823354054714,1.69668283724816e-57
Bulmer effect,2 - 200,Chr,2X,8,3,GW,0.857698770812267,0.0553911609385037,Inf,15.4843978042724,4.42183584766485e-54
Bulmer effect,2 - 200,Peri,2X,8,3,GW,0.838812409188461,0.0553911609385027,Inf,15.1434343490244,8.37248200004109e-52
Bulmer effect,2 - 200,WT,2X,8,3,GW,0.981801697096517,0.0553911609385027,Inf,17.7248802960918,2.69486213136951e-70
Bulmer effect,2 - 200,Chr,20X,2,4,GW,1.11131311468274,0.055391160938506,Inf,20.0630045634266,1.5540419376559e-89
Bulmer effect,2 - 200,Peri,20X,2,4,GW,1.00142130074838,0.0555310553860127,Inf,18.0335362579948,1.06272412973143e-72
Bulmer effect,2 - 200,WT,20X,2,4,GW,1.02589597792325,0.0555310555676439,Inf,18.4742747537651,3.32667677427856e-76
Bulmer effect,2 - 200,Chr,2X,2,4,GW,1.11826592785141,0.0553911609385065,Inf,20.1885266332091,1.23492482317466e-90
Bulmer effect,2 - 200,Peri,2X,2,4,GW,1.10417043638101,0.0553911609385038,Inf,19.9340547782863,2.06162887408619e-88
Bulmer effect,2 - 200,WT,2X,2,4,GW,1.01750520083714,0.0553911609385046,Inf,18.3694507137479,2.30735070429708e-75
Bulmer effect,2 - 200,Chr,20X,8,4,GW,1.05669885121577,0.0553911609385052,Inf,19.0770302212823,3.91903719245257e-81
Bulmer effect,2 - 200,Peri,20X,8,4,GW,1.12786841137901,0.0553911609385018,Inf,20.3618843199771,3.64300314780443e-92
Bulmer effect,2 - 200,WT,20X,8,4,GW,1.01613483290788,0.0553911609385027,Inf,18.3447108833127,3.63857044149058e-75
Bulmer effect,2 - 200,Chr,2X,8,4,GW,1.06979585403662,0.055391160938505,Inf,19.3134759393165,4.13765289351873e-83
Bulmer effect,2 - 200,Peri,2X,8,4,GW,1.1695654437773,0.0555310555676422,Inf,21.061466089955,1.79532115272102e-98
Bulmer effect,2 - 200,WT,2X,8,4,GW,1.09409620506249,0.0553911609385009,Inf,19.7521804296038,7.68280783310695e-87
