response,contrast,Map_type,QTL,H2,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
Bulmer effect,20X - 2X,Chr,200,2,3,CV,0.143235254403069,0.055391160938506,Inf,2.58588648398406,0.00971289129703388
Bulmer effect,20X - 2X,Chr,200,8,3,CV,0.204351095295686,0.0553911609385055,Inf,3.68923654664963,0.000224928014655183
Bulmer effect,20X - 2X,Chr,200,2,4,CV,0.156188091750692,0.0553911609385054,Inf,2.81972952190134,0.00480641439875502
Bulmer effect,20X - 2X,Chr,200,8,4,CV,0.143505034467239,0.0553911609385055,Inf,2.59075693731273,0.00957651036524375
Bulmer effect,20X - 2X,Chr,2,2,3,GW,0.115247673614722,0.055391160938505,Inf,2.08061487901778,0.0374691708960744
Bulmer effect,20X - 2X,Chr,200,2,3,GW,0.218555178001695,0.0553911609385046,Inf,3.94566884496852,7.95775325501487e-05
Bulmer effect,20X - 2X,Chr,200,8,3,GW,0.265418687801355,0.0553911609385045,Inf,4.79171556082792,1.65361226793137e-06
Bulmer effect,20X - 2X,Peri,200,8,3,GW,0.129539175544688,0.0553911609385019,Inf,2.33862539347223,0.01935482940592
Bulmer effect,20X - 2X,Chr,2,2,4,GW,0.134590581304923,0.0553911609385056,Inf,2.42982055303631,0.0151063000175516
Bulmer effect,20X - 2X,Chr,200,2,4,GW,0.141543394473592,0.0553911609385047,Inf,2.55534262281907,0.0106083320268279
Bulmer effect,20X - 2X,Chr,2,8,4,GW,0.124023111509522,0.055391160938506,Inf,2.23904156201402,0.0251532120059974
Bulmer effect,20X - 2X,Chr,200,8,4,GW,0.137120114330371,0.0553911609385048,Inf,2.4754872800482,0.0133054501224572
