response,contrast,Matrix,Recombination,Map_type,QTL,H2,estimate,SE,df,z.ratio,p.value
Bulmer effect,3 - 4,GW,2X,Chr,2,2,0.118330712689495,0.0553911609385056,Inf,2.13627428428272,0.0326570636739551
Bulmer effect,3 - 4,GW,20X,Peri,2,2,0.202386004759977,0.0556706023926969,Inf,3.63541970198848,0.000277528431618269
Bulmer effect,3 - 4,GW,20X,WT,2,2,0.189948845966831,0.0555310555676457,Inf,3.42058770583684,0.000624859836565842
Bulmer effect,3 - 4,GW,2X,WT,2,2,0.142944183164773,0.0553911609385048,Inf,2.58063165210546,0.00986197452970452
Bulmer effect,3 - 4,CV,20X,Chr,200,2,0.879548891917502,0.0553911609385062,Inf,15.8788672599578,8.87669760899975e-57
Bulmer effect,3 - 4,GW,20X,Chr,200,2,0.94971065045819,0.0553911609385065,Inf,17.1455270907308,6.78805591060245e-66
Bulmer effect,3 - 4,CV,2X,Chr,200,2,0.892501729265125,0.0553911609385049,Inf,16.1127102978755,2.07716433329837e-58
Bulmer effect,3 - 4,GW,2X,Chr,200,2,0.872698866930087,0.0553911609385055,Inf,15.7552008685816,6.32580522181882e-56
Bulmer effect,3 - 4,CV,20X,Peri,200,2,0.825249069725742,0.0553911609385051,Inf,14.8985696588293,3.36710601854926e-50
Bulmer effect,3 - 4,GW,20X,Peri,200,2,0.869361690516268,0.0553911609385074,Inf,15.6949534147044,1.63762827963006e-55
Bulmer effect,3 - 4,CV,2X,Peri,200,2,0.810867250963427,0.0553911609385049,Inf,14.6389286164926,1.58546874007219e-48
Bulmer effect,3 - 4,GW,2X,Peri,200,2,0.870935803942946,0.0553911609385071,Inf,15.7233715485729,1.04605850632731e-55
Bulmer effect,3 - 4,CV,20X,WT,200,2,0.845316586790391,0.0553911609385042,Inf,15.2608570116245,1.39405292023137e-52
Bulmer effect,3 - 4,GW,20X,WT,200,2,0.812167586304346,0.0553911609385026,Inf,14.6624041190624,1.12227804238319e-48
Bulmer effect,3 - 4,CV,2X,WT,200,2,0.90638884981642,0.0553911609385046,Inf,16.3634203446773,3.48965451625365e-60
Bulmer effect,3 - 4,GW,2X,WT,200,2,0.89752911816351,0.0553911609385027,Inf,16.2034718708998,4.76587002643725e-59
Bulmer effect,3 - 4,GW,20X,Chr,2,8,0.203337580603193,0.0553911609385056,Inf,3.67093913826675,0.000241660884806187
Bulmer effect,3 - 4,GW,2X,Chr,2,8,0.263991015832458,0.0553911609385058,Inf,4.76594119638574,1.87974080803212e-06
Bulmer effect,3 - 4,GW,20X,Peri,2,8,0.191010904089004,0.0553911609385066,Inf,3.44840044607583,0.000563917307921879
Bulmer effect,3 - 4,GW,2X,Peri,2,8,0.117891268254355,0.055531055567647,Inf,2.12297906188262,0.0337556064519233
Bulmer effect,3 - 4,GW,20X,WT,2,8,0.314064878257887,0.0556734426483575,Inf,5.64119737019986,1.68871647121595e-08
Bulmer effect,3 - 4,GW,2X,WT,2,8,0.306239208805106,0.0553911609385051,Inf,5.52866565019446,3.22675652704174e-08
Bulmer effect,3 - 4,CV,20X,Chr,200,8,0.518428406988419,0.0553911609385056,Inf,9.35940677545953,8.01856262381765e-21
Bulmer effect,3 - 4,GW,20X,Chr,200,8,0.604386672527798,0.0553911609385064,Inf,10.9112476122096,1.01848863979477e-27
Bulmer effect,3 - 4,CV,2X,Chr,200,8,0.457582346159972,0.055391160938505,Inf,8.26092716612273,1.44545268827308e-16
Bulmer effect,3 - 4,GW,2X,Chr,200,8,0.476088099056814,0.0553911609385057,Inf,8.59501933143012,8.32507815130893e-18
Bulmer effect,3 - 4,CV,20X,Peri,200,8,0.424022817236665,0.0553911609385057,Inf,7.65506283046509,1.93217751862863e-14
Bulmer effect,3 - 4,GW,20X,Peri,200,8,0.519766860679857,0.0553911609385081,Inf,9.38357044469371,6.37756800936179e-21
Bulmer effect,3 - 4,CV,2X,Peri,200,8,0.419124983981282,0.0553911609385051,Inf,7.56664018012896,3.8300085275549e-14
Bulmer effect,3 - 4,GW,2X,Peri,200,8,0.448644302843195,0.0553911609385074,Inf,8.09956489883392,5.51560967439211e-16
Bulmer effect,3 - 4,CV,20X,WT,200,8,0.385751954811571,0.0553911609385042,Inf,6.96414280321434,3.30409326176108e-12
Bulmer effect,3 - 4,GW,20X,WT,200,8,0.440408077582473,0.0553911609385025,Inf,7.95087284903509,1.85201957546845e-15
Bulmer effect,3 - 4,CV,2X,WT,200,8,0.41463908652734,0.055391160938505,Inf,7.48565438062709,7.1191518053555e-14
Bulmer effect,3 - 4,GW,2X,WT,200,8,0.418533716771079,0.0553911609385045,Inf,7.55596578370575,4.15763142592149e-14
