response,contrast,Recombination,QTL,H2,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
Bulmer effect,Chr - Peri,20X,200,2,3,CV,0.212200601839906,0.0450292735313075,Inf,4.71250333835321,7.3054706188902e-06
Bulmer effect,Chr - WT,20X,200,2,3,CV,0.397969298071903,0.0450292735313071,Inf,8.83801284946804,2.26485497023532e-14
Bulmer effect,Peri - WT,20X,200,2,3,CV,0.185768696231997,0.0450292735313073,Inf,4.12550951111477,0.000109568172365959
Bulmer effect,Chr - Peri,2X,200,2,3,CV,0.170029312887649,0.0450292735313074,Inf,3.77597281842517,0.000467888208363521
Bulmer effect,Chr - WT,2X,200,2,3,CV,0.141968944939039,0.0450292735313071,Inf,3.15281446502427,0.00460786289274506
Bulmer effect,Chr - Peri,20X,2,8,3,CV,0.118771231068311,0.0450292735313075,Inf,2.6376448419878,0.0227237667313291
Bulmer effect,Chr - WT,2X,2,8,3,CV,-0.107271230701973,0.0450292735313073,Inf,-2.38225541496669,0.045316938820544
Bulmer effect,Chr - Peri,20X,200,8,3,CV,0.209493342113938,0.0450292735313073,Inf,4.65238112198911,9.79119825939012e-06
Bulmer effect,Chr - WT,20X,200,8,3,CV,0.378406883120546,0.0450292735313072,Inf,8.40357512890927,3.01980662698043e-14
Bulmer effect,Peri - WT,20X,200,8,3,CV,0.168913541006608,0.0450292735313072,Inf,3.75119400692015,0.00051623363893516
Bulmer effect,Chr - WT,2X,200,8,3,CV,0.128138997260711,0.0450292735313071,Inf,2.84568209104287,0.012324269533909
Bulmer effect,Chr - Peri,20X,200,2,4,CV,0.110506406179025,0.0450292735313073,Inf,2.45410146584296,0.037573839227692
Bulmer effect,Chr - WT,20X,200,2,4,CV,0.181077000901096,0.0450292735313073,Inf,4.02131739423244,0.000171036145102499
Bulmer effect,Chr - Peri,20X,200,8,4,CV,0.126475524503533,0.0450292735313072,Inf,2.80874006140915,0.0137831692761017
Bulmer effect,Chr - WT,20X,200,8,4,CV,0.195603008169264,0.0450292735313072,Inf,4.3439077033581,4.16154696337712e-05
Bulmer effect,Chr - WT,20X,2,2,3,GW,0.227919851963888,0.0450292735313071,Inf,5.06159291700373,1.24410002433351e-06
Bulmer effect,Peri - WT,20X,2,2,3,GW,0.180812459413194,0.0450292735313071,Inf,4.01544251624406,0.000175329395995516
Bulmer effect,Chr - Peri,20X,200,2,3,GW,0.166547713127279,0.0450292735313073,Inf,3.69865423237361,0.000634629531007236
Bulmer effect,Chr - WT,20X,200,2,3,GW,0.303685806670189,0.0450292735313072,Inf,6.74418623385179,4.61872762258508e-11
Bulmer effect,Peri - WT,20X,200,2,3,GW,0.13713809354291,0.0450292735313072,Inf,3.04553200147817,0.00656838420444383
Bulmer effect,Chr - Peri,20X,2,8,3,GW,0.236281357403776,0.0450292735313073,Inf,5.24728335311689,4.62235953624379e-07
Bulmer effect,Chr - WT,20X,2,8,3,GW,0.396250483408954,0.0450292735313073,Inf,8.79984179921212,2.27595720048157e-14
Bulmer effect,Peri - WT,20X,2,8,3,GW,0.159969126005178,0.0450292735313072,Inf,3.55255844609523,0.00111075868747068
Bulmer effect,Chr - WT,2X,2,8,3,GW,0.169543350464304,0.0450292735313071,Inf,3.76518067399927,0.000488398037998161
Bulmer effect,Chr - Peri,20X,200,8,3,GW,0.219328836484031,0.0450292735313073,Inf,4.87080557343523,3.32220416265905e-06
Bulmer effect,Chr - WT,20X,200,8,3,GW,0.415084877205082,0.0450292735313072,Inf,9.21811178935608,3.35287353436797e-14
Bulmer effect,Peri - WT,20X,200,8,3,GW,0.195756040721051,0.0450292735313072,Inf,4.34730621592084,4.0978103339806e-05
Bulmer effect,Chr - WT,2X,200,8,3,GW,0.1111854391269,0.0450292735313067,Inf,2.46918127714403,0.0361003088862923
Bulmer effect,Chr - Peri,20X,2,2,4,GW,0.12818789650261,0.0450292735313072,Inf,2.84676803443177,0.0122835461374964
Bulmer effect,Chr - WT,20X,2,2,4,GW,0.330129827035357,0.0450292735313072,Inf,7.33144910290035,7.03881397612349e-13
Bulmer effect,Peri - WT,20X,2,2,4,GW,0.201941930532747,0.0450292735313071,Inf,4.48468106846859,2.17515638637478e-05
Bulmer effect,Chr - WT,2X,2,2,4,GW,0.106364230317607,0.045029273531307,Inf,2.36211295400216,0.0477152498672605
Bulmer effect,Chr - WT,20X,200,2,4,GW,0.206022076092789,0.0450292735313071,Inf,4.57529202529883,1.41798368475943e-05
Bulmer effect,Chr - Peri,20X,2,8,4,GW,0.203259634557129,0.0450292735313072,Inf,4.51394434369033,1.89609747088815e-05
Bulmer effect,Chr - WT,20X,2,8,4,GW,0.464522005688827,0.0450292735313072,Inf,10.31600044282,3.00870439673417e-14
Bulmer effect,Peri - WT,20X,2,8,4,GW,0.261262371131698,0.0450292735313072,Inf,5.80205609912963,1.96402256680273e-08
Bulmer effect,Chr - Peri,20X,200,8,4,GW,0.143636284876747,0.0450292735313072,Inf,3.18984237613521,0.00406622296920123
Bulmer effect,Chr - WT,20X,200,8,4,GW,0.251701329886722,0.0450292735313073,Inf,5.58972664108655,6.81650367262421e-08
Bulmer effect,Peri - WT,20X,200,8,4,GW,0.108065045009974,0.0450292735313071,Inf,2.39988426495136,0.0433020802875127
