response,contrast,Recombination,Map_type,QTL,H2,Repulsion,estimate,SE,df,z.ratio,p.value
Bulmer effect,CV - GW,2X,Chr,2,2,3,0.200933352946382,0.0450292735313077,Inf,4.46228280380048,8.10911060867754e-06
Bulmer effect,CV - GW,2X,Peri,2,2,3,0.0939446092142001,0.0450292735313074,Inf,2.08630079605622,0.0369513846168048
Bulmer effect,CV - GW,20X,WT,2,2,3,0.169424641375824,0.0450292735313072,Inf,3.76254440920593,0.000168193430322612
Bulmer effect,CV - GW,2X,WT,2,2,3,0.247035598317891,0.0450292735313071,Inf,5.48611112160486,4.10878490288669e-08
Bulmer effect,CV - GW,2X,Chr,200,2,3,0.10543097533114,0.0450292735313072,Inf,2.34138743672685,0.0192122183475527
Bulmer effect,CV - GW,2X,Peri,200,2,3,-0.0884310059642204,0.0450292735313072,Inf,-1.96385593257989,0.0495468015108181
Bulmer effect,CV - GW,20X,WT,200,2,3,-0.121853972601199,0.0450292735313071,Inf,-2.70610567404511,0.00680773789305478
Bulmer effect,CV - GW,2X,Chr,2,8,3,-0.0918674371538005,0.0450292735313075,Inf,-2.0401714251492,0.0413332547423826
Bulmer effect,CV - GW,20X,WT,2,8,3,0.281143231156925,0.0450292735313072,Inf,6.24356577641556,4.27706323099431e-10
Bulmer effect,CV - GW,2X,WT,2,8,3,0.184947144012477,0.0450292735313071,Inf,4.10726466381676,4.00372371166928e-05
Bulmer effect,CV - GW,20X,Chr,200,8,3,-0.105481882620726,0.0450292735313074,Inf,-2.34251797438811,0.0191541113408647
Bulmer effect,CV - GW,20X,Peri,200,8,3,-0.0956463882506335,0.0450292735313073,Inf,-2.124093522942,0.0336623240148583
Bulmer effect,CV - GW,20X,Chr,2,2,4,0.160953156317089,0.0450292735313074,Inf,3.57441157040172,0.000351016418400512
Bulmer effect,CV - GW,2X,Chr,2,2,4,0.286092362024231,0.0450292735313074,Inf,6.35347496391032,2.10504462218372e-10
Bulmer effect,CV - GW,20X,Peri,2,2,4,0.298171249326854,0.0450292735313074,Inf,6.62172018208433,3.55042670453922e-11
Bulmer effect,CV - GW,2X,Peri,2,2,4,0.350304028239421,0.0450292735313072,Inf,7.77947323524702,7.28271507896795e-15
Bulmer effect,CV - GW,20X,WT,2,2,4,0.408425167762104,0.0450292735313071,Inf,9.07021445678312,1.18782991843925e-19
Bulmer effect,CV - GW,2X,WT,2,2,4,0.437431148096109,0.045029273531307,Inf,9.71437275780123,2.61856250947567e-22
Bulmer effect,CV - GW,2X,Chr,2,8,4,0.246771283947439,0.0450292735313072,Inf,5.48024128738981,4.24746181627574e-08
Bulmer effect,CV - GW,20X,Peri,2,8,4,0.164269296135517,0.0450292735313072,Inf,3.64805565919926,0.000264232403774355
Bulmer effect,CV - GW,2X,Peri,2,8,4,0.271803918172062,0.0450292735313071,Inf,6.03616040980736,1.57824371085119e-09
Bulmer effect,CV - GW,20X,WT,2,8,4,0.449408820454205,0.0450292735313071,Inf,9.98037021720434,1.85772329604441e-23
Bulmer effect,CV - GW,2X,WT,2,8,4,0.277647747625009,0.0450292735313067,Inf,6.16593886268171,7.00661540808074e-10
