response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
genetic gain,2 - 200,Chr,20X,2,3,CV,-0.52802108795842,0.0921274332564657,Inf,-5.73142080805081,9.95928447704957e-09
genetic gain,2 - 200,Peri,20X,2,3,CV,-0.697694077062274,0.0921274332564452,Inf,-7.57314138037667,3.64305450802622e-14
genetic gain,2 - 200,WT,20X,2,3,CV,-0.568341390196646,0.0921274332564454,Inf,-6.16907874351187,6.86890166285129e-10
genetic gain,2 - 200,Chr,2X,2,3,CV,-0.677412105326487,0.0921274332564489,Inf,-7.35299010709243,1.93821287795963e-13
genetic gain,2 - 200,Peri,2X,2,3,CV,-0.684279376108899,0.0921274332564458,Inf,-7.42753110470515,1.10643370082231e-13
genetic gain,2 - 200,WT,2X,2,3,CV,-0.400840876846046,0.0921274332564459,Inf,-4.35093937470575,1.35555531737762e-05
genetic gain,2 - 200,Chr,20X,8,3,CV,-3.54476887793906,0.092127433256449,Inf,-38.4768005863326,0
genetic gain,2 - 200,Peri,20X,8,3,CV,-3.35265639757639,0.0921274332564457,Inf,-36.3915098800587,5.7996685316377e-290
genetic gain,2 - 200,WT,20X,8,3,CV,-2.59991223660169,0.092127433256446,Inf,-28.2208257052443,3.24717784389163e-175
genetic gain,2 - 200,Chr,2X,8,3,CV,-2.95742664442538,0.0921274332564462,Inf,-32.1014766165587,4.20455767429754e-226
genetic gain,2 - 200,Peri,2X,8,3,CV,-2.84450655664249,0.0921274332564457,Inf,-30.8757821215373,2.52568903995174e-209
genetic gain,2 - 200,WT,2X,8,3,CV,-2.68292450200769,0.0921274332564459,Inf,-29.1218848411798,1.89701571002399e-186
genetic gain,2 - 200,Chr,20X,2,4,CV,-0.521255722606814,0.0921274332564489,Inf,-5.65798594600839,1.53159673719037e-08
genetic gain,2 - 200,Peri,20X,2,4,CV,-0.551248792366517,0.0921274332564455,Inf,-5.9835466253799,2.18330500089883e-09
genetic gain,2 - 200,WT,20X,2,4,CV,-0.246506571656717,0.092127433256446,Inf,-2.67571300907235,0.00745704698361139
genetic gain,2 - 200,Chr,2X,2,4,CV,-0.353614033637689,0.0921274332564465,Inf,-3.83831418219768,0.000123881909696461
genetic gain,2 - 200,Peri,2X,2,4,CV,-0.562621746451305,0.0921274332564458,Inf,-6.10699469815025,1.01524610108892e-09
genetic gain,2 - 200,WT,2X,2,4,CV,-0.434665201331384,0.0921274332564461,Inf,-4.71808652392875,2.38073244724986e-06
genetic gain,2 - 200,Chr,20X,8,4,CV,-3.69100857532629,0.0921274332564461,Inf,-40.064163787696,0
genetic gain,2 - 200,Peri,20X,8,4,CV,-3.29282213244576,0.0921274332564458,Inf,-35.7420370464448,8.79619999582444e-280
genetic gain,2 - 200,WT,20X,8,4,CV,-2.53901799122904,0.0921274332564461,Inf,-27.5598472841572,3.37250515485488e-167
genetic gain,2 - 200,Chr,2X,8,4,CV,-2.85204608225751,0.0921274332564459,Inf,-30.9576201294847,2.00630803195178e-210
genetic gain,2 - 200,Peri,2X,8,4,CV,-2.7202418212225,0.0921274332564454,Inf,-29.5269468069348,1.29851397415891e-191
genetic gain,2 - 200,WT,2X,8,4,CV,-2.38816577419296,0.0921274332564454,Inf,-25.9224173492957,3.72233442222412e-148
genetic gain,2 - 200,Chr,20X,2,3,GW,-0.938403408566611,0.0921274332564503,Inf,-10.1859280715488,2.29162691215493e-24
genetic gain,2 - 200,Peri,20X,2,3,GW,-1.079888737813,0.0921274332564455,Inf,-11.7216848406818,9.86894652751473e-32
genetic gain,2 - 200,WT,20X,2,3,GW,-1.07651334057563,0.0921274332564461,Inf,-11.6850464896709,1.51996376535636e-31
genetic gain,2 - 200,Chr,2X,2,3,GW,-0.957535149735696,0.0921274332564466,Inf,-10.3935941324914,2.65168394644375e-25
genetic gain,2 - 200,Peri,2X,2,3,GW,-0.989656562773901,0.0921274332564458,Inf,-10.7422569781044,6.44492386169551e-27
genetic gain,2 - 200,WT,2X,2,3,GW,-1.06720300775351,0.0921274332564462,Inf,-11.5839872015412,4.96803731670407e-31
genetic gain,2 - 200,Chr,20X,8,3,GW,-3.10795863067352,0.0921274332564463,Inf,-33.7354305966844,1.74863003002091e-249
genetic gain,2 - 200,Peri,20X,8,3,GW,-3.30355608464984,0.0921274332564457,Inf,-35.8585490540486,1.35322609787407e-281
genetic gain,2 - 200,WT,20X,8,3,GW,-2.74748934269269,0.0921274332564462,Inf,-29.8227058496764,1.98380837717551e-195
genetic gain,2 - 200,Chr,2X,8,3,GW,-2.98046740444011,0.092127433256446,Inf,-32.3515732403364,1.31841933793971e-229
genetic gain,2 - 200,Peri,2X,8,3,GW,-3.03537584301464,0.0921274332564454,Inf,-32.9475785411863,4.58210298912018e-238
genetic gain,2 - 200,WT,2X,8,3,GW,-2.9371484929065,0.0921274332564465,Inf,-31.8813668099342,4.83995967024387e-223
genetic gain,2 - 200,Chr,20X,2,4,GW,-0.416121228210285,0.0921274332564463,Inf,-4.51680040897231,6.27810287857474e-06
genetic gain,2 - 200,Peri,20X,2,4,GW,-0.547618043174343,0.0921274332564456,Inf,-5.9441365488822,2.77917863641359e-09
genetic gain,2 - 200,WT,20X,2,4,GW,-0.724419033873879,0.0921274332564461,Inf,-7.86322822928741,3.7435803211315e-15
genetic gain,2 - 200,Chr,2X,2,4,GW,-0.566670903354198,0.0921274332564462,Inf,-6.15094639375018,7.70219510092726e-10
genetic gain,2 - 200,Peri,2X,2,4,GW,-0.679369602850079,0.0921274332564455,Inf,-7.37423782294019,1.65287902810009e-13
genetic gain,2 - 200,WT,2X,2,4,GW,-0.668703818377775,0.0921274332564463,Inf,-7.25846574403487,3.91505507291053e-13
genetic gain,2 - 200,Chr,20X,8,4,GW,-2.57734812584463,0.092127433256446,Inf,-27.9759028851952,3.19202764535923e-172
genetic gain,2 - 200,Peri,20X,8,4,GW,-2.63050778331283,0.0921274332564453,Inf,-28.5529259888373,2.58355605171585e-179
genetic gain,2 - 200,WT,20X,8,4,GW,-2.21073775893806,0.0921274332564463,Inf,-23.9965196119623,3.02345667531799e-127
genetic gain,2 - 200,Chr,2X,8,4,GW,-2.47100418865608,0.0921274332564461,Inf,-26.8215894149334,1.80982757155275e-158
genetic gain,2 - 200,Peri,2X,8,4,GW,-2.3789131585297,0.0921274332564446,Inf,-25.8219845538059,5.02313253916893e-147
genetic gain,2 - 200,WT,2X,8,4,GW,-2.27462730285031,0.0921274332564467,Inf,-24.690010591293,1.36925544570428e-134
