response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
genetic gain,2 - 8,20X,Chr,2,3,CV,-0.705076246034556,0.0685167863192253,Inf,-10.2905621222447,7.77213064600852e-25
genetic gain,2 - 8,2X,Chr,2,3,CV,-0.825732533355467,0.0685167863192267,Inf,-12.0515362397223,1.90368447180754e-33
genetic gain,2 - 8,20X,Peri,2,3,CV,-0.748278129070156,0.0685167863192271,Inf,-10.9210920311389,9.13903010486719e-28
genetic gain,2 - 8,2X,Peri,2,3,CV,-0.764468708729553,0.0685167863192276,Inf,-11.1573929513828,6.58956682786629e-29
genetic gain,2 - 8,20X,WT,2,3,CV,-0.674011541676979,0.0685167863192281,Inf,-9.83717389395172,7.78674327687958e-23
genetic gain,2 - 8,2X,WT,2,3,CV,-0.676776155823928,0.0685167863192275,Inf,-9.87752333670104,5.21047520575185e-23
genetic gain,2 - 8,20X,Chr,200,3,CV,-2.22460379803398,0.0685167863192275,Inf,-32.4680113814635,3.0170570916144e-231
genetic gain,2 - 8,2X,Chr,200,3,CV,-1.91959791659366,0.0685167863192272,Inf,-28.0164616543753,1.02400416490007e-172
genetic gain,2 - 8,20X,Peri,200,3,CV,-2.10896826316991,0.0685167863192275,Inf,-30.7803149631682,4.8070581917126e-208
genetic gain,2 - 8,2X,Peri,200,3,CV,-1.81011227896536,0.0685167863192275,Inf,-26.4185227621716,8.3950934478562e-154
genetic gain,2 - 8,20X,WT,200,3,CV,-1.65944454467303,0.0685167863192276,Inf,-24.2195326695781,1.3853423029739e-129
genetic gain,2 - 8,2X,WT,200,3,CV,-1.87216010193444,0.0685167863192275,Inf,-27.3241084777653,2.19373923649926e-164
genetic gain,2 - 8,20X,Chr,2,4,CV,-0.794285546269025,0.0685167863192275,Inf,-11.5925686089298,4.49448566209087e-31
genetic gain,2 - 8,2X,Chr,2,4,CV,-0.786985991305086,0.0685167863192275,Inf,-11.4860318701818,1.55072784197834e-30
genetic gain,2 - 8,20X,Peri,2,4,CV,-0.7992107781818,0.0685167863192275,Inf,-11.6644521892516,1.93645467178651e-31
genetic gain,2 - 8,2X,Peri,2,4,CV,-0.802817467714239,0.0685167863192275,Inf,-11.7170916915721,1.04187641763269e-31
genetic gain,2 - 8,20X,WT,2,4,CV,-0.773978368273648,0.0685167863192275,Inf,-11.2961860859556,1.37041320149071e-29
genetic gain,2 - 8,2X,WT,2,4,CV,-0.792708988065452,0.0685167863192274,Inf,-11.5695587993887,5.87841739519498e-31
genetic gain,2 - 8,20X,Chr,200,4,CV,-2.28429352915396,0.0685167863192276,Inf,-33.339180832434,1.04526033571079e-243
genetic gain,2 - 8,2X,Chr,200,4,CV,-1.87503363736684,0.0685167863192276,Inf,-27.3660476227073,6.95759436730476e-165
genetic gain,2 - 8,20X,Peri,200,4,CV,-2.13135853289404,0.0685167863192275,Inf,-31.1071001340285,1.93081486047252e-212
genetic gain,2 - 8,2X,Peri,200,4,CV,-1.82036070065931,0.068516786319227,Inf,-26.5680981034057,1.58701794314278e-155
genetic gain,2 - 8,20X,WT,200,4,CV,-1.91639974739532,0.0685167863192276,Inf,-27.969784491447,3.78870163164203e-172
genetic gain,2 - 8,2X,WT,200,4,CV,-1.74147466726223,0.0685167863192277,Inf,-25.4167593200956,1.64627292240916e-142
genetic gain,2 - 8,20X,Chr,2,3,GW,-1.15614314443424,0.0685167863192275,Inf,-16.8738670702919,7.00561333773724e-64
genetic gain,2 - 8,2X,Chr,2,3,GW,-1.06502885287048,0.0685167863192269,Inf,-15.5440573045619,1.74572463206159e-54
genetic gain,2 - 8,20X,Peri,2,3,GW,-1.13225183216179,0.0685167863192273,Inf,-16.5251742381276,2.41740248854076e-61
