response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
genetic variance,2 - 200,Chr,20X,2,3,CV,-0.0660666562062134,0.00224470940633511,Inf,-29.4321643682507,2.12971342533555e-190
genetic variance,2 - 200,Peri,20X,2,3,CV,-0.0484913830694732,0.00224470940633546,Inf,-21.6025214366774,1.70074346335086e-103
genetic variance,2 - 200,WT,20X,2,3,CV,-0.0318182942134663,0.00224470940633545,Inf,-14.1747943514036,1.3122700614773e-45
genetic variance,2 - 200,Chr,2X,2,3,CV,-0.0378170419579782,0.00224470940633538,Inf,-16.8471882602019,1.10022734771059e-63
genetic variance,2 - 200,Peri,2X,2,3,CV,-0.0351940457506455,0.00224470940633545,Inf,-15.6786645306132,2.11657611996419e-55
genetic variance,2 - 200,WT,2X,2,3,CV,-0.0302294705900243,0.00224470940633544,Inf,-13.4669861963892,2.44649831763839e-41
genetic variance,2 - 200,Chr,20X,8,3,CV,-0.0410614702805072,0.0022447094063354,Inf,-18.2925550027173,9.48627228218574e-75
genetic variance,2 - 200,Peri,20X,8,3,CV,-0.0274868013300569,0.00224470940633545,Inf,-12.2451490836535,1.78349056053025e-34
genetic variance,2 - 200,WT,20X,8,3,CV,-0.018653806057202,0.00224470940633545,Inf,-8.31012067956487,9.56047950510934e-17
genetic variance,2 - 200,Chr,2X,8,3,CV,-0.0245094288085006,0.00224470940633544,Inf,-10.9187535541685,9.37738510148598e-28
genetic variance,2 - 200,Peri,2X,8,3,CV,-0.0205010981688484,0.00224470940633545,Inf,-9.13307446878703,6.6581034279511e-20
genetic variance,2 - 200,WT,2X,8,3,CV,-0.0179529411818902,0.00224470940633544,Inf,-7.99789101039985,1.26568326195145e-15
genetic variance,2 - 200,Chr,20X,2,4,CV,-0.0772375343699009,0.00224470940633541,Inf,-34.4087008108523,1.86871247281623e-259
genetic variance,2 - 200,Peri,20X,2,4,CV,-0.0577300930713039,0.00224470940633546,Inf,-25.7182924918329,7.29828336986566e-146
genetic variance,2 - 200,WT,20X,2,4,CV,-0.0299754641845134,0.00224470940633545,Inf,-13.35382838416,1.12514484028558e-40
genetic variance,2 - 200,Chr,2X,2,4,CV,-0.0478467388035389,0.00224470940633544,Inf,-21.3153375971503,8.18152623816845e-101
genetic variance,2 - 200,Peri,2X,2,4,CV,-0.0436632257928038,0.00224470940633545,Inf,-19.451616173376,2.82388814964146e-84
genetic variance,2 - 200,WT,2X,2,4,CV,-0.0332575898908304,0.00224470940633545,Inf,-14.8159890081828,1.15477018191613e-49
genetic variance,2 - 200,Chr,20X,8,4,CV,-0.0557109577247094,0.00224470940633545,Inf,-24.8187839225297,5.62120414547727e-136
genetic variance,2 - 200,Peri,20X,8,4,CV,-0.0345410580867161,0.00224470940633545,Inf,-15.3877637743343,1.97749199374475e-53
genetic variance,2 - 200,WT,20X,8,4,CV,-0.0199949852016712,0.00224470940633545,Inf,-8.90760520949281,5.21467093008568e-19
genetic variance,2 - 200,Chr,2X,8,4,CV,-0.0281042624331402,0.00224470940633544,Inf,-12.5202230425992,5.78722921818384e-36
genetic variance,2 - 200,Peri,2X,8,4,CV,-0.0226965391512704,0.00224470940633544,Inf,-10.1111257818994,4.93143095571559e-24
genetic variance,2 - 200,WT,2X,8,4,CV,-0.0194634115019477,0.00224470940633545,Inf,-8.67079339847476,4.2911970899092e-18
genetic variance,2 - 200,Chr,20X,2,3,GW,-0.0375986176859356,0.00224470940633542,Inf,-16.7498820024624,5.67387123323174e-63
genetic variance,2 - 200,Peri,20X,2,3,GW,-0.034051111775146,0.00224470940633546,Inf,-15.169496630183,5.6306980207646e-52
genetic variance,2 - 200,WT,20X,2,3,GW,-0.0214666453227401,0.00224470940633546,Inf,-9.56321796583231,1.14151005041508e-21
genetic variance,2 - 200,Chr,2X,2,3,GW,-0.0267652991048967,0.00224470940633546,Inf,-11.9237256409914,8.9036026261548e-33
genetic variance,2 - 200,Peri,2X,2,3,GW,-0.0331010605969008,0.00224470940633545,Inf,-14.7462564657486,3.25210367022499e-49
genetic variance,2 - 200,WT,2X,2,3,GW,-0.025988792286008,0.00224470940633545,Inf,-11.5777980938902,5.34000710584958e-31
genetic variance,2 - 200,Chr,20X,8,3,GW,-0.0463525230006293,0.00224470940633546,Inf,-20.6496764658286,9.82757476347428e-95
genetic variance,2 - 200,Peri,20X,8,3,GW,-0.0298433906793254,0.00224470940633545,Inf,-13.2949906990614,2.47504004804494e-40
genetic variance,2 - 200,WT,20X,8,3,GW,-0.0178621207620171,0.00224470940633545,Inf,-7.95743124326166,1.7564767061313e-15
genetic variance,2 - 200,Chr,2X,8,3,GW,-0.0240504649432702,0.00224470940633546,Inf,-10.7142888408586,8.72250214311083e-27
genetic variance,2 - 200,Peri,2X,8,3,GW,-0.0218971168015895,0.00224470940633546,Inf,-9.75498955000019,1.75618763257845e-22
genetic variance,2 - 200,WT,2X,8,3,GW,-0.01918837478437,0.00224470940633545,Inf,-8.54826675123869,1.24950669696969e-17
genetic variance,2 - 200,Chr,20X,2,4,GW,-0.0321886778564949,0.00224470940633546,Inf,-14.3397972876336,1.23415403763702e-46
genetic variance,2 - 200,Peri,20X,2,4,GW,-0.0302794302407236,0.00224470940633546,Inf,-13.4892428192545,1.8094932175232e-41
genetic variance,2 - 200,WT,20X,2,4,GW,-0.0168756762017505,0.00224470940633545,Inf,-7.51797811962683,5.56298093542996e-14
genetic variance,2 - 200,Chr,2X,2,4,GW,-0.0224525901639305,0.00224470940633545,Inf,-10.0024484686349,1.48674822416546e-23
genetic variance,2 - 200,Peri,2X,2,4,GW,-0.0251910171458064,0.00224470940633544,Inf,-11.2223956805757,3.16576318118555e-29
genetic variance,2 - 200,WT,2X,2,4,GW,-0.016628668385391,0.00224470940633545,Inf,-7.40793812261773,1.28278126459702e-13
genetic variance,2 - 200,Chr,20X,8,4,GW,-0.0460498321190031,0.00224470940633545,Inf,-20.5148301107628,1.58722128744717e-93
genetic variance,2 - 200,Peri,20X,8,4,GW,-0.0305595473353154,0.00224470940633545,Inf,-13.6140327336199,3.30492345978225e-42
genetic variance,2 - 200,WT,20X,8,4,GW,-0.0172386703177112,0.00224470940633544,Inf,-7.67968908093715,1.59475170518715e-14
genetic variance,2 - 200,Chr,2X,8,4,GW,-0.0273437520230038,0.00224470940633545,Inf,-12.1814217670354,3.90415938631709e-34
genetic variance,2 - 200,Peri,2X,8,4,GW,-0.0232254592823918,0.00224470940633544,Inf,-10.3467554494317,4.32908653651797e-25
genetic variance,2 - 200,WT,2X,8,4,GW,-0.0180945163949025,0.00224470940633543,Inf,-8.06096162996995,7.56965888449793e-16
