response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
genetic variance,2 - 8,20X,Chr,2,3,CV,0.019693501187483,0.00526981271420885,Inf,3.73704005350778,0.000186199271952094
genetic variance,2 - 8,2X,Chr,2,3,CV,0.0228390716278889,0.0052698127142089,Inf,4.33394370283944,1.46461643887495e-05
genetic variance,2 - 8,20X,Peri,2,3,CV,0.0181744179430437,0.00526981271420882,Inf,3.448778719221,0.000563127969244649
genetic variance,2 - 8,2X,Peri,2,3,CV,0.0183262866991847,0.00526981271420885,Inf,3.47759734416596,0.000505929306478017
genetic variance,2 - 8,20X,WT,2,3,CV,0.0177409516790266,0.00526981271420885,Inf,3.36652413304786,0.000761219212752888
genetic variance,2 - 8,2X,WT,2,3,CV,0.0196843987065058,0.00526981271420886,Inf,3.73531276613139,0.000187482027636271
genetic variance,2 - 8,20X,Chr,200,3,CV,0.0628088245844598,0.00526981271420889,Inf,11.9186065977468,9.46787525572049e-33
genetic variance,2 - 8,2X,Chr,200,3,CV,0.0637758071001504,0.00526981271420887,Inf,12.1021012621935,1.02941963077354e-33
genetic variance,2 - 8,20X,Peri,200,3,CV,0.0594298154716835,0.00526981271420885,Inf,11.2774056109137,1.69676325640163e-29
genetic variance,2 - 8,2X,Peri,200,3,CV,0.0455926384603451,0.00526981271420887,Inf,8.65166201019152,5.07547741385728e-18
genetic variance,2 - 8,20X,WT,200,3,CV,0.0425336989125503,0.00526981271420886,Inf,8.07119744462033,6.96120383512705e-16
genetic variance,2 - 8,2X,WT,200,3,CV,0.0527196417910609,0.00526981271420886,Inf,10.0040826211744,1.46240775473765e-23
genetic variance,2 - 8,20X,Chr,2,4,CV,0.0235557220055359,0.00526981271420887,Inf,4.46993532465077,7.82432533692394e-06
genetic variance,2 - 8,2X,Chr,2,4,CV,0.0223935578808143,0.00526981271420887,Inf,4.24940298550556,2.1434101327747e-05
genetic variance,2 - 8,20X,Peri,2,4,CV,0.0218393271651994,0.00526981271420885,Inf,4.14423212922058,3.40954241737492e-05
genetic variance,2 - 8,2X,Peri,2,4,CV,0.0213232017268417,0.00526981271420886,Inf,4.04629213280171,5.20352888290123e-05
genetic variance,2 - 8,20X,WT,2,4,CV,0.018074898463838,0.00526981271420886,Inf,3.42989389643831,0.000603817315237311
genetic variance,2 - 8,2X,WT,2,4,CV,0.0199798316214219,0.00526981271420886,Inf,3.79137413509039,0.000149816068047262
genetic variance,2 - 8,20X,Chr,200,4,CV,0.0607873361348722,0.00526981271420885,Inf,11.5350088193785,8.78781649358207e-31
genetic variance,2 - 8,2X,Chr,200,4,CV,0.0659652937452537,0.00526981271420886,Inf,12.5175783889612,5.98328905792851e-36
