response,contrast,Recombination,QTL,H2,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
genetic variance,Chr - Peri,20X,200,2,3,CV,0.0267335288488823,0.00526981271420888,Inf,5.07295615588032,1.1720927076686e-06
genetic variance,Chr - WT,20X,200,2,3,CV,0.062653550252878,0.00526981271420889,Inf,11.8891417305868,0
genetic variance,Peri - WT,20X,200,2,3,CV,0.0359200214039957,0.00526981271420886,Inf,6.81618557470658,2.80689915754806e-11
genetic variance,Chr - Peri,2X,200,2,3,CV,0.0203378436799479,0.00526981271420887,Inf,3.85931052637059,0.000334642114511619
genetic variance,Chr - WT,2X,200,2,3,CV,0.0249090073382874,0.00526981271420887,Inf,4.72673483653904,6.8126663366197e-06
genetic variance,Chr - Peri,20X,200,8,3,CV,0.023354519736106,0.00526981271420886,Inf,4.43175516904724,2.78235792864345e-05
genetic variance,Chr - WT,20X,200,8,3,CV,0.0423784245809686,0.00526981271420886,Inf,8.04173257746043,4.17443857259059e-14
genetic variance,Peri - WT,20X,200,8,3,CV,0.0190239048448626,0.00526981271420886,Inf,3.60997740841319,0.000893665069584881
genetic variance,Chr - WT,2X,200,8,3,CV,0.0138528420291979,0.00526981271420886,Inf,2.62871619551997,0.0233052386214058
genetic variance,Chr - Peri,20X,200,2,4,CV,0.0256152523986168,0.00526981271420886,Inf,4.8607519446661,3.49523689724407e-06
genetic variance,Chr - WT,20X,200,2,4,CV,0.0688466944519952,0.00526981271420886,Inf,13.0643531726214,0
genetic variance,Peri - WT,20X,200,2,4,CV,0.0432314420533784,0.00526981271420885,Inf,8.20360122795533,3.574918139293e-14
genetic variance,Chr - WT,2X,200,2,4,CV,0.020048198141011,0.00526981271420887,Inf,3.8043473702501,0.000417750282491136
genetic variance,Chr - Peri,20X,200,8,4,CV,0.0347504278814289,0.00526981271420886,Inf,6.59424343254784,1.28240196239915e-10
genetic variance,Chr - WT,20X,200,8,4,CV,0.0556383230857858,0.00526981271420887,Inf,10.5579317716111,2.65343302885412e-14
genetic variance,Peri - WT,20X,200,8,4,CV,0.0208878952043569,0.00526981271420886,Inf,3.96368833906325,0.000217804065540173
genetic variance,Chr - WT,2X,200,8,4,CV,0.0145778022114733,0.00526981271420887,Inf,2.76628468639264,0.0156473709540089
genetic variance,Chr - WT,20X,2,2,3,GW,0.0490628986747825,0.00526981271420883,Inf,9.31017881195203,3.09752223870419e-14
genetic variance,Peri - WT,20X,2,2,3,GW,0.0425607422953869,0.00526981271420885,Inf,8.07632919868889,4.04121180963557e-14
genetic variance,Peri - WT,2X,2,2,3,GW,0.0144987547760999,0.00526981271420886,Inf,2.7512846399659,0.0163574269051771
genetic variance,Chr - Peri,20X,200,2,3,GW,0.0164985705051123,0.00526981271420886,Inf,3.13076980148225,0.00496074884680964
genetic variance,Chr - WT,20X,200,2,3,GW,0.053980750049285,0.00526981271420886,Inf,10.2433906054646,2.46469511466785e-14
genetic variance,Peri - WT,20X,200,2,3,GW,0.0374821795441727,0.00526981271420886,Inf,7.11262080398236,3.43802764035672e-12
genetic variance,Chr - Peri,2X,200,2,3,GW,-0.0143641087339104,0.00526981271420886,Inf,-2.72573419832944,0.0176325328227431
genetic variance,Chr - WT,2X,200,2,3,GW,0.0138837248225866,0.00526981271420886,Inf,2.63457651638212,0.0229221463397248
genetic variance,Peri - WT,2X,200,2,3,GW,0.028247833556497,0.00526981271420885,Inf,5.36031071471158,2.48873434638419e-07
genetic variance,Chr - Peri,20X,2,8,3,GW,0.0197688935058661,0.00526981271420886,Inf,3.75134650469908,0.000515922289485604
genetic variance,Chr - WT,20X,2,8,3,GW,0.0277579782030552,0.00526981271420886,Inf,5.26735573129801,4.14484370270252e-07
genetic variance,Chr - Peri,20X,200,8,3,GW,0.0303609085862839,0.00526981271420887,Inf,5.76128796843625,2.5026021477359e-08
genetic variance,Chr - WT,20X,200,8,3,GW,0.0557687006374235,0.00526981271420886,Inf,10.5826722242056,2.80886425230165e-14
genetic variance,Peri - WT,20X,200,8,3,GW,0.0254077920511396,0.00526981271420887,Inf,4.82138425576931,4.25998353748014e-06
