response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
prediction accuracy,2 - 8,20X,Chr,200,3,CV,-0.406122529517825,0.0213189923453543,Inf,-19.0497994904682,6.59543274847676e-81
prediction accuracy,2 - 8,2X,Chr,200,3,CV,-0.360616243089238,0.0213189923453542,Inf,-16.9152574027648,3.47295958628148e-64
prediction accuracy,2 - 8,20X,Peri,200,3,CV,-0.431426889332645,0.0213189923453541,Inf,-20.2367392578319,4.64930324168413e-91
prediction accuracy,2 - 8,2X,Peri,200,3,CV,-0.416737649496316,0.0213189923453542,Inf,-19.5477179570886,4.3139079742717e-85
prediction accuracy,2 - 8,20X,WT,200,3,CV,-0.412812113073974,0.0213189923453541,Inf,-19.3635846566611,1.56599637837715e-83
prediction accuracy,2 - 8,2X,WT,200,3,CV,-0.444945019929992,0.0213189923453541,Inf,-20.8708278853975,9.86111522120463e-97
prediction accuracy,2 - 8,2X,Peri,2,4,CV,1.78954705645884,0.184627889541582,Inf,9.69272335237198,3.2377789377891e-22
prediction accuracy,2 - 8,20X,Chr,200,4,CV,-0.399378634212376,0.0213189923453544,Inf,-18.7334667484603,2.64142000869595e-78
prediction accuracy,2 - 8,2X,Chr,200,4,CV,-0.416072430803421,0.0213189923453544,Inf,-19.5165148550788,7.9478074455205e-85
prediction accuracy,2 - 8,20X,Peri,200,4,CV,-0.433325191748733,0.0213189923453543,Inf,-20.3257820411555,7.60672901307645e-92
prediction accuracy,2 - 8,2X,Peri,200,4,CV,-0.393493169264148,0.0213189923453541,Inf,-18.4573999976082,4.54709649592693e-76
prediction accuracy,2 - 8,20X,WT,200,4,CV,-0.445439026951028,0.0213189923453541,Inf,-20.8940000416155,6.07149028674212e-97
prediction accuracy,2 - 8,2X,WT,200,4,CV,-0.413393616961036,0.021318992345354,Inf,-19.390860987439,9.21808752535388e-84
prediction accuracy,2 - 8,20X,Chr,2,3,GW,-0.0794419421998089,0.0213189923453539,Inf,-3.72634601640175,0.000194275665012425
prediction accuracy,2 - 8,2X,Chr,2,3,GW,-0.0577013551702758,0.0213189923453539,Inf,-2.70657047179113,0.0067982151953788
prediction accuracy,2 - 8,20X,Peri,2,3,GW,-0.0775465974007204,0.0213727603811782,Inf,-3.62829115274279,0.000285303409059081
prediction accuracy,2 - 8,2X,Peri,2,3,GW,-0.0643326578009099,0.0213189923453538,Inf,-3.0176218818771,0.00254766568622811
prediction accuracy,2 - 8,20X,WT,2,3,GW,-0.0785909925743716,0.0214274866457576,Inf,-3.66776532748098,0.000244679593815842
prediction accuracy,2 - 8,20X,Chr,200,3,GW,-0.411964763696123,0.0213189923453536,Inf,-19.3238384358212,3.38517503453282e-83
prediction accuracy,2 - 8,2X,Chr,200,3,GW,-0.410219535712555,0.0213189923453539,Inf,-19.2419758432886,1.64804890812684e-82
prediction accuracy,2 - 8,20X,Peri,200,3,GW,-0.393067100414917,0.0213189923453536,Inf,-18.4374145854311,6.58138383093535e-76
prediction accuracy,2 - 8,2X,Peri,200,3,GW,-0.380552395746538,0.0213189923453538,Inf,-17.8503931884696,2.8700863074245e-71
prediction accuracy,2 - 8,20X,WT,200,3,GW,-0.366249930588228,0.0213189923453535,Inf,-17.1795141465986,3.78064244072283e-66
prediction accuracy,2 - 8,2X,WT,200,3,GW,-0.364568944735272,0.0213189923453535,Inf,-17.1006649296317,1.46720758093254e-65
prediction accuracy,2 - 8,20X,Chr,2,4,GW,-0.095241379590103,0.0213189923453541,Inf,-4.46744283441044,7.91601552543721e-06
prediction accuracy,2 - 8,2X,Chr,2,4,GW,-0.113279664994417,0.021318992345354,Inf,-5.31355624878319,1.07506230464566e-07
prediction accuracy,2 - 8,20X,Peri,2,4,GW,-0.0426668172550529,0.0213727603811784,Inf,-1.99631757873573,0.045899365819809
prediction accuracy,2 - 8,2X,Peri,2,4,GW,-0.0702120222451238,0.0213727603811782,Inf,-3.28511717686011,0.00101939966994002
prediction accuracy,2 - 8,20X,WT,2,4,GW,-0.0697622589994344,0.0213727603811783,Inf,-3.26407341659385,0.00109822703696575
prediction accuracy,2 - 8,20X,Chr,200,4,GW,-0.40360523502621,0.0213189923453542,Inf,-18.931721935449,6.24860688751136e-80
prediction accuracy,2 - 8,2X,Chr,200,4,GW,-0.399738418488797,0.0213189923453542,Inf,-18.7503429811919,1.92346550051234e-78
prediction accuracy,2 - 8,20X,Peri,200,4,GW,-0.370475437990986,0.0213189923453541,Inf,-17.3777180454648,1.21700677997824e-67
prediction accuracy,2 - 8,2X,Peri,200,4,GW,-0.398258849903612,0.0213189923453543,Inf,-18.6809415497725,7.07599593693864e-78
prediction accuracy,2 - 8,20X,WT,200,4,GW,-0.374381116859744,0.0213189923453536,Inf,-17.5609198969172,4.90734697308794e-69
prediction accuracy,2 - 8,2X,WT,200,4,GW,-0.38435160763983,0.0213189923453535,Inf,-18.0286010433134,1.1619443755314e-72
