response,contrast,Recombination,QTL,H2,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
prediction accuracy,Chr - Peri,20X,2,2,3,CV,1.29699992245207,0.130551632691046,Inf,9.93476600573395,2.60902410786912e-14
prediction accuracy,Chr - WT,20X,2,2,3,CV,0.579280919584887,0.130551632691065,Inf,4.43717866750609,2.71338275424915e-05
prediction accuracy,Peri - WT,20X,2,2,3,CV,-0.717719002867184,0.150748040554629,Inf,-4.76105029442882,5.75212562359262e-06
prediction accuracy,Chr - WT,2X,2,2,3,CV,1.00912207618598,0.137613503852484,Inf,7.33301636783931,6.95665747230123e-13
prediction accuracy,Chr - Peri,2X,200,2,3,CV,0.050462433656581,0.0213189923453544,Inf,2.36701776702768,0.047121633428743
prediction accuracy,Chr - WT,2X,200,2,3,CV,0.0850207873555063,0.0213189923453551,Inf,3.9880302960956,0.000196742260401561
prediction accuracy,Chr - Peri,20X,2,2,4,CV,0.625177336247468,0.137613503852445,Inf,4.54299410120253,1.65312594202494e-05
prediction accuracy,Peri - WT,20X,2,2,4,CV,-0.767115807682554,0.174068843588066,Inf,-4.40696790919078,3.11945948198167e-05
prediction accuracy,Chr - Peri,20X,200,2,3,GW,-0.0519685979492,0.0213189923453546,Inf,-2.43766671085296,0.0392378288614398
prediction accuracy,Chr - WT,20X,200,2,3,GW,-0.0536597707577924,0.0213189923453548,Inf,-2.51699376258204,0.031750258822521
prediction accuracy,Chr - Peri,20X,200,2,4,GW,-0.0688730974220337,0.0213189923453547,Inf,-3.23059815897166,0.00353771104201994
prediction accuracy,Chr - WT,20X,200,2,4,GW,-0.0537203118842582,0.0213189923453547,Inf,-2.51983353687743,0.0315067046107911
