response,contrast,Recombination,Map_type,QTL,H2,Repulsion,estimate,SE,df,z.ratio,p.value
prediction accuracy,CV - GW,20X,Chr,2,2,3,0.240067715941274,0.076866720042419,Inf,3.12316846365751,0.00178915308539148
prediction accuracy,CV - GW,2X,Chr,2,2,3,0.804484929718495,0.107655634236402,Inf,7.47276197316267,7.85288208293268e-14
prediction accuracy,CV - GW,20X,Peri,2,2,3,-1.06398788850253,0.10766629479336,Inf,-9.88227458318875,4.96919427784346e-23
prediction accuracy,CV - GW,20X,WT,2,2,3,-0.33125882679001,0.107655634236399,Inf,-3.07702266713329,0.00209079401266468
prediction accuracy,CV - GW,2X,WT,2,2,3,-0.184231251322302,0.0883302909218179,Inf,-2.08570864422225,0.0370050229470168
prediction accuracy,CV - GW,20X,Chr,200,2,3,0.0697013725595112,0.0213189923453546,Inf,3.26944967334251,0.00107756904140107
prediction accuracy,CV - GW,2X,Chr,200,2,3,0.0787415364616578,0.0213189923453541,Inf,3.69349241212225,0.000221195113436664
prediction accuracy,CV - GW,20X,Chr,200,8,3,0.0638591383812137,0.021318992345354,Inf,2.99541072799017,0.00274075514729388
prediction accuracy,CV - GW,2X,Peri,200,8,3,0.0600094345325724,0.0213189923453546,Inf,2.81483447061926,0.00488023639072565
prediction accuracy,CV - GW,2X,WT,200,8,3,0.0423951771948718,0.0213189923453536,Inf,1.98861074238866,0.0467441847604292
prediction accuracy,CV - GW,20X,Chr,2,2,4,0.684844818701601,0.1076556342364,Inf,6.3614396362921,1.99871457491855e-10
prediction accuracy,CV - GW,2X,Peri,2,2,4,0.597340082094992,0.107655634236388,Inf,5.54861885615169,2.87935110675143e-08
prediction accuracy,CV - GW,20X,WT,2,2,4,0.849580262364808,0.151507481333651,Inf,5.60751360187855,2.05253886854246e-08
prediction accuracy,CV - GW,20X,Chr,200,2,4,0.0567538474314117,0.0213189923453548,Inf,2.66212616956907,0.00776487670473435
prediction accuracy,CV - GW,20X,WT,200,2,4,-0.0418588202659002,0.0213189923453548,Inf,-1.96345209885217,0.0495936652089287
prediction accuracy,CV - GW,2X,Peri,2,8,4,-1.26241899660897,0.151507481333626,Inf,-8.33238718970629,7.9228340015495e-17
prediction accuracy,CV - GW,20X,Chr,200,8,4,0.0525272466175771,0.0213189923453543,Inf,2.46387098258064,0.0137445575781347
