response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 8,20X,Chr,2,3,CV,negative_QTL,0.110238095239924,0.00591079169084495,Inf,18.6503096379912,1.25548092284891e-77
QTL fixation,2 - 8,2X,Chr,2,3,CV,negative_QTL,0.115952380950904,0.00591079169084501,Inf,19.6170643486723,1.10556113196364e-85
QTL fixation,2 - 8,20X,Peri,2,3,CV,negative_QTL,0.121666666666809,0.00591079169084521,Inf,20.583819060186,3.83263334229638e-94
QTL fixation,2 - 8,2X,Peri,2,3,CV,negative_QTL,0.120000000000127,0.00591079169084515,Inf,20.3018489360718,1.23836674030286e-91
QTL fixation,2 - 8,20X,WT,2,3,CV,negative_QTL,0.109047619047706,0.00591079169084503,Inf,18.4489024061879,5.32149386410309e-76
QTL fixation,2 - 8,2X,WT,2,3,CV,negative_QTL,0.110476190476267,0.00591079169084511,Inf,18.6905910839959,5.90550972079052e-78
QTL fixation,2 - 8,20X,Chr,200,3,CV,negative_QTL,0.0923896610581169,0.00591079169084502,Inf,15.6306745171236,4.5001402678071e-55
QTL fixation,2 - 8,2X,Chr,200,3,CV,negative_QTL,0.0757278712509347,0.00591079169084511,Inf,12.8117983532096,1.40832338807536e-37
QTL fixation,2 - 8,20X,Peri,200,3,CV,negative_QTL,0.0809875640088056,0.00591079169084516,Inf,13.7016440850456,9.92512061067305e-43
QTL fixation,2 - 8,2X,Peri,200,3,CV,negative_QTL,0.0768861253352793,0.00591079169084517,Inf,13.0077541819589,1.10543272997239e-38
QTL fixation,2 - 8,20X,WT,200,3,CV,negative_QTL,0.0733187027554131,0.00591079169084507,Inf,12.4042102293966,2.47945401287716e-35
QTL fixation,2 - 8,2X,WT,200,3,CV,negative_QTL,0.0753060229212539,0.00591079169084517,Inf,12.7404291776837,3.52450616822867e-37
QTL fixation,2 - 8,20X,Chr,2,4,CV,negative_QTL,0.121904761903291,0.00591079169084518,Inf,20.6241005062149,1.66803935659603e-94
QTL fixation,2 - 8,2X,Chr,2,4,CV,negative_QTL,0.121190476191086,0.00591079169084516,Inf,20.503256167662,2.01358567245713e-93
QTL fixation,2 - 8,20X,Peri,2,4,CV,negative_QTL,0.122619047619082,0.00591079169084517,Inf,20.7449448453747,1.36180529062702e-95
QTL fixation,2 - 8,2X,Peri,2,4,CV,negative_QTL,0.122619047619036,0.00591079169084517,Inf,20.7449448453669,1.36180529084894e-95
