response,contrast,Recombination,Map_type,QTL,H2,Repulsion,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,CV - GW,20X,WT,2,2,3,negative_QTL,-0.0159523809523954,0.00591079169084502,Inf,-2.69885690221555,0.00695780869895365
QTL fixation,CV - GW,2X,Chr,200,2,3,negative_QTL,0.0184134438754951,0.00591079169084512,Inf,3.11522463293955,0.0018380487601793
QTL fixation,CV - GW,20X,Peri,200,2,3,negative_QTL,0.0127660570592812,0.00591079169084516,Inf,2.15978801605438,0.0307890837895345
QTL fixation,CV - GW,2X,Peri,200,2,3,negative_QTL,0.0223137193277138,0.00591079169084515,Inf,3.77508132493894,0.000159955470384101
QTL fixation,CV - GW,20X,WT,200,2,3,negative_QTL,0.0159633097618321,0.00591079169084509,Inf,2.70070586086748,0.00691925015695317
QTL fixation,CV - GW,2X,WT,200,2,3,negative_QTL,0.0172579425072609,0.00591079169084518,Inf,2.91973451441209,0.00350329693885018
QTL fixation,CV - GW,20X,Chr,2,8,3,negative_QTL,-0.0297619047633676,0.00591079169084513,Inf,-5.03518078795842,4.77398054660257e-07
QTL fixation,CV - GW,2X,Chr,2,8,3,negative_QTL,-0.0233333333326025,0.0059107916908451,Inf,-3.94758173744174,7.89445693318801e-05
QTL fixation,CV - GW,20X,Peri,2,8,3,negative_QTL,-0.0271428571427798,0.00591079169084515,Inf,-4.59208487837927,4.38839808338218e-06
QTL fixation,CV - GW,2X,Peri,2,8,3,negative_QTL,-0.0314285714285716,0.00591079169084517,Inf,-5.31715091182273,1.05404644474755e-07
QTL fixation,CV - GW,20X,WT,2,8,3,negative_QTL,-0.0445238095236895,0.00591079169084515,Inf,-7.53263045839521,4.97282005606182e-14
QTL fixation,CV - GW,2X,WT,2,8,3,negative_QTL,-0.0361904761904817,0.00591079169084516,Inf,-6.12277983785738,9.19567171997901e-10
QTL fixation,CV - GW,20X,Chr,200,8,3,negative_QTL,-0.0136005942543802,0.00591079169084514,Inf,-2.30097674994118,0.0213929452985413
QTL fixation,CV - GW,20X,Chr,2,2,4,negative_QTL,-0.0478571428586656,0.00591079169084519,Inf,-8.09657070689671,5.65301258730387e-16
QTL fixation,CV - GW,2X,Chr,2,2,4,negative_QTL,-0.0447619047612879,0.00591079169084517,Inf,-7.57291190461281,3.64949803430948e-14
QTL fixation,CV - GW,20X,Peri,2,2,4,negative_QTL,-0.0404761904761651,0.00591079169084518,Inf,-6.84784587128251,7.49702724034395e-12
