response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,3 - 4,GW,20X,Chr,2,2,negative_QTL,-0.0480952380974207,0.00591079169084528,Inf,-8.13685215330992,4.05687628792562e-16
QTL fixation,3 - 4,GW,2X,Chr,2,2,negative_QTL,-0.0626190476182577,0.00591079169084519,Inf,-10.59402037721,3.176492845789e-26
QTL fixation,3 - 4,GW,20X,Peri,2,2,negative_QTL,-0.0516666666664595,0.00591079169084519,Inf,-8.74107384743103,2.30905016480845e-18
QTL fixation,3 - 4,CV,2X,Peri,2,2,negative_QTL,-0.0121428571427365,0.00591079169084517,Inf,-2.05435376136564,0.0399414648775645
QTL fixation,3 - 4,GW,2X,Peri,2,2,negative_QTL,-0.0766666666667215,0.00591079169084518,Inf,-12.9706257091525,1.79558549287151e-38
QTL fixation,3 - 4,CV,20X,WT,2,2,negative_QTL,-0.0149999999998001,0.00591079169084503,Inf,-2.53773111697253,0.0111573670438249
QTL fixation,3 - 4,GW,20X,WT,2,2,negative_QTL,-0.0773809523807537,0.00591079169084514,Inf,-13.0914700480148,3.68407834470691e-39
QTL fixation,3 - 4,CV,2X,WT,2,2,negative_QTL,-0.0240476190475635,0.00591079169084511,Inf,-4.06842607646104,4.733177234215e-05
QTL fixation,3 - 4,GW,2X,WT,2,2,negative_QTL,-0.0776190476190887,0.00591079169084517,Inf,-13.1317514943569,2.16588333178251e-39
QTL fixation,3 - 4,CV,20X,Chr,200,2,negative_QTL,-0.0362472567668128,0.00591079169084508,Inf,-6.13238609355059,8.65706906091971e-10
QTL fixation,3 - 4,GW,20X,Chr,200,2,negative_QTL,-0.0210419753086458,0.00591079169084522,Inf,-3.55992503360187,0.000370960677146706
QTL fixation,3 - 4,CV,2X,Chr,200,2,negative_QTL,-0.0271299683003943,0.00591079169084513,Inf,-4.58990431728701,4.43449240235773e-06
QTL fixation,3 - 4,GW,2X,Chr,200,2,negative_QTL,-0.024249382716041,0.00591079169084519,Inf,-4.1025608724461,4.08602305805939e-05
QTL fixation,3 - 4,CV,20X,Peri,200,2,negative_QTL,-0.0308583272372294,0.00591079169084517,Inf,-5.22067581657865,1.78271370024259e-07
QTL fixation,3 - 4,GW,20X,Peri,200,2,negative_QTL,-0.0237185185185201,0.00591079169084517,Inf,-4.01274816624923,6.00159306686178e-05
QTL fixation,3 - 4,CV,2X,Peri,200,2,negative_QTL,-0.0265788831992266,0.00591079169084519,Inf,-4.49667059666353,6.90257999300797e-06
QTL fixation,3 - 4,GW,2X,Peri,200,2,negative_QTL,-0.0268024691358046,0.00591079169084518,Inf,-4.53449732923546,5.77408326092483e-06
QTL fixation,3 - 4,CV,20X,WT,200,2,negative_QTL,-0.0327139722019206,0.00591079169084507,Inf,-5.53461768117959,3.11907954623576e-08
QTL fixation,3 - 4,GW,20X,WT,200,2,negative_QTL,-0.0273901234567842,0.00591079169084515,Inf,-4.63391790632836,3.58809331253744e-06
QTL fixation,3 - 4,CV,2X,WT,200,2,negative_QTL,-0.0283735674225721,0.00591079169084516,Inf,-4.80029899658248,1.58428917324554e-06
QTL fixation,3 - 4,GW,2X,WT,200,2,negative_QTL,-0.0267259259259285,0.00591079169084515,Inf,-4.52154759020227,6.13891542095927e-06
QTL fixation,3 - 4,GW,20X,Chr,2,8,negative_QTL,-0.0269047619038209,0.00591079169084522,Inf,-4.55180343193141,5.31880181507296e-06
QTL fixation,3 - 4,GW,2X,Chr,2,8,negative_QTL,-0.058571428571495,0.00591079169084516,Inf,-9.90923579022627,3.7953805437238e-23
QTL fixation,3 - 4,GW,20X,Peri,2,8,negative_QTL,-0.0483333333333391,0.00591079169084517,Inf,-8.17713359924347,2.90675667356216e-16
QTL fixation,3 - 4,GW,2X,Peri,2,8,negative_QTL,-0.0514285714285944,0.00591079169084519,Inf,-8.70079240116828,3.2957469335052e-18
QTL fixation,3 - 4,GW,20X,WT,2,8,negative_QTL,-0.0747619047619431,0.00591079169084518,Inf,-12.6483741387362,1.14213943904352e-36
QTL fixation,3 - 4,GW,2X,WT,2,8,negative_QTL,-0.0652380952381103,0.00591079169084519,Inf,-11.0371162866648,2.53023588674581e-28
QTL fixation,3 - 4,CV,20X,Chr,200,8,negative_QTL,-0.035964398927133,0.00591079169084515,Inf,-6.08453161745423,1.16832346325278e-09
QTL fixation,3 - 4,GW,20X,Chr,200,8,negative_QTL,-0.0264543209876503,0.00591079169084519,Inf,-4.47559690330884,7.61981285675538e-06
QTL fixation,3 - 4,CV,2X,Chr,200,8,negative_QTL,-0.0343013899048903,0.00591079169084517,Inf,-5.8031803012137,6.50687558102655e-09
QTL fixation,3 - 4,GW,2X,Chr,200,8,negative_QTL,-0.0401530864197512,0.00591079169084516,Inf,-6.7931824567497,1.09686511610107e-11
QTL fixation,3 - 4,CV,20X,Peri,200,8,negative_QTL,-0.0391880029261222,0.00591079169084516,Inf,-6.6299076292636,3.358970001745e-11
QTL fixation,3 - 4,GW,20X,Peri,200,8,negative_QTL,-0.0440074074074024,0.00591079169084519,Inf,-7.44526447710252,9.6750393880184e-14
QTL fixation,3 - 4,CV,2X,Peri,200,8,negative_QTL,-0.0431992197025107,0.00591079169084517,Inf,-7.30853360463018,2.70073407284066e-13
QTL fixation,3 - 4,GW,2X,Peri,200,8,negative_QTL,-0.0387530864197549,0.00591079169084517,Inf,-6.55632755249638,5.51490260846619e-11
QTL fixation,3 - 4,CV,20X,WT,200,8,negative_QTL,-0.0409948792977253,0.00591079169084514,Inf,-6.935598722117,4.04504297494473e-12
QTL fixation,3 - 4,GW,20X,WT,200,8,negative_QTL,-0.0370493827160461,0.00591079169084514,Inf,-6.2680914256257,3.65500178261927e-10
QTL fixation,3 - 4,CV,2X,WT,200,8,negative_QTL,-0.0421726408193194,0.00591079169084514,Inf,-7.1348548595678,9.68893414188903e-13
QTL fixation,3 - 4,GW,2X,WT,200,8,negative_QTL,-0.0394666666666671,0.00591079169084504,Inf,-6.67705253896788,2.43795569415061e-11
QTL fixation,3 - 4,GW,20X,Chr,2,2,positive_QTL,0.055238095238263,0.00591079169084536,Inf,9.34529554201949,9.16331998100161e-21
QTL fixation,3 - 4,GW,2X,Chr,2,2,positive_QTL,0.0676190476192373,0.00591079169084522,Inf,11.4399307497111,2.64096245172714e-30
QTL fixation,3 - 4,GW,20X,Peri,2,2,positive_QTL,0.0604761904761555,0.00591079169084518,Inf,10.2314873606226,1.43301347191506e-24
QTL fixation,3 - 4,CV,2X,Peri,2,2,positive_QTL,0.0128571428571698,0.00591079169084515,Inf,2.17519810029567,0.0296152744867212
QTL fixation,3 - 4,GW,2X,Peri,2,2,positive_QTL,0.0811904761904693,0.00591079169084518,Inf,13.7359731888741,6.18197713058965e-43
QTL fixation,3 - 4,CV,20X,WT,2,2,positive_QTL,0.0145238095236945,0.00591079169084515,Inf,2.45716822438346,0.0140037094171133
QTL fixation,3 - 4,GW,20X,WT,2,2,positive_QTL,0.101190476190424,0.00591079169084517,Inf,17.1196146782081,1.05974473839817e-65
QTL fixation,3 - 4,CV,2X,WT,2,2,positive_QTL,0.0223809523809824,0.00591079169084514,Inf,3.78645595236368,0.0001528111688277
QTL fixation,3 - 4,GW,2X,WT,2,2,positive_QTL,0.0949999999999947,0.00591079169084514,Inf,16.0722970743723,3.99021809008831e-58
QTL fixation,3 - 4,CV,20X,Chr,200,2,positive_QTL,0.0162594489149041,0.00591079169084522,Inf,2.75080729711507,0.00594486034407201
QTL fixation,3 - 4,GW,20X,Chr,200,2,positive_QTL,0.0248765432098699,0.00591079169084521,Inf,4.20866518581586,2.5688369959362e-05
QTL fixation,3 - 4,CV,2X,Chr,200,2,positive_QTL,0.030646183857596,0.00591079169084518,Inf,5.1847849595278,2.16264248469471e-07
QTL fixation,3 - 4,GW,2X,Chr,200,2,positive_QTL,0.0304395061728409,0.00591079169084518,Inf,5.14981880007488,2.60738234311829e-07
QTL fixation,3 - 4,CV,20X,Peri,200,2,positive_QTL,0.0251645940014662,0.00591079169084516,Inf,4.25739821629004,2.06819770271382e-05
QTL fixation,3 - 4,GW,20X,Peri,200,2,positive_QTL,0.0268246913580232,0.00591079169084519,Inf,4.53825693088966,5.67211261246354e-06
