response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,3,CV,-0.575238095240086,0.00666463808439969,Inf,-86.3119779281909,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,3,CV,-0.744047619046831,0.00666463808439294,Inf,-111.641113834706,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,3,CV,-0.568095238094733,0.00666463808439295,Inf,-85.2402232350893,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,3,CV,-0.750952380952135,0.00666463808439266,Inf,-112.67714337118,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,3,CV,-0.569761904761364,0.00666463808439221,Inf,-85.4902993300835,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,3,CV,-0.745714285714311,0.00666463808439264,Inf,-111.891189929823,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,3,CV,-0.559285714285713,0.00666463808439256,Inf,-83.9183924473655,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,3,CV,-0.767142857142871,0.00666463808439265,Inf,-115.106454008265,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,3,CV,-0.585952380951758,0.00666463808439198,Inf,-87.9196099671201,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,3,CV,-0.746428571428612,0.00666463808439265,Inf,-111.998365399107,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,3,CV,-0.574047619047625,0.00666463808439261,Inf,-86.1333521458489,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,3,CV,-0.755238095238114,0.0066646380843927,Inf,-113.320196186907,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,200,3,CV,-0.0325237746889535,0.006664638084393,Inf,-4.88005114112895,1.06058334754201e-06
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,200,3,CV,-0.0410753474763005,0.00666463808439268,Inf,-6.16317749833876,7.12995080363489e-10
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,200,3,CV,-0.0377883443063171,0.00666463808439275,Inf,-5.66997694815714,1.42816734087544e-08
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,200,3,CV,-0.0475688856376393,0.00666463808439268,Inf,-7.13750469797251,9.50403745791915e-13
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,200,3,CV,-0.0358497927335101,0.00666463808439262,Inf,-5.37910570379866,7.48567499377829e-08
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,200,3,CV,-0.0450377956595876,0.00666463808439267,Inf,-6.75772563930481,1.40174641690986e-11
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,200,3,CV,-0.0382589612289591,0.00666463808439265,Inf,-5.74059097350756,9.43467202703546e-09
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,200,3,CV,-0.0455718117532321,0.00666463808439267,Inf,-6.83785243492107,8.0389138042443e-12
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,200,3,CV,-0.0400048768593162,0.00666463808439263,Inf,-6.00255803132061,1.94232805669923e-09
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,200,3,CV,-0.0480419409900039,0.00666463808439271,Inf,-7.20848459911255,5.65779691603237e-13
