response,contrast,Recombination,QTL,H2,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,Chr - WT,20X,200,2,3,CV,negative_QTL,-0.0574030724212007,0.00666463808439286,Inf,-8.61308171491356,2.60902410786912e-14
QTL fixation,Peri - WT,20X,200,2,3,CV,negative_QTL,-0.046661789807367,0.00666463808439261,Inf,-7.00139890816285,7.62567786694035e-12
QTL fixation,Chr - WT,2X,200,2,3,CV,negative_QTL,-0.0229041697147411,0.00666463808439269,Inf,-3.43667119275062,0.00170565744618079
QTL fixation,Peri - WT,2X,200,2,3,CV,negative_QTL,-0.01886125335283,0.00666463808439265,Inf,-2.83004915105586,0.0129239757208848
QTL fixation,Chr - Peri,20X,200,8,3,CV,negative_QTL,-0.0185905876616178,0.00666463808439264,Inf,-2.7894369395922,0.0146048442940047
QTL fixation,Chr - WT,20X,200,8,3,CV,negative_QTL,-0.0585442574982353,0.00666463808439271,Inf,-8.78431157954918,2.33146835171283e-14
QTL fixation,Peri - WT,20X,200,8,3,CV,negative_QTL,-0.0399536698366175,0.00666463808439268,Inf,-5.99487463995703,6.10685646496023e-09
QTL fixation,Chr - WT,2X,200,8,3,CV,negative_QTL,-0.0180297488417384,0.00666463808439269,Inf,-2.70528551039563,0.0187152661808955
QTL fixation,Peri - WT,2X,200,8,3,CV,negative_QTL,-0.0223530846135112,0.00666463808439269,Inf,-3.35398326667697,0.00229742261841248
QTL fixation,Chr - WT,20X,200,2,4,CV,negative_QTL,-0.0511094854913909,0.0066646380843927,Inf,-7.66875632918154,7.02771174587724e-14
QTL fixation,Peri - WT,20X,200,2,4,CV,negative_QTL,-0.0483784442818772,0.00666463808439269,Inf,-7.25897545662237,1.19160237233018e-12
QTL fixation,Chr - WT,2X,200,2,4,CV,negative_QTL,-0.0195245062179919,0.0066646380843927,Inf,-2.92956736296222,0.00951020266574631
QTL fixation,Peri - WT,2X,200,2,4,CV,negative_QTL,-0.0259326993416268,0.00666463808439268,Inf,-3.89108891034252,0.00029396104522772
QTL fixation,Chr - Peri,20X,200,8,4,CV,negative_QTL,-0.0216825164593879,0.00666463808439268,Inf,-3.2533674274323,0.00327057501571904
QTL fixation,Chr - WT,20X,200,8,4,CV,negative_QTL,-0.0653011460619275,0.00666463808439268,Inf,-9.79815336332372,3.1641356201817e-14
QTL fixation,Peri - WT,20X,200,8,4,CV,negative_QTL,-0.0436186296025396,0.00666463808439268,Inf,-6.54478593589143,1.78745795942348e-10
QTL fixation,Chr - WT,2X,200,8,4,CV,negative_QTL,-0.0217922457937079,0.00666463808439265,Inf,-3.26983183749187,0.00308906360185846
QTL fixation,Peri - WT,2X,200,8,4,CV,negative_QTL,-0.0186052182394532,0.00666463808439265,Inf,-2.7916321942557,0.0145092615616232
QTL fixation,Chr - WT,20X,200,2,3,GW,negative_QTL,-0.0266444444444389,0.0066646380843927,Inf,-3.99788317190622,0.000188776340797392
QTL fixation,Peri - WT,20X,200,2,3,GW,negative_QTL,-0.0343777777777831,0.00666463808439269,Inf,-5.15823625266154,7.46256541894752e-07
QTL fixation,Peri - WT,2X,200,2,3,GW,negative_QTL,-0.0206518518518545,0.0066646380843927,Inf,-3.09872067925447,0.00551771558063829
QTL fixation,Chr - WT,20X,200,8,3,GW,negative_QTL,-0.0409703703703603,0.0066646380843927,Inf,-6.14742613950862,2.36185482282991e-09
QTL fixation,Peri - WT,20X,200,8,3,GW,negative_QTL,-0.0398123456790108,0.00666463808439269,Inf,-5.9736695638798,6.95637702996521e-09
QTL fixation,Chr - WT,2X,200,8,3,GW,negative_QTL,-0.0178148148148153,0.00666463808439271,Inf,-2.67303559311557,0.0205416631247249
QTL fixation,Peri - WT,2X,200,8,3,GW,negative_QTL,-0.0180567901234573,0.00666463808439266,Inf,-2.7093429372771,0.0184958985125776
QTL fixation,Chr - Peri,20X,2,2,4,GW,negative_QTL,0.0157142857143013,0.00666463808439264,Inf,2.35786032419394,0.0482350079938259
QTL fixation,Chr - WT,20X,2,2,4,GW,negative_QTL,-0.0183333333333243,0.0066646380843927,Inf,-2.75083704488882,0.016379044747005
QTL fixation,Peri - WT,20X,2,2,4,GW,negative_QTL,-0.0340476190476256,0.00666463808439269,Inf,-5.10869736908274,9.70871841476928e-07
QTL fixation,Chr - WT,2X,2,2,4,GW,negative_QTL,-0.0195238095238823,0.00666463808439273,Inf,-2.9294628270368,0.00951331747075645
QTL fixation,Chr - WT,20X,200,2,4,GW,negative_QTL,-0.0273654320987641,0.00666463808439272,Inf,-4.106064238184,0.000119160197039947
QTL fixation,Peri - WT,20X,200,2,4,GW,negative_QTL,-0.0389209876543232,0.00666463808439268,Inf,-5.83992516344868,1.56586211774723e-08
QTL fixation,Chr - WT,2X,200,2,4,GW,negative_QTL,-0.0240987654320974,0.0066646380843927,Inf,-3.61591509200358,0.000873628956547412
QTL fixation,Peri - WT,2X,200,2,4,GW,negative_QTL,-0.0237456790123455,0.00666463808439268,Inf,-3.56293600817626,0.00106820784367168
QTL fixation,Chr - WT,20X,2,8,4,GW,negative_QTL,-0.0445238095238705,0.00666463808439273,Inf,-6.68060425188526,7.14062142748162e-11
QTL fixation,Peri - WT,20X,2,8,4,GW,negative_QTL,-0.0388095238095245,0.00666463808439268,Inf,-5.82320049762477,1.73094495403703e-08
QTL fixation,Chr - WT,2X,2,8,4,GW,negative_QTL,-0.0169047619047902,0.00666463808439273,Inf,-2.53648610633154,0.0301105837609235
