response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 200,Chr,20X,2,3,CV,negative_QTL,-0.120234960115996,0.00666463808439989,Inf,-18.0407335842337,9.32971886134113e-73
QTL fixation,2 - 200,Peri,20X,2,3,CV,negative_QTL,-0.120976242727668,0.00666463808439209,Inf,-18.1519598207414,1.2390029270738e-73
QTL fixation,2 - 200,WT,20X,2,3,CV,negative_QTL,-0.171447556344448,0.00666463808439198,Inf,-25.724961231723,6.14629731941435e-146
QTL fixation,2 - 200,Chr,2X,2,3,CV,negative_QTL,-0.139759814678865,0.00666463808439308,Inf,-20.9703532148501,1.22352348234471e-97
QTL fixation,2 - 200,Peri,2X,2,3,CV,negative_QTL,-0.139040826279351,0.00666463808439251,Inf,-20.8624721280757,1.17441418325271e-96
QTL fixation,2 - 200,WT,2X,2,3,CV,negative_QTL,-0.16528303201313,0.00666463808439257,Inf,-24.8000011283725,8.96466069349103e-136
QTL fixation,2 - 200,Chr,20X,8,3,CV,negative_QTL,-0.110955864422488,0.00666463808439296,Inf,-16.6484455746098,3.10564563368736e-62
QTL fixation,2 - 200,Peri,20X,8,3,CV,negative_QTL,-0.128594071132502,0.0066646380843926,Inf,-19.2949818886109,5.91857102354962e-83
QTL fixation,2 - 200,WT,20X,8,3,CV,negative_QTL,-0.169262026683426,0.00666463808439268,Inf,-25.3970319978523,2.7196358265563e-142
QTL fixation,2 - 200,Chr,2X,8,3,CV,negative_QTL,-0.149774967777647,0.00666463808439268,Inf,-22.4730834414536,7.61188423899839e-112
QTL fixation,2 - 200,Peri,2X,8,3,CV,negative_QTL,-0.146880203434717,0.00666463808439268,Inf,-22.038736623776,1.22508175814308e-107
QTL fixation,2 - 200,WT,2X,8,3,CV,negative_QTL,-0.171138049952995,0.00666463808439266,Inf,-25.6785211418709,2.03126219647621e-145
QTL fixation,2 - 200,Chr,20X,2,4,CV,negative_QTL,-0.128861950046309,0.0066646380843929,Inf,-19.3351759562271,2.7173944286171e-83
QTL fixation,2 - 200,Peri,20X,2,4,CV,negative_QTL,-0.12611680078041,0.00666463808439263,Inf,-18.9232782310794,7.33472857919635e-80
QTL fixation,2 - 200,WT,20X,2,4,CV,negative_QTL,-0.18068572125278,0.00666463808439266,Inf,-27.11110775481,7.2835065620702e-162
QTL fixation,2 - 200,Chr,2X,2,4,CV,negative_QTL,-0.156752708398304,0.00666463808439269,Inf,-23.520063117214,2.54276501724505e-122
QTL fixation,2 - 200,Peri,2X,2,4,CV,negative_QTL,-0.140582610513126,0.00666463808439268,Inf,-21.093810156375,9.06576106907922e-99
QTL fixation,2 - 200,WT,2X,2,4,CV,negative_QTL,-0.163896262235701,0.00666463808439268,Inf,-24.5919223460183,1.54131953317416e-133
QTL fixation,2 - 200,Chr,20X,8,4,CV,negative_QTL,-0.121652558609279,0.00666463808439264,Inf,-18.2534380815318,1.94288127594878e-74
QTL fixation,2 - 200,Peri,20X,8,4,CV,negative_QTL,-0.14095412268786,0.00666463808439268,Inf,-21.1495539447142,2.78563192259083e-99
QTL fixation,2 - 200,WT,20X,8,4,CV,negative_QTL,-0.182191799909439,0.00666463808439269,Inf,-27.3370883163329,1.53785269595524e-164
QTL fixation,2 - 200,Chr,2X,8,4,CV,negative_QTL,-0.172191103215252,0.00666463808439269,Inf,-25.8365272104559,3.44824841384076e-147
QTL fixation,2 - 200,Peri,2X,8,4,CV,negative_QTL,-0.166568606959978,0.00666463808439269,Inf,-24.9928960658869,7.30338851691293e-138
QTL fixation,2 - 200,WT,2X,8,4,CV,negative_QTL,-0.192554777580384,0.00666463808439267,Inf,-28.8920081093842,1.50449147189928e-183
QTL fixation,2 - 200,Chr,20X,2,3,GW,negative_QTL,-0.110198589064634,0.00666463808439287,Inf,-16.5348196960155,2.05993598026973e-61
QTL fixation,2 - 200,Peri,20X,2,3,GW,negative_QTL,-0.0996081128748009,0.00666463808439263,Inf,-14.9457647382331,1.65974802564182e-50
QTL fixation,2 - 200,WT,20X,2,3,GW,negative_QTL,-0.125652557319298,0.00666463808439263,Inf,-18.8536205159518,2.74403372942932e-79
QTL fixation,2 - 200,Chr,2X,2,3,GW,negative_QTL,-0.118310758377187,0.00666463808439269,Inf,-17.7520154701646,1.66278018064104e-70
QTL fixation,2 - 200,Peri,2X,2,3,GW,negative_QTL,-0.10987865961202,0.00666463808439268,Inf,-16.4868156711068,4.56376111369535e-61
QTL fixation,2 - 200,WT,2X,2,3,GW,negative_QTL,-0.135768606701967,0.0066646380843927,Inf,-20.3714897917579,2.99429066784607e-92
QTL fixation,2 - 200,Chr,20X,8,3,GW,negative_QTL,-0.0904962962959297,0.00666463808439264,Inf,-13.5785762332474,5.36593701890497e-42
QTL fixation,2 - 200,Peri,20X,8,3,GW,negative_QTL,-0.0995114638448203,0.00666463808439268,Inf,-14.9312629710317,2.06320975083566e-50
QTL fixation,2 - 200,WT,20X,8,3,GW,negative_QTL,-0.125990476190507,0.00666463808439268,Inf,-18.9043237749929,1.05078000306734e-79
QTL fixation,2 - 200,Chr,2X,8,3,GW,negative_QTL,-0.11870405643746,0.0066646380843927,Inf,-17.8110281360127,5.80339446789058e-71
QTL fixation,2 - 200,Peri,2X,8,3,GW,negative_QTL,-0.115843033509702,0.00666463808439266,Inf,-17.3817440711423,1.13450110581244e-67
QTL fixation,2 - 200,WT,2X,8,3,GW,negative_QTL,-0.126042680776016,0.00666463808439267,Inf,-18.9121568463237,9.05752826526387e-80
QTL fixation,2 - 200,Chr,20X,2,4,GW,negative_QTL,-0.0767957671957584,0.00666463808439268,Inf,-11.5228713432466,1.011820235298e-30
QTL fixation,2 - 200,Peri,20X,2,4,GW,negative_QTL,-0.0809544973545006,0.00666463808439268,Inf,-12.1468707421759,5.96035151328595e-34
QTL fixation,2 - 200,WT,20X,2,4,GW,negative_QTL,-0.0858278659611982,0.00666463808439272,Inf,-12.8780985365417,5.97905023147405e-38
QTL fixation,2 - 200,Chr,2X,2,4,GW,negative_QTL,-0.0862144620812029,0.0066646380843927,Inf,-12.9361056053592,2.81543497814369e-38
QTL fixation,2 - 200,Peri,2X,2,4,GW,negative_QTL,-0.0775199294532614,0.00666463808439271,Inf,-11.6315287449439,2.84948166269419e-31
QTL fixation,2 - 200,WT,2X,2,4,GW,negative_QTL,-0.090789417989418,0.0066646380843927,Inf,-13.622557870326,2.94084235205077e-42
QTL fixation,2 - 200,Chr,20X,8,4,GW,negative_QTL,-0.0820987654321568,0.00666463808439268,Inf,-12.3185631976651,7.19650308746054e-35
QTL fixation,2 - 200,Peri,20X,8,4,GW,negative_QTL,-0.0889326278659594,0.00666463808439267,Inf,-13.3439545763517,1.28460047752674e-40
QTL fixation,2 - 200,WT,20X,8,4,GW,negative_QTL,-0.0900391534391521,0.00666463808439268,Inf,-13.509983932962,1.36551246914005e-41
QTL fixation,2 - 200,Chr,2X,8,4,GW,negative_QTL,-0.0963015873016149,0.00666463808439268,Inf,-14.4496349362368,2.52018056703771e-47
QTL fixation,2 - 200,Peri,2X,8,4,GW,negative_QTL,-0.0920694885361548,0.00666463808439255,Inf,-13.8146268965101,2.0802926819924e-43
QTL fixation,2 - 200,WT,2X,8,4,GW,negative_QTL,-0.0993029982363311,0.00666463808439273,Inf,-14.8999836118452,3.29660346590475e-50
QTL fixation,2 - 200,Chr,20X,2,3,CV,positive_QTL,0.422479360435137,0.0066646380843928,Inf,63.3911932028981,0
QTL fixation,2 - 200,Peri,20X,2,3,CV,positive_QTL,0.412935869300186,0.00666463808439268,Inf,61.9592338055391,0
