response,contrast,Map_type,QTL,H2,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,20X - 2X,Chr,200,2,3,CV,negative_QTL,-0.030953425993478,0.00666463808439309,Inf,-4.6444271394066,3.41021369695435e-06
QTL fixation,20X - 2X,Peri,200,2,3,CV,negative_QTL,-0.0242550597415554,0.00666463808439256,Inf,-3.63936637435071,0.000273309716569086
QTL fixation,20X - 2X,Chr,200,8,3,CV,negative_QTL,-0.0426286271641798,0.00666463808439273,Inf,-6.39624036960201,1.59249248007072e-10
QTL fixation,20X - 2X,Peri,200,8,3,CV,negative_QTL,-0.0197147037307892,0.00666463808439268,Inf,-2.95810567372852,0.00309535990564283
QTL fixation,20X - 2X,WT,2,2,4,CV,negative_QTL,-0.0130952380953524,0.00666463808439264,Inf,-1.96488360351015,0.0494277108845723
QTL fixation,20X - 2X,Chr,200,2,4,CV,negative_QTL,-0.0278907583516719,0.00666463808439273,Inf,-4.18488716093775,2.85307790342997e-05
QTL fixation,20X - 2X,Peri,200,2,4,CV,negative_QTL,-0.0187515240185234,0.00666463808439269,Inf,-2.8135847409983,0.00489924712437612
QTL fixation,20X - 2X,Chr,200,8,4,CV,negative_QTL,-0.0491099731772622,0.00666463808439271,Inf,-7.36873819034048,1.72250555646446e-13
QTL fixation,20X - 2X,Peri,200,8,4,CV,negative_QTL,-0.030614484272129,0.00666463808439269,Inf,-4.59357040614438,4.35725916961068e-06
QTL fixation,20X - 2X,Chr,200,8,3,GW,negative_QTL,-0.0253506172839411,0.00666463808439272,Inf,-3.80375002557263,0.000142522003336561
QTL fixation,20X - 2X,Peri,200,8,3,GW,negative_QTL,-0.0239506172839496,0.00666463808439265,Inf,-3.59368610578233,0.000326032582435356
QTL fixation,20X - 2X,Peri,2,2,4,GW,negative_QTL,-0.0183333333333399,0.00666463808439268,Inf,-2.75083704489117,0.00594432053959482
QTL fixation,20X - 2X,Peri,200,2,4,GW,negative_QTL,-0.0148987654321008,0.00666463808439267,Inf,-2.23549504765921,0.0253848663909228
QTL fixation,20X - 2X,Chr,2,8,4,GW,negative_QTL,-0.0171428571428885,0.0066646380843927,Inf,-2.57221126275915,0.0101051207244806
QTL fixation,20X - 2X,Peri,2,8,4,GW,negative_QTL,-0.0130952380952374,0.00666463808439269,Inf,-1.96488360349288,0.0494277108865705
QTL fixation,20X - 2X,Chr,200,8,4,GW,negative_QTL,-0.0313456790123466,0.00666463808439269,Inf,-4.70328300133088,2.56011171637182e-06
QTL fixation,20X - 2X,Peri,200,8,4,GW,negative_QTL,-0.0162320987654329,0.00666463808439251,Inf,-2.43555592365109,0.0148689260057169
QTL fixation,20X - 2X,Chr,200,2,3,CV,positive_QTL,-0.0362179956108416,0.0066646380843927,Inf,-5.43435294643488,5.49956295174345e-08
QTL fixation,20X - 2X,Peri,200,2,3,CV,positive_QTL,-0.0266642282370045,0.00666463808439269,Inf,-4.00085164405956,6.31149200866566e-05
QTL fixation,20X - 2X,Peri,2,8,3,CV,positive_QTL,-0.022857142857134,0.0066646380843927,Inf,-3.42961501700461,0.000604438193914296
QTL fixation,20X - 2X,Chr,200,8,3,CV,positive_QTL,-0.0491221653255185,0.0066646380843927,Inf,-7.37056756923579,1.6990312374972e-13
QTL fixation,20X - 2X,Peri,200,8,3,CV,positive_QTL,-0.0202487198244336,0.00666463808439268,Inf,-3.03823246934478,0.0023797029905147
QTL fixation,20X - 2X,Chr,200,2,4,CV,positive_QTL,-0.0269909778102894,0.0066646380843927,Inf,-4.0498789984556,5.12441228147821e-05
QTL fixation,20X - 2X,Peri,200,2,4,CV,positive_QTL,-0.0187076322848125,0.0066646380843927,Inf,-2.80699897697704,0.00500054005054821
QTL fixation,20X - 2X,Chr,200,8,4,CV,positive_QTL,-0.0477688368690545,0.0066646380843927,Inf,-7.16750651185694,7.63760360771232e-13
QTL fixation,20X - 2X,Peri,200,8,4,CV,positive_QTL,-0.0302950499878087,0.00666463808439278,Inf,-4.54564067908706,5.47684017128106e-06
QTL fixation,20X - 2X,Chr,2,2,3,GW,positive_QTL,-0.0473809523815728,0.00666463808439256,Inf,-7.10930612909512,1.16627800459104e-12
QTL fixation,20X - 2X,Peri,2,2,3,GW,positive_QTL,-0.0549999999999916,0.00666463808439269,Inf,-8.25251113466928,1.5510044220345e-16
QTL fixation,20X - 2X,Chr,200,2,3,GW,positive_QTL,-0.0187925925925887,0.00666463808439269,Inf,-2.81974690217573,0.00480615409791424
QTL fixation,20X - 2X,Peri,200,2,3,GW,positive_QTL,-0.0158641975308662,0.00666463808439268,Inf,-2.38035394120158,0.0172960161981541
QTL fixation,20X - 2X,Chr,2,8,3,GW,positive_QTL,-0.0788095238095563,0.00666463808439266,Inf,-11.82502677739,2.89810295448149e-32
QTL fixation,20X - 2X,Peri,2,8,3,GW,positive_QTL,-0.0502380952380988,0.00666463808439272,Inf,-7.53800800612813,4.7720457037148e-14
QTL fixation,20X - 2X,WT,2,8,3,GW,positive_QTL,-0.0240476190476201,0.00666463808439273,Inf,-3.6082407991418,0.000308280298732817
QTL fixation,20X - 2X,Chr,200,8,3,GW,positive_QTL,-0.032543209876543,0.00666463808439272,Inf,-4.88296730661983,1.04501202835757e-06
QTL fixation,20X - 2X,Peri,200,8,3,GW,positive_QTL,-0.0253530864197533,0.00666463808439273,Inf,-3.80412050867777,0.000142308892990396
