response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL DV AF,2 - 8,2X,Peri,2,3,CV,large_neg,0.0185818181817871,0.00912757190996592,Inf,2.03578984258657,0.0417714628335678
QTL DV AF,2 - 8,20X,Chr,200,3,CV,large_neg,0.0496836257313383,0.00912757190996826,Inf,5.44324670584941,5.23181082518942e-08
QTL DV AF,2 - 8,2X,Chr,200,3,CV,large_neg,0.0362423732942761,0.00912757190996592,Inf,3.97064779678207,7.16774746238533e-05
QTL DV AF,2 - 8,20X,Peri,200,3,CV,large_neg,0.040721929824551,0.00912757190996593,Inf,4.46141977584299,8.14184260672922e-06
QTL DV AF,2 - 8,2X,Peri,200,3,CV,large_neg,0.0388315302144278,0.00912757190996597,Inf,4.25431106952217,2.0969362354156e-05
QTL DV AF,2 - 8,20X,WT,200,3,CV,large_neg,0.0343963693957009,0.00912757190996597,Inf,3.76840300300949,0.000164295302987019
QTL DV AF,2 - 8,2X,WT,200,3,CV,large_neg,0.0368482456140397,0.00912757190996588,Inf,4.03702605441072,5.41330589201222e-05
QTL DV AF,2 - 8,20X,Chr,200,4,CV,large_neg,0.0406459551656169,0.00912757190996589,Inf,4.45309613186809,8.46408356174229e-06
QTL DV AF,2 - 8,2X,Chr,200,4,CV,large_neg,0.0357184941520658,0.00912757190996589,Inf,3.91325256096496,9.10612052671455e-05
QTL DV AF,2 - 8,20X,Peri,200,4,CV,large_neg,0.0355552387914274,0.00912757190996598,Inf,3.89536660375211,9.80503137787921e-05
QTL DV AF,2 - 8,2X,Peri,200,4,CV,large_neg,0.0319394493177383,0.00912757190996594,Inf,3.49922735561964,0.000466608529749071
QTL DV AF,2 - 8,20X,WT,200,4,CV,large_neg,0.0314940545809013,0.00912757190996588,Inf,3.45043072698388,0.000559692786355367
QTL DV AF,2 - 8,2X,WT,200,4,CV,large_neg,0.0322118177387904,0.0091275719099659,Inf,3.52906753915793,0.000417026685161252
QTL DV AF,2 - 8,20X,Chr,2,3,GW,large_neg,0.0548636363639781,0.00912757190996822,Inf,6.01075914877883,1.84656571614678e-09
