response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
QTL DV AF,large_neg - med_neg,2,20X,Chr,2,3,CV,-0.107362045456173,0.0091275719100057,Inf,-11.7623883454133,0
QTL DV AF,large_neg - small_neg,2,20X,Chr,2,3,CV,-0.357295454546963,0.00912757191000608,Inf,-39.1446332134923,0
QTL DV AF,med_neg - small_neg,2,20X,Chr,2,3,CV,-0.24993340909079,0.00912757190996606,Inf,-27.3822448681995,0
QTL DV AF,large_neg - small_neg,8,20X,Chr,2,3,CV,-0.180695454545162,0.00912757190996803,Inf,-19.7966618425463,0
QTL DV AF,med_neg - small_neg,8,20X,Chr,2,3,CV,-0.178916931818174,0.00912757190996592,Inf,-19.6018101618924,0
QTL DV AF,large_neg - med_neg,2,2X,Chr,2,3,CV,-0.120826818181353,0.00912757190996752,Inf,-13.2375640940618,0
QTL DV AF,large_neg - small_neg,2,2X,Chr,2,3,CV,-0.368724999999565,0.00912757190996775,Inf,-40.3968332034612,0
QTL DV AF,med_neg - small_neg,2,2X,Chr,2,3,CV,-0.247898181818212,0.0091275719099659,Inf,-27.1592691094052,0
QTL DV AF,large_neg - small_neg,8,2X,Chr,2,3,CV,-0.182681818181891,0.00912757190996605,Inf,-20.0142841912237,0
QTL DV AF,med_neg - small_neg,8,2X,Chr,2,3,CV,-0.175116250000011,0.00912757190996594,Inf,-19.1854144483716,0
QTL DV AF,large_neg - med_neg,2,20X,Peri,2,3,CV,-0.12047238636355,0.00912757190996698,Inf,-13.1987331956266,0
QTL DV AF,large_neg - small_neg,2,20X,Peri,2,3,CV,-0.39272499999992,0.00912757190996707,Inf,-43.0262290863,0
QTL DV AF,med_neg - small_neg,2,20X,Peri,2,3,CV,-0.27225261363637,0.00912757190996603,Inf,-29.8274958906769,0
QTL DV AF,large_neg - small_neg,8,20X,Peri,2,3,CV,-0.164884090909127,0.009127571909966,Inf,-18.0643979073008,0
QTL DV AF,med_neg - small_neg,8,20X,Peri,2,3,CV,-0.15639431818182,0.00912757190996596,Inf,-17.1342740133397,0
