response,contrast,Recombination,QTL,H2,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL DV AF,Chr - WT,20X,2,2,3,GW,large_neg,0.0269204545457914,0.00912757190996778,Inf,2.94935551440497,0.00893679486556231
QTL DV AF,Chr - WT,20X,2,2,3,GW,med_neg,0.0228662499999874,0.00912757190996593,Inf,2.50518431687412,0.0327805320064267
QTL DV AF,Chr - Peri,2X,2,2,3,GW,med_neg,0.0215000000000098,0.00912757190996589,Inf,2.35550047834026,0.0485254745987691
QTL DV AF,Chr - WT,20X,2,8,4,GW,med_neg,-0.0485862499999963,0.00912757190996598,Inf,-5.32302023793942,3.05695337488032e-07
QTL DV AF,Peri - WT,20X,2,8,4,GW,med_neg,-0.0354962500000002,0.00912757190996606,Inf,-3.88890390019751,0.00029660200379833
QTL DV AF,Chr - Peri,20X,2,2,3,CV,small_neg,-0.0309954545454368,0.00912757190996748,Inf,-3.39580502363276,0.00197783494744364
QTL DV AF,Peri - WT,20X,2,2,3,CV,small_neg,0.0435999999999955,0.00912757190996598,Inf,4.77673585374777,5.32194454017088e-06
QTL DV AF,Chr - WT,20X,2,2,4,CV,small_neg,0.0255840909090821,0.00912757190996605,Inf,2.80294597089373,0.0140253885611441
QTL DV AF,Peri - WT,20X,2,2,4,CV,small_neg,0.0286409090909088,0.009127571909966,Inf,3.13784535180019,0.00484489381001219
QTL DV AF,Chr - WT,2X,2,2,4,CV,small_neg,-0.0347477272727226,0.00912757190996595,Inf,-3.80689712614406,0.000413500832591285
QTL DV AF,Peri - WT,2X,2,2,4,CV,small_neg,-0.0223499999999996,0.00912757190996598,Inf,-2.44862491585486,0.038121523353375
QTL DV AF,Peri - WT,20X,2,2,3,GW,small_neg,0.0230272727272728,0.00912757190996597,Inf,2.52282567088082,0.0312518228266754
QTL DV AF,Chr - Peri,2X,2,2,3,GW,small_neg,-0.0264113636363591,0.00912757190996591,Inf,-2.89358045018763,0.0106380955364018
QTL DV AF,Chr - WT,20X,2,8,3,GW,small_neg,0.035806818181827,0.00912757190996594,Inf,3.92292917930686,0.000257902175649805
QTL DV AF,Peri - WT,20X,2,8,3,GW,small_neg,0.031945454545455,0.00912757190996596,Inf,3.49988527732937,0.00135208856034741
QTL DV AF,Chr - Peri,2X,2,8,3,GW,small_neg,-0.0246840909090885,0.00912757190996603,Inf,-2.70434362528954,0.0187665155649394
QTL DV AF,Chr - WT,20X,2,2,4,GW,small_neg,-0.051920454545446,0.00912757190996592,Inf,-5.68830955894818,3.84617611093319e-08
QTL DV AF,Peri - WT,20X,2,2,4,GW,small_neg,-0.0427749999999989,0.00912757190996597,Inf,-4.68635037027699,8.30162203391271e-06
QTL DV AF,Chr - Peri,2X,2,2,4,GW,small_neg,-0.0313863636363611,0.00912757190996594,Inf,-3.43863230505935,0.00169351094342851
QTL DV AF,Chr - WT,2X,2,2,4,GW,small_neg,-0.030334090909089,0.00912757190996596,Inf,-3.3233472393648,0.00256100573763751
QTL DV AF,Chr - WT,20X,2,8,4,GW,small_neg,-0.0672204545454523,0.00912757190996591,Inf,-7.36454943423211,5.53890266985491e-13
QTL DV AF,Peri - WT,20X,2,8,4,GW,small_neg,-0.0506590909090915,0.00912757190996593,Inf,-5.55011687760897,8.55577408920283e-08
QTL DV AF,Chr - WT,2X,2,8,4,GW,small_neg,-0.0389659090909064,0.00912757190996593,Inf,-4.26903337221167,5.83019179295485e-05
QTL DV AF,Peri - WT,2X,2,8,4,GW,small_neg,-0.0394045454545453,0.00912757190996619,Inf,-4.3170895659031,4.69868325978506e-05
