response,contrast,Recombination,Map_type,QTL,H2,Repulsion,Allele,estimate,SE,df,z.ratio,p.value
QTL DV AF,CV - GW,20X,Chr,2,2,3,large_neg,-0.0532363636381817,0.0091275719100136,Inf,-5.83247814019165,5.46101611973879e-09
QTL DV AF,CV - GW,2X,Chr,2,2,3,large_neg,-0.024629545454039,0.00912757190996791,Inf,-2.69836772550013,0.00696804231820259
QTL DV AF,CV - GW,20X,Peri,2,2,3,large_neg,-0.0485522727271823,0.0091275719099669,Inf,-5.31929775038698,1.0416853892508e-07
QTL DV AF,CV - GW,2X,Peri,2,2,3,large_neg,-0.0311613636363919,0.00912757190996591,Inf,-3.41398171866151,0.000640208713768917
QTL DV AF,CV - GW,20X,WT,2,2,3,large_neg,-0.0344795454544423,0.00912757190996751,Inf,-3.77751561910894,0.000158400573903479
QTL DV AF,CV - GW,2X,WT,2,2,3,large_neg,-0.0389909090909197,0.00912757190996573,Inf,-4.2717723262578,1.93925515128923e-05
QTL DV AF,CV - GW,20X,WT,2,8,3,large_neg,-0.0199795454545431,0.00912757190996595,Inf,-2.18892227326398,0.0286024898883928
QTL DV AF,CV - GW,20X,Chr,2,2,4,large_neg,-0.0688318181815333,0.00912757190996805,Inf,-7.54108747216369,4.66068347872494e-14
QTL DV AF,CV - GW,2X,Chr,2,2,4,large_neg,-0.0372750000000516,0.00912757190996596,Inf,-4.08378048047507,4.43088903545911e-05
QTL DV AF,CV - GW,20X,Peri,2,2,4,large_neg,-0.0455477272727402,0.00912757190996592,Inf,-4.99012527340475,6.03401476037828e-07
QTL DV AF,CV - GW,2X,Peri,2,2,4,large_neg,-0.0408045454545427,0.00912757190996598,Inf,-4.47047099239942,7.80475294278744e-06
QTL DV AF,CV - GW,20X,WT,2,2,4,large_neg,-0.05805681818184,0.00912757190996592,Inf,-6.36059827898488,2.00969419464569e-10
QTL DV AF,CV - GW,2X,WT,2,2,4,large_neg,-0.0361749999999957,0.0091275719099659,Inf,-3.96326650250744,7.3931171369948e-05
QTL DV AF,CV - GW,20X,Chr,2,8,4,large_neg,-0.0220840909091263,0.00912757190996576,Inf,-2.41949240465739,0.0155421853069783
QTL DV AF,CV - GW,2X,Chr,2,8,4,large_neg,-0.019286363636366,0.00912757190996594,Inf,-2.11297854748295,0.0346026040637758
QTL DV AF,CV - GW,20X,Peri,2,8,4,large_neg,-0.0255545454545494,0.00912757190996596,Inf,-2.79970902520611,0.00511486893156865
QTL DV AF,CV - GW,2X,Peri,2,8,4,large_neg,-0.0199272727272706,0.00912757190996597,Inf,-2.1831953693526,0.0290214256356528
QTL DV AF,CV - GW,20X,WT,2,8,4,large_neg,-0.0340000000000067,0.00912757190996594,Inf,-3.72497750063013,0.000195332643058048
QTL DV AF,CV - GW,2X,WT,2,8,4,large_neg,-0.0192136363636366,0.00912757190996594,Inf,-2.10501068117121,0.0352903783056186
QTL DV AF,CV - GW,20X,Chr,2,2,3,med_neg,-0.124434999999856,0.00912757190996728,Inf,-13.6328698614768,2.55338118311456e-42
QTL DV AF,CV - GW,2X,Chr,2,2,3,med_neg,-0.095711250000043,0.00912757190996584,Inf,-10.4859486119788,1.00234688228191e-25
QTL DV AF,CV - GW,20X,Peri,2,2,3,med_neg,-0.105707500000014,0.00912757190996595,Inf,-11.581119386701,5.13708352749892e-31
QTL DV AF,CV - GW,2X,Peri,2,2,3,med_neg,-0.0732774999999981,0.0091275719099659,Inf,-8.02814820006955,9.89549018270773e-16
QTL DV AF,CV - GW,20X,WT,2,2,3,med_neg,-0.0981562500000199,0.00912757190996608,Inf,-10.753818317536,5.68580834484768e-27
QTL DV AF,CV - GW,2X,WT,2,2,3,med_neg,-0.080498749999991,0.00912757190996597,Inf,-8.81929507584577,1.15182537981937e-18
QTL DV AF,CV - GW,20X,Chr,2,8,3,med_neg,-0.0742700000000357,0.00912757190996594,Inf,-8.13688467564347,4.05578710467769e-16
QTL DV AF,CV - GW,2X,Chr,2,8,3,med_neg,-0.0661937499999998,0.00912757190996597,Inf,-7.25206557153781,4.10463070328669e-13
QTL DV AF,CV - GW,20X,Peri,2,8,3,med_neg,-0.0651899999999949,0.00912757190996595,Inf,-7.14209656664738,9.19179834295207e-13
QTL DV AF,CV - GW,2X,Peri,2,8,3,med_neg,-0.0612000000000004,0.00912757190996595,Inf,-6.70495950113295,2.01462233649109e-11
QTL DV AF,CV - GW,20X,WT,2,8,3,med_neg,-0.0786412499999992,0.00912757190996593,Inf,-8.61579079033438,6.94604904572139e-18
QTL DV AF,CV - GW,2X,WT,2,8,3,med_neg,-0.0616112500000019,0.00912757190996598,Inf,-6.75001529516644,1.47829570780063e-11
QTL DV AF,CV - GW,20X,Chr,2,2,4,med_neg,-0.157163750000013,0.00912757190996593,Inf,-17.2185715489586,1.92685320888986e-66
QTL DV AF,CV - GW,2X,Chr,2,2,4,med_neg,-0.136479999999992,0.00912757190996593,Inf,-14.9524979201726,1.50014851818421e-50
QTL DV AF,CV - GW,20X,Peri,2,2,4,med_neg,-0.140797499999999,0.0091275719099659,Inf,-15.4255152836726,1.10271504209363e-53
QTL DV AF,CV - GW,2X,Peri,2,2,4,med_neg,-0.14471875,0.00912757190996596,Inf,-15.855120225565,1.29579385332638e-56
QTL DV AF,CV - GW,20X,WT,2,2,4,med_neg,-0.146606249999994,0.00912757190996594,Inf,-16.0619112559301,4.71786989533228e-58
QTL DV AF,CV - GW,2X,WT,2,2,4,med_neg,-0.150766250000002,0.00912757190996597,Inf,-16.5176732089492,2.7375737743306e-61
QTL DV AF,CV - GW,20X,Chr,2,8,4,med_neg,-0.101849999999997,0.00912757190996592,Inf,-11.1584987776205,6.50812431065625e-29
QTL DV AF,CV - GW,2X,Chr,2,8,4,med_neg,-0.111465,0.00912757190996601,Inf,-12.2119005031662,2.68542031175391e-34
QTL DV AF,CV - GW,20X,Peri,2,8,4,med_neg,-0.109158750000001,0.00912757190996594,Inf,-11.9592319925539,5.80967473479645e-33
