response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL DV AF,2 - 200,Chr,20X,2,3,CV,large_neg,-0.418505154618107,0.00912757191001348,Inf,-45.8506554365222,0
QTL DV AF,2 - 200,Peri,20X,2,3,CV,large_neg,-0.421026794258291,0.00912757190996686,Inf,-46.1269216404146,0
QTL DV AF,2 - 200,WT,20X,2,3,CV,large_neg,-0.427470326067599,0.00912757190996769,Inf,-46.8328631408297,0
QTL DV AF,2 - 200,Chr,2X,2,3,CV,large_neg,-0.418277505315828,0.00912757190996801,Inf,-45.8257145976617,0
QTL DV AF,2 - 200,Peri,2X,2,3,CV,large_neg,-0.415066571415944,0.00912757190996583,Inf,-45.473930581994,0
QTL DV AF,2 - 200,WT,2X,2,3,CV,large_neg,-0.423464179071429,0.00912757190996577,Inf,-46.3939570401059,0
QTL DV AF,2 - 200,Chr,20X,8,3,CV,large_neg,-0.382769256157746,0.00912757190996834,Inf,-41.9354960917612,0
QTL DV AF,2 - 200,Peri,20X,8,3,CV,large_neg,-0.390518500797484,0.00912757190996596,Inf,-42.7844890897102,0
QTL DV AF,2 - 200,WT,20X,8,3,CV,large_neg,-0.39993304758108,0.00912757190996606,Inf,-43.8159295293425,0
QTL DV AF,2 - 200,Chr,2X,8,3,CV,large_neg,-0.395935132022043,0.00912757190996601,Inf,-43.3779252497303,0
QTL DV AF,2 - 200,Peri,2X,8,3,CV,large_neg,-0.394816859383303,0.00912757190996598,Inf,-43.2554093550576,0
QTL DV AF,2 - 200,WT,2X,8,3,CV,large_neg,-0.396997751639197,0.00912757190996594,Inf,-43.4943439016608,0
QTL DV AF,2 - 200,Chr,20X,2,4,CV,large_neg,-0.429785021264992,0.00912757190996829,Inf,-47.0864568917415,0
QTL DV AF,2 - 200,Peri,20X,2,4,CV,large_neg,-0.421862674995587,0.00912757190996591,Inf,-46.2184991974675,0
QTL DV AF,2 - 200,WT,20X,2,4,CV,large_neg,-0.429010550682279,0.00912757190996598,Inf,-47.0016073183562,0
QTL DV AF,2 - 200,Chr,2X,2,4,CV,large_neg,-0.425797782651128,0.00912757190996591,Inf,-46.6496223586277,0
QTL DV AF,2 - 200,Peri,2X,2,4,CV,large_neg,-0.425470208665601,0.00912757190996594,Inf,-46.6137339549252,0
QTL DV AF,2 - 200,WT,2X,2,4,CV,large_neg,-0.428599656654259,0.00912757190996589,Inf,-46.956590523959,0
QTL DV AF,2 - 200,Chr,20X,8,4,CV,large_neg,-0.399129975190554,0.00912757190996583,Inf,-43.7279463944588,0
QTL DV AF,2 - 200,Peri,20X,8,4,CV,large_neg,-0.40265061802233,0.00912757190996594,Inf,-44.1136615514029,0
QTL DV AF,2 - 200,WT,20X,8,4,CV,large_neg,-0.410286950646824,0.00912757190996597,Inf,-44.9502841165076,0
QTL DV AF,2 - 200,Chr,2X,8,4,CV,large_neg,-0.40599974304448,0.00912757190996591,Inf,-44.4805855324121,0
