response,contrast,Map_type,QTL,H2,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL DV AF,20X - 2X,Chr,2,2,3,GW,large_neg,0.0291590909094898,0.00912757190996813,Inf,3.19461639931266,0.00140016809810476
QTL DV AF,20X - 2X,Chr,2,2,4,GW,large_neg,0.0236545454544828,0.00912757190996576,Inf,2.59154851781075,0.00955450680773947
QTL DV AF,20X - 2X,WT,2,2,4,GW,large_neg,0.0195977272727365,0.00912757190996589,Inf,2.14709097512985,0.0317860396498167
QTL DV AF,20X - 2X,Peri,2,2,3,GW,med_neg,0.0272600000000048,0.00912757190996586,Inf,2.98655549021106,0.00282139629461734
QTL DV AF,20X - 2X,Peri,2,2,3,CV,small_neg,0.0198249999999967,0.00912757190996599,Inf,2.17199055735191,0.0298563751595339
QTL DV AF,20X - 2X,WT,2,2,4,CV,small_neg,-0.0570659090909071,0.00912757190996599,Inf,-6.25203610048795,4.05135711907321e-10
QTL DV AF,20X - 2X,Chr,2,8,4,CV,small_neg,-0.0206431818181755,0.00912757190996589,Inf,-2.26162905335606,0.0237203314246376
QTL DV AF,20X - 2X,Chr,2,8,3,GW,small_neg,0.0416931818181882,0.00912757190996593,Inf,4.56782835889417,4.9280330814975e-06
QTL DV AF,20X - 2X,Chr,2,2,4,GW,small_neg,-0.0195954545454495,0.00912757190996592,Inf,-2.14684197930604,0.0318058640250713
QTL DV AF,20X - 2X,Peri,2,2,4,GW,small_neg,-0.0418363636363634,0.0091275719099659,Inf,-4.58351509569424,4.57223858929946e-06
QTL DV AF,20X - 2X,Chr,2,8,4,GW,small_neg,-0.0251704545454548,0.00912757190996596,Inf,-2.75762873124805,0.00582222834500866
