response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,estimate,SE,df,z.ratio,p.value
QTL DV AF,3 - 4,GW,20X,WT,2,2,large_neg,-0.0312204545454775,0.00912757190996581,Inf,-3.42045561003906,0.000625163374662782
QTL DV AF,3 - 4,GW,20X,Chr,2,2,med_neg,-0.0450250000000142,0.00912757190996591,Inf,-4.93285623429094,8.10358012724327e-07
QTL DV AF,3 - 4,GW,2X,Chr,2,2,med_neg,-0.053834999999991,0.00912757190996587,Inf,-5.89806363959858,3.67792129766018e-09
QTL DV AF,3 - 4,GW,20X,Peri,2,2,med_neg,-0.0489449999999956,0.00912757190996592,Inf,-5.36232422847911,8.21579001899416e-08
QTL DV AF,3 - 4,GW,2X,Peri,2,2,med_neg,-0.0859375000000009,0.00912757190996595,Inf,-9.41515452824534,4.72387026260481e-21
QTL DV AF,3 - 4,CV,20X,WT,2,2,med_neg,-0.022273750000024,0.0091275719099661,Inf,-2.44027110602152,0.014676243276343
QTL DV AF,3 - 4,GW,20X,WT,2,2,med_neg,-0.0707237499999977,0.00912757190996595,Inf,-7.74836404441557,9.3083958767754e-15
QTL DV AF,3 - 4,GW,2X,WT,2,2,med_neg,-0.087413750000001,0.00912757190996595,Inf,-9.57688976457783,1.00011316388856e-21
QTL DV AF,3 - 4,CV,20X,Chr,200,2,med_neg,-0.0342163128355427,0.00912757190996606,Inf,-3.74867633726152,0.000177770326162314
QTL DV AF,3 - 4,GW,20X,Chr,200,2,med_neg,-0.0277003582015757,0.00912757190996594,Inf,-3.03480032530131,0.00240694982086458
QTL DV AF,3 - 4,CV,2X,Chr,200,2,med_neg,-0.0345411176183446,0.00912757190996595,Inf,-3.78426135220374,0.000154165755553504
QTL DV AF,3 - 4,GW,2X,Chr,200,2,med_neg,-0.0311064229249018,0.00912757190996588,Inf,-3.4079625153036,0.00065449884974262
QTL DV AF,3 - 4,CV,20X,Peri,200,2,med_neg,-0.0350756710590513,0.0091275719099659,Inf,-3.84282604454248,0.000121625677626415
QTL DV AF,3 - 4,GW,20X,Peri,200,2,med_neg,-0.0312984066205537,0.00912757190996595,Inf,-3.42899589609155,0.000605818687977323
QTL DV AF,3 - 4,CV,2X,Peri,200,2,med_neg,-0.0354519521717915,0.00912757190996597,Inf,-3.88405071156801,0.000102730466386223
QTL DV AF,3 - 4,GW,2X,Peri,200,2,med_neg,-0.0326733078063242,0.00912757190996584,Inf,-3.57962754263817,0.000344084279944328
QTL DV AF,3 - 4,CV,20X,WT,200,2,med_neg,-0.0356421547096113,0.00912757190996594,Inf,-3.90488895197806,9.42686625190788e-05
QTL DV AF,3 - 4,GW,20X,WT,200,2,med_neg,-0.0328544589920954,0.00912757190996591,Inf,-3.59947413355609,0.000318861347219395
QTL DV AF,3 - 4,CV,2X,WT,200,2,med_neg,-0.0313186554416795,0.00912757190996597,Inf,-3.43121431971236,0.000600885662577339
QTL DV AF,3 - 4,GW,2X,WT,200,2,med_neg,-0.033332225790514,0.00912757190996605,Inf,-3.65181738575182,0.000260391026667231
QTL DV AF,3 - 4,GW,20X,Chr,2,8,med_neg,-0.0337862499999971,0.00912757190996591,Inf,-3.70155944354792,0.000214278440573797
QTL DV AF,3 - 4,GW,2X,Chr,2,8,med_neg,-0.0530625000000011,0.00912757190996593,Inf,-5.8134299596221,6.12055872165913e-09
QTL DV AF,3 - 4,GW,20X,Peri,2,8,med_neg,-0.0499450000000014,0.00912757190996594,Inf,-5.47188239026295,4.45280315154459e-08
