response,contrast,Map_type,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,20X - 2X,Chr,200,2,1,GW,DV,0.175800376210238,0.0693182380709311,Inf,2.53613451672484,0.0112083671119487
Bulmer effect,20X - 2X,WT,200,2,1,GW,DV,-0.848676086485797,0.0693182380709468,Inf,-12.2431860662295,1.82716612190357e-34
Bulmer effect,20X - 2X,Chr,200,8,1,GW,DV,0.39440327743109,0.0693182380709309,Inf,5.68974758168998,1.27227300103107e-08
Bulmer effect,20X - 2X,Peri,200,8,1,GW,DV,0.369041286120352,0.069318238070939,Inf,5.32386997117096,1.01582532814756e-07
Bulmer effect,20X - 2X,Chr,200,2,2,GW,DV,0.271873475095825,0.0693182380709402,Inf,3.92210596607476,8.77783697905693e-05
Bulmer effect,20X - 2X,Peri,200,2,2,GW,DV,0.2095451793518,0.0693182380709408,Inf,3.02294439649995,0.00250328234248171
Bulmer effect,20X - 2X,Chr,200,8,2,GW,DV,0.328733344088825,0.0693182380709377,Inf,4.74237882031006,2.11223177410161e-06
Bulmer effect,20X - 2X,Peri,200,8,2,GW,DV,0.144142411786357,0.0693182380709449,Inf,2.07942982680594,0.0375778614033693
Bulmer effect,20X - 2X,Chr,200,2,3,GW,DV,0.152591474452145,0.0693182380709403,Inf,2.20131784503788,0.0277135304312109
Bulmer effect,20X - 2X,Peri,200,2,3,GW,DV,0.235689127063191,0.0693182380709399,Inf,3.40010268036512,0.000673605526092257
Bulmer effect,20X - 2X,Chr,200,8,3,GW,DV,0.18707844475341,0.0693182380709413,Inf,2.69883438990401,0.00695827936196111
Bulmer effect,20X - 2X,Peri,200,8,3,GW,DV,0.152091144848547,0.0693182380709406,Inf,2.19409998120403,0.0282282226290418
Bulmer effect,20X - 2X,Chr,2,8,4,GW,DV,0.3217843322164,0.140607357075442,Inf,2.28853126116117,0.022106601755815
Bulmer effect,20X - 2X,Peri,2,8,4,GW,DV,0.243729177472437,0.110527753368124,Inf,2.20514006704427,0.0274442672455381
Bulmer effect,20X - 2X,Chr,200,8,4,GW,DV,0.22026729247751,0.0693182380709424,Inf,3.17762393573941,0.00148487212027506
Bulmer effect,20X - 2X,Chr,200,2,5,GW,DV,0.433136519281965,0.0693182380709451,Inf,6.24852176477225,4.1435549237835e-10
Bulmer effect,20X - 2X,Peri,200,2,5,GW,DV,0.266995560215711,0.06931823807094,Inf,3.85173610359902,0.000117283375645591
Bulmer effect,20X - 2X,WT,200,2,5,GW,DV,0.162688485601084,0.0693182380709414,Inf,2.34697952701259,0.0189262946923181
Bulmer effect,20X - 2X,Chr,200,8,5,GW,DV,0.405804568225868,0.0693182380709387,Inf,5.85422508590852,4.7923921672979e-09
Bulmer effect,20X - 2X,Peri,200,8,5,GW,DV,0.280535327828642,0.0693182380709343,Inf,4.04706374015979,5.18641219529415e-05
Bulmer effect,20X - 2X,Chr,200,8,1,CV,R,0.201267860852488,0.0693182380709375,Inf,2.90353399701992,0.00368976908113036
Bulmer effect,20X - 2X,Chr,200,8,3,CV,R,0.159609533879903,0.069318238070932,Inf,2.30256189888406,0.0213035049650447
Bulmer effect,20X - 2X,Chr,200,8,4,CV,R,0.163828398492427,0.0693182380709421,Inf,2.36342415865736,0.0181069323723641
Bulmer effect,20X - 2X,Chr,200,8,5,CV,R,0.173131604463429,0.0693182380709381,Inf,2.49763423424369,0.0125025120222954
Bulmer effect,20X - 2X,Chr,200,2,1,GW,R,-0.166170787008672,0.0693182380709392,Inf,-2.39721596556761,0.0165201834873828
Bulmer effect,20X - 2X,WT,200,2,1,GW,R,0.227268179547675,0.069318238070941,Inf,3.27862025741459,0.00104315906669843
Bulmer effect,20X - 2X,Chr,200,8,1,GW,R,0.232932377263231,0.069318238070937,Inf,3.3603332073279,0.000778485205194347
Bulmer effect,20X - 2X,WT,200,8,1,GW,R,0.178733648025226,0.0693182380709331,Inf,2.57845053479762,0.00992445076147335
Bulmer effect,20X - 2X,Chr,200,8,2,GW,R,0.268384586798492,0.0693182380709334,Inf,3.87177450361409,0.000108045886522007
Bulmer effect,20X - 2X,Peri,200,8,2,GW,R,0.166491292567848,0.0693182380709418,Inf,2.40183964857066,0.016312857392725
Bulmer effect,20X - 2X,Peri,200,2,3,GW,R,0.183663394290163,0.0693182380709414,Inf,2.64956812811945,0.00805947210128917
Bulmer effect,20X - 2X,Chr,200,8,3,GW,R,0.244110405513485,0.0693182380709305,Inf,3.52158987745327,0.000428967226402567
Bulmer effect,20X - 2X,Peri,200,8,3,GW,R,0.172232081579254,0.0693182380709289,Inf,2.48465752119984,0.0129676122877037
Bulmer effect,20X - 2X,Chr,200,8,4,GW,R,0.187388531240295,0.0693182380709423,Inf,2.70330776510096,0.00686531465796639
Bulmer effect,20X - 2X,Peri,200,8,4,GW,R,0.148804094031968,0.0693182380709477,Inf,2.14668027020055,0.0318187445447028
Bulmer effect,20X - 2X,Chr,200,2,5,GW,R,0.211534646148016,0.0693182380709413,Inf,3.0516448778102,0.00227591186762094
Bulmer effect,20X - 2X,Peri,200,2,5,GW,R,0.159414387355394,0.0693182380709408,Inf,2.29974667261807,0.021462576253754
Bulmer effect,20X - 2X,Chr,200,8,5,GW,R,0.278562126561094,0.0693182380709385,Inf,4.01859790890849,5.85454810889381e-05
