response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,2 - 8,20X,Chr,200,1,CV,DV,2.01655029295587,0.0686706200495044,Inf,29.3655465976883,1.51308306046547e-189
Bulmer effect,2 - 8,2X,Chr,200,1,CV,DV,2.40837440955961,0.068670620049514,Inf,35.0713945472327,1.84051188335489e-269
Bulmer effect,2 - 8,20X,Peri,200,1,CV,DV,2.16942648707603,0.0686706200495098,Inf,31.591770767643,4.78965201763499e-219
Bulmer effect,2 - 8,2X,Peri,200,1,CV,DV,2.23275447949364,0.0686706200495146,Inf,32.5139699901316,6.76805950232183e-232
Bulmer effect,2 - 8,20X,WT,200,1,CV,DV,2.63213269164955,0.0686706200495151,Inf,38.3298227065905,0
Bulmer effect,2 - 8,2X,WT,200,1,CV,DV,2.24881217685886,0.0686706200495155,Inf,32.7478064889662,3.26259956922357e-235
Bulmer effect,2 - 8,20X,Chr,200,2,CV,DV,0.750310166525115,0.0686706200495121,Inf,10.9262180243041,8.63736864650304e-28
Bulmer effect,2 - 8,2X,Chr,200,2,CV,DV,0.752330857638327,0.0686706200495103,Inf,10.955643870638,6.24327868519326e-28
Bulmer effect,2 - 8,20X,Peri,200,2,CV,DV,0.71457258940457,0.0686706200495106,Inf,10.4057978344942,2.33293560676995e-25
Bulmer effect,2 - 8,2X,Peri,200,2,CV,DV,0.797557288653491,0.0686706200495105,Inf,11.6142432976208,3.48863253484057e-31
Bulmer effect,2 - 8,20X,WT,200,2,CV,DV,0.778934483785778,0.0686706200495143,Inf,11.3430530148721,8.02934933808637e-30
Bulmer effect,2 - 8,2X,WT,200,2,CV,DV,0.789239622005761,0.0686706200495113,Inf,11.4931192034777,1.42858737434644e-30
Bulmer effect,2 - 8,20X,WT,2,3,CV,DV,0.249867775795242,0.124472098229154,Inf,2.00741997082137,0.0447049641251364
Bulmer effect,2 - 8,20X,Chr,200,3,CV,DV,0.558220109449137,0.0686706200495135,Inf,8.12895105718638,4.33021092383738e-16
Bulmer effect,2 - 8,2X,Chr,200,3,CV,DV,0.530256485318347,0.0686706200495175,Inf,7.72173725730139,1.14754755457408e-14
Bulmer effect,2 - 8,20X,Peri,200,3,CV,DV,0.577436637560641,0.0686706200495149,Inf,8.40878729716262,4.1427160031601e-17
Bulmer effect,2 - 8,2X,Peri,200,3,CV,DV,0.620215790059479,0.0686706200495113,Inf,9.03174879755426,1.68949889919706e-19
Bulmer effect,2 - 8,20X,WT,200,3,CV,DV,0.632656808874084,0.0686706200495145,Inf,9.21291825263716,3.17376707598989e-20
Bulmer effect,2 - 8,2X,WT,200,3,CV,DV,0.635040173830288,0.0686706200495216,Inf,9.24762545281127,2.29535079160552e-20
Bulmer effect,2 - 8,2X,Peri,2,4,CV,DV,0.997524892862243,0.360150707720289,Inf,2.76974297559057,0.00561005433374869
Bulmer effect,2 - 8,20X,Chr,200,4,CV,DV,0.371677772014964,0.0686706200494995,Inf,5.41247147247323,6.21607603241614e-08
Bulmer effect,2 - 8,2X,Chr,200,4,CV,DV,0.378242760180313,0.0686706200495081,Inf,5.50807259214522,3.62783812582708e-08
Bulmer effect,2 - 8,20X,Peri,200,4,CV,DV,0.442998218758751,0.0686706200495061,Inf,6.45105895999461,1.11071274109746e-10
Bulmer effect,2 - 8,2X,Peri,200,4,CV,DV,0.436842801487471,0.0686706200495127,Inf,6.36142212160746,1.99894254121954e-10
Bulmer effect,2 - 8,20X,WT,200,4,CV,DV,0.472840286233271,0.0686706200495033,Inf,6.88562715601533,5.75334968956608e-12
Bulmer effect,2 - 8,2X,WT,200,4,CV,DV,0.404695129140019,0.0686706200495069,Inf,5.8932790886155,3.78606148860241e-09
Bulmer effect,2 - 8,20X,Chr,2,5,CV,DV,0.274169694514604,0.107700307017845,Inf,2.54567235791794,0.0109067505228078
Bulmer effect,2 - 8,2X,Chr,2,5,CV,DV,0.29355735358699,0.105558311724953,Inf,2.78099705072864,0.00541922294815792
Bulmer effect,2 - 8,20X,Peri,2,5,CV,DV,0.309849654111845,0.115989800202908,Inf,2.6713525979854,0.00755462442270185
Bulmer effect,2 - 8,2X,WT,2,5,CV,DV,0.261553548885914,0.105242364276298,Inf,2.48524964907901,0.012946061029795
Bulmer effect,2 - 8,20X,Chr,200,5,CV,DV,0.874275602680866,0.0686706200495055,Inf,12.7314359772868,3.9549770742615e-37
Bulmer effect,2 - 8,2X,Chr,200,5,CV,DV,0.988449801335301,0.0686706200495159,Inf,14.3940713018547,5.63770846649644e-47
Bulmer effect,2 - 8,20X,Peri,200,5,CV,DV,0.808475272806565,0.0686706200495068,Inf,11.7732339131889,5.36285119669793e-32
Bulmer effect,2 - 8,2X,Peri,200,5,CV,DV,0.939309702897801,0.068670620049522,Inf,13.6784799994585,1.36516608987702e-42
Bulmer effect,2 - 8,20X,WT,200,5,CV,DV,0.90201768148942,0.0686706200495164,Inf,13.1354235747253,2.06333633297193e-39
Bulmer effect,2 - 8,2X,WT,200,5,CV,DV,0.932839429577405,0.0686706200495183,Inf,13.5842581427798,4.96537433726119e-42
Bulmer effect,2 - 8,20X,Chr,200,1,GW,DV,2.16624311401395,0.0686706200494954,Inf,31.5454136347189,2.0725248915412e-218
Bulmer effect,2 - 8,2X,Chr,200,1,GW,DV,2.89018023517835,0.0686706200495125,Inf,42.0875802940833,0
Bulmer effect,2 - 8,20X,Peri,200,1,GW,DV,2.48831594714416,0.0686706200495057,Inf,36.2355246734382,1.67985253458691e-287
Bulmer effect,2 - 8,2X,Peri,200,1,GW,DV,2.78236158210041,0.0686706200495148,Inf,40.5174961299926,0
Bulmer effect,2 - 8,20X,WT,200,1,GW,DV,2.74868291233336,0.0686706200495123,Inf,40.0270583016657,0
Bulmer effect,2 - 8,2X,WT,200,1,GW,DV,3.02709750793727,0.068670620049515,Inf,44.0814063678845,0
Bulmer effect,2 - 8,20X,Chr,200,2,GW,DV,0.514461017975385,0.0686706200495121,Inf,7.4917194224321,6.79771207894025e-14
Bulmer effect,2 - 8,2X,Chr,200,2,GW,DV,0.658100665571209,0.0686706200495097,Inf,9.58343852286082,9.386670399565e-22
Bulmer effect,2 - 8,20X,Peri,200,2,GW,DV,0.670182684251512,0.0686706200495098,Inf,9.75938012163466,1.68180013918545e-22
Bulmer effect,2 - 8,2X,Peri,200,2,GW,DV,0.658220204461213,0.0686706200495046,Inf,9.58517928026138,9.22972092885122e-22
Bulmer effect,2 - 8,20X,WT,200,2,GW,DV,0.725176036361798,0.0686706200495179,Inf,10.5602080749945,4.55650684135856e-26
Bulmer effect,2 - 8,2X,WT,200,2,GW,DV,0.7653125085328,0.0686706200495117,Inf,11.144686155171,7.60117991050946e-29
Bulmer effect,2 - 8,20X,Chr,200,3,GW,DV,0.330304795895206,0.068670620049514,Inf,4.80998708992352,1.50940044425424e-06
Bulmer effect,2 - 8,2X,Chr,200,3,GW,DV,0.410794955752574,0.0686706200495176,Inf,5.98210640090848,2.20270300021332e-09
Bulmer effect,2 - 8,20X,Peri,200,3,GW,DV,0.285759382710163,0.0686706200495136,Inf,4.16130482736462,3.16434370035644e-05
Bulmer effect,2 - 8,2X,Peri,200,3,GW,DV,0.414887807635165,0.0686706200495106,Inf,6.04170760852365,1.52491626976807e-09
Bulmer effect,2 - 8,20X,WT,200,3,GW,DV,0.456981765916129,0.068670620049515,Inf,6.65469112681117,2.83895615249657e-11
Bulmer effect,2 - 8,2X,WT,200,3,GW,DV,0.618871719115229,0.0686706200495271,Inf,9.01217607572034,2.02007672129766e-19
Bulmer effect,2 - 8,20X,Chr,200,4,GW,DV,0.25728954135402,0.0686706200495061,Inf,3.74671935637883,0.000179162337006399
Bulmer effect,2 - 8,2X,Chr,200,4,GW,DV,0.334379035213179,0.0686706200495079,Inf,4.86931725637702,1.11984491522597e-06
Bulmer effect,2 - 8,20X,Peri,200,4,GW,DV,0.328354314342098,0.0686706200495083,Inf,4.78158365404841,1.73919600066569e-06
Bulmer effect,2 - 8,2X,Peri,200,4,GW,DV,0.365278683489264,0.0686706200495018,Inf,5.31928622787955,1.0417513574606e-07
Bulmer effect,2 - 8,20X,WT,200,4,GW,DV,0.328780843891362,0.0686706200495079,Inf,4.78779489182314,1.68623854465952e-06
Bulmer effect,2 - 8,2X,WT,200,4,GW,DV,0.388908390811103,0.0686706200495053,Inf,5.66338836799108,1.48412735270285e-08
Bulmer effect,2 - 8,2X,Chr,2,5,GW,DV,0.171426020885196,0.0695685062272953,Inf,2.46413255338716,0.0137345307799916
Bulmer effect,2 - 8,20X,WT,2,5,GW,DV,0.161605013215168,0.0691996554607666,Inf,2.33534418833619,0.0195254475093608
Bulmer effect,2 - 8,20X,Chr,200,5,GW,DV,0.897032152575828,0.0686706200495067,Inf,13.0628229645972,5.36989423452046e-39
Bulmer effect,2 - 8,2X,Chr,200,5,GW,DV,1.09049529272113,0.0686706200495178,Inf,15.8800851358964,8.70601587512793e-57
Bulmer effect,2 - 8,20X,Peri,200,5,GW,DV,1.15076104720656,0.0686706200495043,Inf,16.757691227733,4.97574294269543e-63
Bulmer effect,2 - 8,2X,Peri,200,5,GW,DV,1.16809871153085,0.0686706200495161,Inf,17.0101669489598,6.90407589588327e-65
Bulmer effect,2 - 8,20X,WT,200,5,GW,DV,1.06924976472522,0.0686706200495152,Inf,15.5707020550307,1.15136526386251e-54
Bulmer effect,2 - 8,2X,WT,200,5,GW,DV,1.11707619953341,0.0686706200495116,Inf,16.267163435076,1.68798163793717e-59
Bulmer effect,2 - 8,20X,Chr,200,1,CV,R,1.21670959641318,0.0686706200495071,Inf,17.7180517015284,3.04269204742489e-70
Bulmer effect,2 - 8,2X,Chr,200,1,CV,R,1.83130324290153,0.0686706200495145,Inf,26.6679293354433,1.10892683405625e-156
Bulmer effect,2 - 8,20X,Peri,200,1,CV,R,1.59027236526069,0.0686706200495097,Inf,23.1579730037992,1.20827971817751e-118
Bulmer effect,2 - 8,2X,Peri,200,1,CV,R,1.72758507370112,0.0686706200495135,Inf,25.1575575181275,1.16818849816665e-139
Bulmer effect,2 - 8,20X,WT,200,1,CV,R,1.97627616437119,0.0686706200495122,Inf,28.7790639278672,3.92192792203629e-182
Bulmer effect,2 - 8,2X,WT,200,1,CV,R,1.80103119812145,0.0686706200495177,Inf,26.2270996944944,1.30465253014728e-151
Bulmer effect,2 - 8,20X,Chr,200,2,CV,R,0.545818481887707,0.0686706200495107,Inf,7.94835522810451,1.89004040547571e-15
Bulmer effect,2 - 8,2X,Chr,200,2,CV,R,0.677721041267542,0.0686706200495035,Inf,9.86915569975901,5.6639329762675e-23
Bulmer effect,2 - 8,20X,Peri,200,2,CV,R,0.700349766020162,0.0686706200495103,Inf,10.1986812630383,2.00982839566873e-24
Bulmer effect,2 - 8,2X,Peri,200,2,CV,R,0.697303425213089,0.0686706200495066,Inf,10.1543196305841,3.17013557906189e-24
Bulmer effect,2 - 8,20X,WT,200,2,CV,R,0.698616548409201,0.0686706200495156,Inf,10.1734416830001,2.60536687636037e-24
