response,contrast,Recombination,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,Chr - WT,20X,200,2,1,CV,DV,-0.326880139349731,0.0686706200495056,Inf,-4.76011632214881,5.77876639007435e-06
Bulmer effect,Peri - WT,20X,200,2,1,CV,DV,-0.237963026777004,0.0686706200495127,Inf,-3.46528146397148,0.00153619270174776
Bulmer effect,Chr - WT,2X,200,2,1,CV,DV,0.167190403339855,0.0686706200495159,Inf,2.43467152647377,0.0395477392275814
Bulmer effect,Chr - WT,20X,200,8,1,CV,DV,0.288702259343945,0.0686706200495133,Inf,4.20415978675864,7.77358390550154e-05
Bulmer effect,Peri - WT,20X,200,8,1,CV,DV,0.224743177796519,0.0686706200495129,Inf,3.27277047497859,0.00305765511751888
Bulmer effect,Chr - WT,20X,200,2,2,CV,DV,0.195983460649784,0.0686706200495123,Inf,2.85396375492864,0.0120167173135319
Bulmer effect,Chr - WT,20X,200,8,2,CV,DV,0.224607777910447,0.0686706200495147,Inf,3.2707987454969,0.00307869667504268
Bulmer effect,Peri - WT,20X,200,8,2,CV,DV,0.190595763757056,0.0686706200495118,Inf,2.7755066667468,0.015224479054018
Bulmer effect,Chr - WT,20X,200,8,3,CV,DV,0.223478901395128,0.0686706200495114,Inf,3.25435974269637,0.00325936444510866
Bulmer effect,Peri - WT,20X,200,8,3,CV,DV,0.205183841829366,0.0686706200495143,Inf,2.98794217500031,0.00790715307553602
Bulmer effect,Chr - WT,20X,200,8,4,CV,DV,0.187875189034459,0.0686706200495117,Inf,2.73588892744816,0.0171156367194897
Bulmer effect,Chr - WT,20X,200,2,5,CV,DV,0.16573890205133,0.0686706200495097,Inf,2.41353437513505,0.0417944552504356
Bulmer effect,Chr - WT,20X,200,8,5,CV,DV,0.193480980859885,0.0686706200495101,Inf,2.81752197257559,0.0134231200610558
Bulmer effect,Peri - WT,20X,200,8,5,CV,DV,0.231999167820781,0.0686706200495115,Inf,3.37843414918213,0.00210523953780806
Bulmer effect,Chr - Peri,20X,200,2,1,GW,DV,-0.436061002049643,0.0686706200495007,Inf,-6.350037348364,6.45693387646418e-10
Bulmer effect,Peri - WT,20X,200,2,1,GW,DV,0.349416816951346,0.0686706200495111,Inf,5.08830147011078,1.08120448805149e-06
Bulmer effect,Chr - WT,20X,200,8,1,GW,DV,0.495795613221113,0.0686706200495073,Inf,7.21990878870287,1.58206781009085e-12
Bulmer effect,Peri - WT,20X,200,8,1,GW,DV,0.609783782140545,0.0686706200495131,Inf,8.87983509834158,2.19824158875781e-14
Bulmer effect,Peri - WT,2X,200,8,1,GW,DV,0.237706551900388,0.0686706200495132,Inf,3.46154660798163,0.00155739395565735
Bulmer effect,Peri - WT,20X,200,2,2,GW,DV,0.203197877943808,0.0686706200495132,Inf,2.95902203587644,0.00866813382864118
Bulmer effect,Chr - WT,20X,200,8,2,GW,DV,0.330784412374564,0.0686706200495164,Inf,4.81697139382235,4.3551116182261e-06
Bulmer effect,Peri - WT,20X,200,8,2,GW,DV,0.258191230054094,0.068670620049519,Inf,3.75984998923718,0.000498836761260613
