response,contrast,Recombination,Map_type,QTL,H2,Repulsion,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,CV - GW,20X,Chr,200,2,1,DV,-0.875784930674365,0.0686706200494931,Inf,-12.7534152166263,2.98381211420163e-37
Bulmer effect,CV - GW,2X,Chr,200,2,1,DV,-1.09509797697825,0.0686706200495171,Inf,-15.9471106593853,2.98386015499961e-57
Bulmer effect,CV - GW,20X,Peri,200,2,1,DV,-1.22292882015128,0.0686706200495093,Inf,-17.8086177068095,6.05877006044206e-71
Bulmer effect,CV - GW,2X,Peri,200,2,1,DV,-1.15580241654747,0.0686706200495148,Inf,-16.8311050011501,1.44382188735855e-63
Bulmer effect,CV - GW,20X,WT,200,2,1,DV,-0.635548976422931,0.0686706200495136,Inf,-9.25503477272641,2.14160689434188e-20
Bulmer effect,CV - GW,2X,WT,200,2,1,DV,-1.27861831028512,0.0686706200495151,Inf,-18.6195830089078,2.22943300987286e-77
Bulmer effect,CV - GW,20X,Chr,200,8,1,DV,-0.726092109616286,0.0686706200495057,Inf,-10.5735481795975,3.95251562529791e-26
Bulmer effect,CV - GW,2X,Chr,200,8,1,DV,-0.613292151359521,0.06867062004951,Inf,-8.93092491253684,4.22461774884083e-19
Bulmer effect,CV - GW,20X,Peri,200,8,1,DV,-0.904039360083144,0.0686706200495077,Inf,-13.1648638010168,1.39789487396284e-39
Bulmer effect,CV - GW,2X,Peri,200,8,1,DV,-0.606195313940707,0.0686706200495112,Inf,-8.82757886128949,1.06965950037392e-18
Bulmer effect,CV - GW,20X,WT,200,8,1,DV,-0.518998755739118,0.0686706200495132,Inf,-7.55779917765279,4.09946314185276e-14
Bulmer effect,CV - GW,2X,WT,200,8,1,DV,-0.500332979206702,0.0686706200495126,Inf,-7.28598312999,3.19332937842715e-13
Bulmer effect,CV - GW,20X,Chr,200,2,2,DV,-0.135905347172245,0.0686706200495113,Inf,-1.97909014181403,0.0478058581986723
Bulmer effect,CV - GW,2X,Chr,200,2,2,DV,-0.166428973295494,0.0686706200495112,Inf,-2.42358337780406,0.0153682249719434
Bulmer effect,CV - GW,20X,Peri,200,2,2,DV,-0.288783422401838,0.0686706200495125,Inf,-4.20534170499147,2.60687993425622e-05
Bulmer effect,CV - GW,2X,Peri,200,2,2,DV,-0.14108677758961,0.0686706200495131,Inf,-2.05454352222075,0.0399231155365218
Bulmer effect,CV - GW,20X,WT,200,2,2,DV,-0.211819413833879,0.0686706200495117,Inf,-3.08457115548332,0.00203845842426574
Bulmer effect,CV - GW,2X,WT,200,2,2,DV,-0.21356207130636,0.0686706200495105,Inf,-3.1099482013179,0.00187120155239552
Bulmer effect,CV - GW,20X,Chr,200,8,2,DV,-0.371754495721975,0.0686706200495129,Inf,-5.41358874368591,6.17739564513462e-08
Bulmer effect,CV - GW,2X,Chr,200,8,2,DV,-0.260659165362612,0.0686706200495133,Inf,-3.79578872558118,0.000147174798101021
Bulmer effect,CV - GW,20X,Peri,200,8,2,DV,-0.333173327554896,0.0686706200495136,Inf,-4.85175941785101,1.22371010688302e-06
Bulmer effect,CV - GW,2X,Peri,200,8,2,DV,-0.280423861781887,0.0686706200495162,Inf,-4.08360753958072,4.4341894575086e-05
Bulmer effect,CV - GW,20X,WT,200,8,2,DV,-0.265577861257858,0.0686706200495134,Inf,-3.86741609536028,0.000109994655747271
Bulmer effect,CV - GW,2X,WT,200,8,2,DV,-0.237489184779321,0.0686706200495125,Inf,-3.45838124962448,0.000543431779531809
Bulmer effect,CV - GW,2X,WT,200,2,3,DV,-0.141482707610396,0.0686706200495134,Inf,-2.060309161449,0.039368994657129
Bulmer effect,CV - GW,20X,Chr,200,8,3,DV,-0.302544927048119,0.0686706200495123,Inf,-4.40574042916724,1.05423145594961e-05
Bulmer effect,CV - GW,2X,Chr,200,8,3,DV,-0.250426431487326,0.0686706200495125,Inf,-3.64677690847651,0.000265550285368221
Bulmer effect,CV - GW,20X,Peri,200,8,3,DV,-0.315876383455161,0.068670620049514,Inf,-4.59987667546038,4.22741134642372e-06
Bulmer effect,CV - GW,2X,Peri,200,8,3,DV,-0.303485233880057,0.0686706200495124,Inf,-4.4194334296274,9.89599982856148e-06
Bulmer effect,CV - GW,20X,WT,200,8,3,DV,-0.16177586687376,0.0686706200495112,Inf,-2.35582359322109,0.0184816921198304
Bulmer effect,CV - GW,2X,WT,200,8,3,DV,-0.157651162325455,0.0686706200495121,Inf,-2.29575853853929,0.0216896913035565
Bulmer effect,CV - GW,2X,Peri,2,8,4,DV,-0.724594661186992,0.347268797721944,Inf,-2.08655273937732,0.0369285831589793
Bulmer effect,CV - GW,20X,Chr,200,8,4,DV,-0.198668298058211,0.0686706200495081,Inf,-2.89306107786679,0.00381507100733921
Bulmer effect,CV - GW,20X,Peri,200,8,4,DV,-0.179811668003066,0.0686706200495109,Inf,-2.61846576998174,0.00883261526832288
Bulmer effect,CV - GW,20X,Chr,200,2,5,DV,-0.512369072295016,0.0686706200495061,Inf,-7.46125594796784,8.5701585783326e-14
Bulmer effect,CV - GW,2X,Chr,200,2,5,DV,-0.397750519222187,0.068670620049526,Inf,-5.79214981509305,6.94911112964418e-09
Bulmer effect,CV - GW,20X,Peri,200,2,5,DV,-0.79889735569909,0.0686706200495076,Inf,-11.6337577136064,2.77602327580547e-31
Bulmer effect,CV - GW,2X,Peri,200,2,5,DV,-0.523965195663029,0.0686706200495141,Inf,-7.63012180879145,2.34532005953393e-14
Bulmer effect,CV - GW,20X,WT,200,2,5,DV,-0.392670371881302,0.0686706200495173,Inf,-5.71817134603057,1.07676535801589e-08
Bulmer effect,CV - GW,2X,WT,200,2,5,DV,-0.459893092189189,0.0686706200495114,Inf,-6.69708664138473,2.12615576142919e-11
Bulmer effect,CV - GW,20X,Chr,2,8,5,DV,-0.300504240464408,0.102418324287611,Inf,-2.9340866739875,0.00334530777001098
Bulmer effect,CV - GW,2X,Chr,2,8,5,DV,-0.215914664592215,0.0981220006992947,Inf,-2.2004714850231,0.0277734608928417
Bulmer effect,CV - GW,20X,Peri,2,8,5,DV,-0.298901951360446,0.110487701769758,Inf,-2.70529612411812,0.00682435243927303
Bulmer effect,CV - GW,20X,Chr,200,8,5,DV,-0.489612522400054,0.0686706200495101,Inf,-7.12986896065674,1.00464526077425e-12
Bulmer effect,CV - GW,2X,Chr,200,8,5,DV,-0.295705027836354,0.0686706200495107,Inf,-4.30613598105208,1.66130955678308e-05
Bulmer effect,CV - GW,20X,Peri,200,8,5,DV,-0.456611581299094,0.0686706200495055,Inf,-6.6493003990632,2.94489410996706e-11
Bulmer effect,CV - GW,2X,Peri,200,8,5,DV,-0.295176187029976,0.0686706200495073,Inf,-4.29843485929168,1.72008437277405e-05
Bulmer effect,CV - GW,20X,WT,200,8,5,DV,-0.2254382886455,0.0686706200495101,Inf,-3.28289286572575,0.00102747705927843
Bulmer effect,CV - GW,2X,WT,200,8,5,DV,-0.27565632223318,0.0686706200495096,Inf,-4.0141813490899,5.96524709223985e-05
Bulmer effect,CV - GW,20X,Chr,200,2,1,R,-0.614639410409506,0.0686706200494962,Inf,-8.95054406042188,3.53734550245732e-19
Bulmer effect,CV - GW,2X,Chr,200,2,1,R,-0.390532589525752,0.068670620049516,Inf,-5.68704038559943,1.29259897058485e-08
Bulmer effect,CV - GW,20X,Peri,200,2,1,R,-0.527296180282448,0.0686706200495078,Inf,-7.67862850083916,1.60800808350421e-14
Bulmer effect,CV - GW,2X,Peri,200,2,1,R,-0.454149239695846,0.0686706200495097,Inf,-6.61344311975655,3.75482315278773e-11
Bulmer effect,CV - GW,20X,WT,200,2,1,R,-0.465350331093326,0.0686706200495116,Inf,-6.77655641900143,1.23074013423513e-11
Bulmer effect,CV - GW,2X,WT,200,2,1,R,-0.542892428021379,0.0686706200495114,Inf,-7.90574524636525,2.66335360047907e-15
Bulmer effect,CV - GW,20X,Chr,200,8,1,R,-0.27843077104847,0.0686706200495096,Inf,-4.05458361738586,5.02236830887474e-05
Bulmer effect,CV - GW,2X,Chr,200,8,1,R,-0.264370539766834,0.0686706200495117,Inf,-3.84983475576924,0.000118197539744249
Bulmer effect,CV - GW,20X,Peri,200,8,1,R,-0.311154763007487,0.0686706200495124,Inf,-4.53111917124297,5.86720277550585e-06
Bulmer effect,CV - GW,2X,Peri,200,8,1,R,-0.390328437249127,0.0686706200495106,Inf,-5.68406746535426,1.31528351715339e-08
Bulmer effect,CV - GW,20X,WT,200,8,1,R,-0.318168460781375,0.0686706200495116,Inf,-4.63325452066656,3.59961533517239e-06
