response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,2 - 200,WT,20X,2,2,CV,DV,0.244047432077776,0.121530315446915,Inf,2.00811979447529,0.044630563292085
Bulmer effect,2 - 200,Chr,20X,8,2,CV,DV,0.678410128953042,0.247620140509246,Inf,2.73972112106007,0.00614913359070261
Bulmer effect,2 - 200,WT,20X,8,2,CV,DV,0.958547800474443,0.488048178079185,Inf,1.96404339474641,0.0495250597133757
Bulmer effect,2 - 200,Chr,2X,8,2,CV,DV,0.890389872241787,0.284549724951564,Inf,3.12911872395361,0.00175331450601224
Bulmer effect,2 - 200,Peri,2X,8,2,CV,DV,0.824112017958073,0.284549777830918,Inf,2.89619631489492,0.00377716028126815
Bulmer effect,2 - 200,WT,2X,8,2,CV,DV,0.831776295062706,0.20411499204427,Inf,4.07503773599492,4.60068860607798e-05
Bulmer effect,2 - 200,Chr,20X,2,3,CV,DV,0.181087234089319,0.0858781420348798,Inf,2.10865337556755,0.0349745120582145
Bulmer effect,2 - 200,Peri,20X,2,3,CV,DV,0.209119463778219,0.0846773266004315,Inf,2.46960399169183,0.0135262697471005
Bulmer effect,2 - 200,WT,20X,2,3,CV,DV,0.387457704396105,0.0871668851791406,Inf,4.44501032243865,8.78876473550224e-06
Bulmer effect,2 - 200,Chr,2X,2,3,CV,DV,0.364820159979961,0.0934408945217741,Inf,3.90428796563959,9.45032036163321e-05
Bulmer effect,2 - 200,Peri,2X,2,3,CV,DV,0.417882542028332,0.084677326523351,Inf,4.93499923988619,8.01510719673975e-07
Bulmer effect,2 - 200,WT,2X,2,3,CV,DV,0.379733680654436,0.0878474457370375,Inf,4.3226490818086,1.54166840975735e-05
Bulmer effect,2 - 200,Chr,20X,8,3,CV,DV,0.649306701909561,0.154261925659287,Inf,4.20911834942125,2.56369085428116e-05
Bulmer effect,2 - 200,Peri,20X,8,3,CV,DV,0.759588049059181,0.178427932710528,Inf,4.25711399286062,2.07082781035399e-05
Bulmer effect,2 - 200,WT,20X,8,3,CV,DV,0.770246737474946,0.112298510299618,Inf,6.85892213013238,6.93820435563285e-12
Bulmer effect,2 - 200,Chr,2X,8,3,CV,DV,0.749190484692035,0.134460266374609,Inf,5.57183549380138,2.5206938530746e-08
Bulmer effect,2 - 200,Peri,2X,8,3,CV,DV,0.90108342691054,0.148358095897773,Inf,6.07370579581607,1.24991635167994e-09
Bulmer effect,2 - 200,WT,2X,8,3,CV,DV,0.897410711068422,0.178427937671392,Inf,5.0295414652002,4.91654172875894e-07
Bulmer effect,2 - 200,Chr,20X,2,4,CV,DV,0.752094933156033,0.112298513405659,Inf,6.69728307479211,2.12330076546285e-11
Bulmer effect,2 - 200,Peri,20X,2,4,CV,DV,0.982536624862892,0.124334983619282,Inf,7.90233445376443,2.73727752837863e-15
Bulmer effect,2 - 200,WT,20X,2,4,CV,DV,1.0189759037117,0.130755199679589,Inf,7.79300483811479,6.5434114989373e-15
Bulmer effect,2 - 200,Chr,2X,2,4,CV,DV,0.896596381460186,0.134460264900986,Inf,6.66811404930981,2.5911140329133e-11
Bulmer effect,2 - 200,Peri,2X,2,4,CV,DV,1.01287247004226,0.118949573241752,Inf,8.5151416893586,1.66386737745542e-17
Bulmer effect,2 - 200,WT,2X,2,4,CV,DV,0.962939420618339,0.134460262859184,Inf,7.16151671982667,7.97892803987895e-13
Bulmer effect,2 - 200,WT,2X,8,4,CV,DV,1.49565108711383,0.346805645290162,Inf,4.31264919537992,1.61309957854401e-05
Bulmer effect,2 - 200,Chr,20X,2,5,CV,DV,-0.371585202032361,0.0763246990018558,Inf,-4.86847910167751,1.12460412928599e-06
Bulmer effect,2 - 200,Peri,20X,2,5,CV,DV,-0.366587354777951,0.0773661929246816,Inf,-4.73834036443845,2.15475675428276e-06
Bulmer effect,2 - 200,WT,20X,2,5,CV,DV,-0.269299461753441,0.0820037057419025,Inf,-3.28399136742711,0.00102348057312535
Bulmer effect,2 - 200,Chr,2X,2,5,CV,DV,-0.414032141448866,0.0797151075268822,Inf,-5.19389804886411,2.05935944623832e-07
Bulmer effect,2 - 200,Peri,2X,2,5,CV,DV,-0.389864367398022,0.0797151075027455,Inf,-4.89072121472827,1.00467176345566e-06
Bulmer effect,2 - 200,WT,2X,2,5,CV,DV,-0.232126516281739,0.0792961454261578,Inf,-2.92733669504655,0.00341878548991336
Bulmer effect,2 - 200,Chr,20X,8,5,CV,DV,0.228520706133901,0.10241832428761,Inf,2.23124824315786,0.0256646899582873
Bulmer effect,2 - 200,WT,20X,8,5,CV,DV,0.506734652063586,0.110379892874432,Inf,4.59082391609175,4.41499695899023e-06
Bulmer effect,2 - 200,Chr,2X,8,5,CV,DV,0.280860306299446,0.0974873975970032,Inf,2.88099090982484,0.00396427073523535
Bulmer effect,2 - 200,Peri,2X,8,5,CV,DV,0.422129615324836,0.110379893704958,Inf,3.82433431629473,0.00013112588917489
Bulmer effect,2 - 200,WT,2X,8,5,CV,DV,0.439159364409751,0.0974873965228985,Inf,4.50478092628721,6.64414496943102e-06
Bulmer effect,2 - 200,Chr,20X,2,1,GW,DV,-3.05514595856795,0.0709735547070039,Inf,-43.0462581616539,0
Bulmer effect,2 - 200,Peri,20X,2,1,GW,DV,-3.48271859712494,0.0711902328684683,Inf,-48.9212980038939,0
Bulmer effect,2 - 200,WT,20X,2,1,GW,DV,-3.175492536375,0.0725868049097332,Inf,-43.7475177523511,0
Bulmer effect,2 - 200,Chr,2X,2,1,GW,DV,-3.3935847867334,0.0736212768411672,Inf,-46.0951634138976,0
Bulmer effect,2 - 200,Peri,2X,2,1,GW,DV,-3.4350707404761,0.071411269499524,Inf,-48.1026421256802,0
Bulmer effect,2 - 200,WT,2X,2,1,GW,DV,-3.40464911958007,0.0730927746191635,Inf,-46.5798314172553,0
Bulmer effect,2 - 200,Chr,20X,8,1,GW,DV,-0.890427597403476,0.169000168645788,Inf,-5.26879709374578,1.37320651387876e-07
Bulmer effect,2 - 200,Peri,20X,8,1,GW,DV,-1.00443172703252,0.169000173387896,Inf,-5.94337690250235,2.79209443242033e-09
Bulmer effect,2 - 200,WT,20X,8,1,GW,DV,-0.394953373243138,0.189862680673101,Inf,-2.08020539814854,0.0375066973335181
Bulmer effect,2 - 200,Chr,2X,8,1,GW,DV,-0.531455008448944,0.189862691354264,Inf,-2.79915450822986,0.00512366141365891
Bulmer effect,2 - 200,Peri,2X,8,1,GW,DV,-0.651223605983281,0.17842794006835,Inf,-3.64978492568943,0.000262459970852526
Bulmer effect,2 - 200,Chr,20X,2,2,GW,DV,-0.18240023879973,0.0688438497030408,Inf,-2.64947761617801,0.0080616312298927
Bulmer effect,2 - 200,Peri,20X,2,2,GW,DV,-0.28940336580705,0.0686706200495114,Inf,-4.21436948724784,2.50476943325531e-05
Bulmer effect,2 - 200,WT,20X,2,2,GW,DV,-0.1740236380524,0.0688438497194142,Inf,-2.52780224757426,0.0114778981251866
Bulmer effect,2 - 200,WT,2X,2,2,GW,DV,-0.153950055745661,0.0686706200495118,Inf,-2.24186203116649,0.0249702906394508
Bulmer effect,2 - 200,Chr,20X,8,2,GW,DV,0.283365413494819,0.0723418119986658,Inf,3.91703505436172,8.96447175463471e-05
Bulmer effect,2 - 200,Peri,20X,8,2,GW,DV,0.354633782180603,0.0711902327065609,Inf,4.98149491437075,6.30949428398801e-07
Bulmer effect,2 - 200,WT,20X,8,2,GW,DV,0.608650958499522,0.0738944654566168,Inf,8.23675974565184,1.76937295954513e-16
Bulmer effect,2 - 200,Chr,2X,8,2,GW,DV,0.54798010375688,0.0723418121304617,Inf,7.57487388854248,3.59476659214115e-14
Bulmer effect,2 - 200,Peri,2X,8,2,GW,DV,0.473908446592846,0.0733541140015244,Inf,6.4605571622472,1.04318178096592e-10
Bulmer effect,2 - 200,WT,2X,8,2,GW,DV,0.642540529441969,0.0730927748661865,Inf,8.79075299327861,1.48560868168348e-18
Bulmer effect,2 - 200,Chr,20X,2,3,GW,DV,0.172805874903507,0.0686706200495147,Inf,2.51644553054721,0.0118545222440512
