response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,estimate,SE,df,z.ratio,p.value
Bulmer effect,DV - R,CV,20X,Chr,200,2,1,0.773671676941137,0.0686706200495003,Inf,11.2664146090926,1.92239605894937e-29
Bulmer effect,DV - R,GW,20X,Chr,200,2,1,1.034817197206,0.0686706200494827,Inf,15.0692857653,2.57885841277125e-51
Bulmer effect,DV - R,CV,2X,Chr,200,2,1,0.406663482297521,0.0686706200495179,Inf,5.9219427755899,3.18160343412445e-09
Bulmer effect,DV - R,GW,2X,Chr,200,2,1,1.11122886975002,0.0686706200495149,Inf,16.1820130493765,6.75492973550274e-59
Bulmer effect,DV - R,CV,20X,Peri,200,2,1,0.566246952513758,0.0686706200495122,Inf,8.24584010025669,1.64003859016562e-16
Bulmer effect,DV - R,GW,20X,Peri,200,2,1,1.26187959238259,0.0686706200495056,Inf,18.3758293062286,2.05148362318286e-75
Bulmer effect,DV - R,CV,2X,Peri,200,2,1,0.54597356650926,0.0686706200495119,Inf,7.95061361198734,1.8558994928661e-15
Bulmer effect,DV - R,GW,2X,Peri,200,2,1,1.24762674336088,0.068670620049511,Inf,18.1682754933821,9.20461010244455e-74
Bulmer effect,DV - R,CV,20X,WT,200,2,1,0.59355769978562,0.0686706200495117,Inf,8.64354653209282,5.44945134137044e-18
Bulmer effect,DV - R,GW,20X,WT,200,2,1,0.763756345115225,0.0686706200495123,Inf,11.122024885818,9.80216523507716e-29
Bulmer effect,DV - R,CV,2X,WT,200,2,1,0.403874819100568,0.0686706200495144,Inf,5.88133351365341,4.0697417549808e-09
Bulmer effect,DV - R,GW,2X,WT,200,2,1,1.13960070136431,0.0686706200495111,Inf,16.5951712761973,7.55280565535191e-62
Bulmer effect,DV - R,GW,20X,Chr,200,8,1,0.421492318966259,0.068670620049504,Inf,6.1378842751443,8.36277446843117e-10
Bulmer effect,DV - R,CV,2X,Chr,200,8,1,-0.170407684360566,0.0686706200495123,Inf,-2.48152243619906,0.0130822474298669
Bulmer effect,DV - R,GW,2X,Chr,200,8,1,0.178513927232121,0.0686706200495132,Inf,2.59956772056825,0.00933412592527813
Bulmer effect,DV - R,GW,20X,Peri,200,8,1,0.579977427774085,0.0686706200495117,Inf,8.44578696618611,3.02003992012751e-17
Bulmer effect,DV - R,GW,2X,Peri,200,8,1,0.256671037408313,0.0686706200495129,Inf,3.7377125359178,0.000185702093340212
Bulmer effect,DV - R,GW,20X,WT,200,8,1,0.138531467465008,0.0686706200495122,Inf,2.01733241035432,0.0436608355342222
Bulmer effect,DV - R,GW,2X,WT,200,8,1,0.205229609044875,0.0686706200495172,Inf,2.98860864947611,0.00280250839059855
Bulmer effect,DV - R,CV,20X,Chr,200,8,2,-0.147860848578136,0.0686706200495123,Inf,-2.15318936208129,0.0313037993822104
Bulmer effect,DV - R,CV,2X,Chr,200,8,2,-0.152152111153086,0.0686706200495114,Inf,-2.2156798794504,0.0267134338414038
Bulmer effect,DV - R,CV,2X,Peri,200,8,2,-0.142632554257701,0.068670620049511,Inf,-2.07705353694001,0.0377966182567792
Bulmer effect,DV - R,CV,2X,WT,200,8,2,-0.14864865511561,0.0686706200495366,Inf,-2.16466161232241,0.0304136088958354
Bulmer effect,DV - R,GW,20X,Chr,200,2,3,-0.142773676679687,0.0686706200495151,Inf,-2.07910859952538,0.0376073698734332
Bulmer effect,DV - R,CV,2X,Chr,200,2,3,-0.137946463961622,0.0686706200495141,Inf,-2.00881343232604,0.0445569231979242
Bulmer effect,DV - R,GW,20X,WT,200,2,3,-0.178886824092266,0.0686706200495126,Inf,-2.60499794472928,0.00918748110677883
Bulmer effect,DV - R,CV,20X,Chr,200,8,3,-0.16771633998916,0.0686706200495113,Inf,-2.44233035711979,0.0145927861916563
Bulmer effect,DV - R,CV,2X,Chr,200,8,3,-0.166870285038014,0.0686706200495132,Inf,-2.43000987784436,0.0150984113378813
Bulmer effect,DV - R,CV,2X,Peri,200,8,3,-0.222666836329065,0.0686706200495235,Inf,-3.24253423324973,0.00118471714495395
Bulmer effect,DV - R,CV,2X,WT,200,8,3,-0.171927577794771,0.0686706200495177,Inf,-2.50365553231929,0.0122917641903921
Bulmer effect,DV - R,GW,2X,WT,200,8,3,-0.152445066592762,0.068670620049515,Inf,-2.21994597519058,0.026422435120963
Bulmer effect,DV - R,CV,20X,Chr,200,2,4,-0.229390248718989,0.0686706200495139,Inf,-3.34044236900134,0.000836450389215117
Bulmer effect,DV - R,GW,20X,Chr,200,2,4,-0.190294931945926,0.0686706200495129,Inf,-2.77112587317137,0.00558628272396363
Bulmer effect,DV - R,CV,2X,Chr,200,2,4,-0.278649881871548,0.0686706200495137,Inf,-4.05777436799948,4.95425975259273e-05
Bulmer effect,DV - R,GW,2X,Chr,200,2,4,-0.228077941703292,0.0686706200495137,Inf,-3.32133220202236,0.000895888342647294
Bulmer effect,DV - R,CV,20X,Peri,200,2,4,-0.165277493565271,0.0686706200495088,Inf,-2.40681522092144,0.0160923096789643
Bulmer effect,DV - R,CV,2X,Peri,200,2,4,-0.172120303870616,0.0686706200495113,Inf,-2.50646206116266,0.012194614372358
Bulmer effect,DV - R,GW,2X,Peri,200,2,4,-0.223781703341254,0.0686706200495116,Inf,-3.25876922590632,0.00111896649165654
Bulmer effect,DV - R,CV,20X,WT,200,2,4,-0.168368909384743,0.0686706200495135,Inf,-2.45183324780443,0.0142130510339688
Bulmer effect,DV - R,GW,20X,WT,200,2,4,-0.241744643523852,0.0686706200495108,Inf,-3.52035038200554,0.000430977063612128
Bulmer effect,DV - R,CV,2X,WT,200,2,4,-0.184148368388623,0.0686706200495135,Inf,-2.68161796494406,0.00732670775807944
Bulmer effect,DV - R,GW,2X,Chr,2,8,4,-0.19965519548212,0.0753148511560726,Inf,-2.65094058366232,0.00802679606983185
Bulmer effect,DV - R,CV,20X,Chr,200,8,4,-0.214734684477048,0.0686706200495119,Inf,-3.12702410903269,0.00176585446001035
Bulmer effect,DV - R,GW,20X,Chr,200,8,4,-0.152510628249743,0.0686706200495167,Inf,-2.22090070163588,0.02635768770768
Bulmer effect,DV - R,CV,2X,Chr,200,8,4,-0.174501934773817,0.0686706200495148,Inf,-2.54114400959236,0.0110490399594644
Bulmer effect,DV - R,GW,2X,Chr,200,8,4,-0.154961726901639,0.0686706200495213,Inf,-2.25659425806683,0.0240334394913158
Bulmer effect,DV - R,CV,20X,Peri,200,8,4,-0.158425186175909,0.0686706200495032,Inf,-2.3070300815939,0.0210531431808806
Bulmer effect,DV - R,CV,2X,Peri,200,8,4,-0.146394954084765,0.0686706200495165,Inf,-2.1318426130302,0.0330197871879064
