response,contrast,Matrix,Recombination,Map_type,QTL,H2,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,1 - 4,GW,2X,Chr,2,2,DV,0.219091686140411,0.0736212768411665,Inf,2.97592890996836,0.0243870017673034
Bulmer effect,1 - 5,GW,2X,Peri,2,2,DV,0.196903211615323,0.071411269499523,Inf,2.75731285825466,0.0460799162181319
Bulmer effect,1 - 2,CV,20X,Chr,200,2,DV,2.16512547891795,0.0686706200495106,Inf,31.5291383324764,0
Bulmer effect,1 - 3,CV,20X,Chr,200,2,DV,2.4832584483765,0.0686706200495092,Inf,36.1618760189751,0
Bulmer effect,1 - 4,CV,20X,Chr,200,2,DV,3.13012838588268,0.0686706200495064,Inf,45.5817696654856,0
Bulmer effect,1 - 5,CV,20X,Chr,200,2,DV,1.90377001806166,0.0686706200495033,Inf,27.7232099650371,0
Bulmer effect,2 - 3,CV,20X,Chr,200,2,DV,0.318132969458554,0.0686706200495122,Inf,4.63273768649791,3.55080683895892e-05
Bulmer effect,2 - 4,CV,20X,Chr,200,2,DV,0.965002906964734,0.068670620049512,Inf,14.0526313330062,0
Bulmer effect,2 - 5,CV,20X,Chr,200,2,DV,-0.261355460856283,0.0686706200495075,Inf,-3.80592836744246,0.00133129008479793
Bulmer effect,3 - 4,CV,20X,Chr,200,2,DV,0.64686993750618,0.0686706200495118,Inf,9.41989364650827,4.61852778244065e-14
Bulmer effect,3 - 5,CV,20X,Chr,200,2,DV,-0.579488430314838,0.0686706200495095,Inf,-8.43866605394044,4.90718576884319e-14
Bulmer effect,4 - 5,CV,20X,Chr,200,2,DV,-1.22635836782102,0.0686706200495141,Inf,-17.8585597004478,0
Bulmer effect,1 - 2,GW,20X,Chr,200,2,DV,2.90500506242007,0.0686706200495048,Inf,42.3034634072889,0
Bulmer effect,1 - 3,GW,20X,Chr,200,2,DV,3.28441376555668,0.0686706200495047,Inf,47.8285147736971,0
Bulmer effect,1 - 4,GW,20X,Chr,200,2,DV,3.92163324915978,0.0686706200495038,Inf,57.1078759203386,0
Bulmer effect,1 - 5,GW,20X,Chr,200,2,DV,2.26718587644101,0.0686706200494924,Inf,33.0153692336985,0
Bulmer effect,2 - 3,GW,20X,Chr,200,2,DV,0.379408703136611,0.0686706200495123,Inf,5.52505136640754,3.28361683066269e-07
Bulmer effect,2 - 4,GW,20X,Chr,200,2,DV,1.01662818673971,0.0686706200495121,Inf,14.8044125130473,0
Bulmer effect,2 - 5,GW,20X,Chr,200,2,DV,-0.637819185979055,0.0686706200495102,Inf,-9.28809417359563,5.21804821573824e-14
Bulmer effect,3 - 4,GW,20X,Chr,200,2,DV,0.6372194836031,0.0686706200495123,Inf,9.27936114663968,5.24025267623074e-14
Bulmer effect,3 - 5,GW,20X,Chr,200,2,DV,-1.01722788911567,0.068670620049514,Inf,-14.8131455400025,0
Bulmer effect,4 - 5,GW,20X,Chr,200,2,DV,-1.65444737271877,0.0686706200495117,Inf,-24.0925066866428,0
Bulmer effect,1 - 2,CV,2X,Chr,200,2,DV,2.46361425970035,0.0686706200495148,Inf,35.8758120710715,0
Bulmer effect,1 - 3,CV,2X,Chr,200,2,DV,2.80513999896153,0.068670620049514,Inf,40.849201549934,0
