response,contrast,Recombination,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,Peri - WT,20X,200,8,1,CV,DV,0.339874416967257,0.134862247914551,Inf,2.52015980916025,0.0314788249049104
Genetic gain,Chr - WT,20X,200,8,2,CV,DV,0.486018004897038,0.134862247914549,Inf,3.60381064688308,0.000914926834094998
Genetic gain,Peri - WT,20X,200,8,2,CV,DV,0.399308297696102,0.13486224791455,Inf,2.9608604622185,0.00861786767529793
Genetic gain,Chr - WT,20X,200,8,3,CV,DV,0.827240083025442,0.134862247914551,Inf,6.13396332789577,2.57075094545201e-09
Genetic gain,Peri - WT,20X,200,8,3,CV,DV,0.829345715415359,0.13486224791455,Inf,6.14957653635465,2.33005970073918e-09
Genetic gain,Chr - WT,20X,200,2,4,CV,DV,0.44595593236713,0.13486224791455,Inf,3.30675143906613,0.00271513987031702
Genetic gain,Peri - WT,20X,200,2,4,CV,DV,0.705303197939409,0.13486224791455,Inf,5.22980455128033,5.08114197605991e-07
Genetic gain,Chr - WT,2X,200,2,4,CV,DV,0.349437510645652,0.134862247914551,Inf,2.59106989575806,0.0259017498082014
Genetic gain,Chr - WT,20X,200,8,4,CV,DV,1.89170691610669,0.13486224791455,Inf,14.0269567307323,0
Genetic gain,Peri - WT,20X,200,8,4,CV,DV,1.82154190574613,0.13486224791455,Inf,13.5066850353872,0
Genetic gain,Chr - WT,2X,200,8,4,CV,DV,0.350338366706081,0.13486224791455,Inf,2.59774971961063,0.0254234986114675
Genetic gain,Peri - WT,2X,200,8,4,CV,DV,0.364040651186013,0.134862247914551,Inf,2.699351796484,0.0190401915718015
Genetic gain,Chr - Peri,20X,2,2,5,CV,DV,0.420658202315447,0.134862247914547,Inf,3.11916944007925,0.00515615468329089
Genetic gain,Chr - Peri,20X,2,8,5,CV,DV,0.396649737754632,0.134862247914548,Inf,2.94114731059472,0.00917076926464988
Genetic gain,Chr - WT,20X,2,8,5,CV,DV,0.464209106562488,0.134862247914548,Inf,3.4420982427686,0.00167223946588901
Genetic gain,Chr - WT,2X,2,8,5,CV,DV,0.338749967091004,0.13486224791455,Inf,2.51182204307939,0.03219797132151
Genetic gain,Chr - WT,20X,200,8,5,CV,DV,0.784578445294119,0.134862247914551,Inf,5.81762841289159,1.78961456764881e-08
Genetic gain,Peri - WT,20X,200,8,5,CV,DV,0.695504097561739,0.13486224791455,Inf,5.15714448125184,7.50615973710289e-07
Genetic gain,Chr - WT,20X,200,2,1,GW,DV,-0.458605755146165,0.134862247914555,Inf,-3.40054954027406,0.0019442955803598
Genetic gain,Peri - WT,20X,200,2,1,GW,DV,-0.355312218600255,0.134862247914551,Inf,-2.634630699804,0.0229186301089519
Genetic gain,Chr - WT,20X,200,8,1,GW,DV,-0.336729766549644,0.134862247914552,Inf,-2.49684230951716,0.0335254758598595
Genetic gain,Chr - WT,20X,200,2,2,GW,DV,-0.553130832976909,0.13486224791455,Inf,-4.10145049137381,0.000121550059481002
Genetic gain,Peri - WT,20X,200,2,2,GW,DV,-0.46263466079859,0.13486224791455,Inf,-3.43042376908711,0.00174489117265919
Genetic gain,Chr - WT,20X,200,8,2,GW,DV,-0.477968462253085,0.134862247914551,Inf,-3.54412350115896,0.00114649937896694
Genetic gain,Chr - WT,20X,2,2,3,GW,DV,-0.419781617562385,0.13486224791455,Inf,-3.11266958732856,0.00526867626027527
Genetic gain,Chr - WT,20X,200,2,3,GW,DV,-0.508546541562773,0.134862247914549,Inf,-3.7708591501826,0.000477503654036982
Genetic gain,Peri - WT,20X,200,2,3,GW,DV,-0.526191195289269,0.13486224791455,Inf,-3.90169379070907,0.000281454618637489
Genetic gain,Chr - WT,20X,200,8,3,GW,DV,-0.36115974718973,0.134862247914551,Inf,-2.67798996957667,0.0202513137715152
Genetic gain,Chr - WT,20X,200,2,4,GW,DV,-0.588683095472166,0.13486224791455,Inf,-4.36506957710776,3.7795217384895e-05
Genetic gain,Peri - WT,20X,200,2,4,GW,DV,-0.419581059469386,0.13486224791455,Inf,-3.11118245437549,0.00529473214664511
Genetic gain,Chr - Peri,20X,200,8,4,GW,DV,-0.540836190766236,0.134862247914551,Inf,-4.01028604468252,0.000179181343567869
Genetic gain,Peri - WT,20X,200,8,4,GW,DV,0.65567382039727,0.134862247914552,Inf,4.86180402993654,3.47673124001524e-06
Genetic gain,Chr - WT,20X,200,2,5,GW,DV,-0.730427480999138,0.13486224791455,Inf,-5.41610044541112,1.82499734435737e-07
Genetic gain,Peri - WT,20X,200,2,5,GW,DV,-0.49934914402034,0.13486224791455,Inf,-3.70266069075708,0.000624775482238715
