response,contrast,Recombination,Map_type,QTL,H2,Repulsion,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,CV - GW,20X,Chr,200,8,1,DV,1.27869662273341,0.134862247914549,Inf,9.4815016248551,2.50649746167409e-21
Genetic gain,CV - GW,2X,Chr,200,8,1,DV,0.826150623956233,0.13486224791455,Inf,6.12588501772333,9.018091572369e-10
Genetic gain,CV - GW,20X,Peri,200,8,1,DV,1.25966976586217,0.134862247914551,Inf,9.34041798458159,9.59545559246649e-21
Genetic gain,CV - GW,2X,Peri,200,8,1,DV,0.832635605763526,0.134862247914551,Inf,6.17397098623987,6.65957671524288e-10
Genetic gain,CV - GW,20X,WT,200,8,1,DV,0.654252421767848,0.134862247914552,Inf,4.8512643967078,1.22676877858816e-06
Genetic gain,CV - GW,2X,WT,200,8,1,DV,0.702583157542558,0.13486224791455,Inf,5.20963552370655,1.89211957419891e-07
Genetic gain,CV - GW,20X,Chr,2,2,2,DV,1.11354214634534,0.134862247914552,Inf,8.25688555221825,1.49522669263754e-16
Genetic gain,CV - GW,2X,Chr,2,2,2,DV,0.926211329526114,0.134862247914552,Inf,6.8678325020428,6.5184690988051e-12
Genetic gain,CV - GW,20X,Peri,2,2,2,DV,1.05204259678277,0.134862247914549,Inf,7.80086801941312,6.14827885791432e-15
Genetic gain,CV - GW,2X,Peri,2,2,2,DV,0.859177152893883,0.13486224791455,Inf,6.37077585595537,1.88074336197979e-10
Genetic gain,CV - GW,20X,WT,2,2,2,DV,0.989514372551463,0.13486224791455,Inf,7.33722289115652,2.18071279837714e-13
Genetic gain,CV - GW,2X,WT,2,2,2,DV,0.829656759115746,0.134862247914551,Inf,6.15188291716314,7.65683971037678e-10
Genetic gain,CV - GW,20X,Chr,200,2,2,DV,0.668966324253112,0.134862247914551,Inf,4.96036759432462,7.03599062501635e-07
Genetic gain,CV - GW,2X,Chr,200,2,2,DV,0.493825297645689,0.134862247914551,Inf,3.6617015160431,0.000250545670226955
Genetic gain,CV - GW,20X,Peri,200,2,2,DV,0.625719894077316,0.13486224791455,Inf,4.63969645881757,3.48921296386914e-06
Genetic gain,CV - GW,2X,Peri,200,2,2,DV,0.604795789719273,0.13486224791455,Inf,4.48454477862831,7.30697608291823e-06
Genetic gain,CV - GW,20X,WT,200,2,2,DV,0.354516589694012,0.134862247914551,Inf,2.62873113251557,0.00857040920167151
Genetic gain,CV - GW,20X,Chr,2,8,2,DV,0.519763113146509,0.134862247914549,Inf,3.85402973169958,0.000116189476556162
Genetic gain,CV - GW,2X,Chr,2,8,2,DV,0.749286600470533,0.134862247914551,Inf,5.55594031730277,2.76121213896261e-08
Genetic gain,CV - GW,20X,Peri,2,8,2,DV,0.504504034957913,0.134862247914551,Inf,3.7408840706672,0.000183374094374336
Genetic gain,CV - GW,2X,Peri,2,8,2,DV,0.387991010121163,0.134862247914551,Inf,2.87694307429158,0.00401548026963992
Genetic gain,CV - GW,20X,WT,2,8,2,DV,0.530516501939065,0.13486224791455,Inf,3.93376582507512,8.36252593940029e-05
Genetic gain,CV - GW,2X,WT,2,8,2,DV,0.74123985254801,0.134862247914551,Inf,5.49627389436412,3.87899887090281e-08
Genetic gain,CV - GW,20X,Chr,200,8,2,DV,1.95634834726566,0.134862247914549,Inf,14.5062712324448,1.10569873453208e-47
Genetic gain,CV - GW,2X,Chr,200,8,2,DV,1.05317944176579,0.13486224791455,Inf,7.80929769488269,5.75075239082932e-15
Genetic gain,CV - GW,20X,Peri,200,8,2,DV,1.60709610706662,0.13486224791455,Inf,11.9165751121462,9.701524824165e-33
Genetic gain,CV - GW,2X,Peri,200,8,2,DV,1.3101295580814,0.134862247914548,Inf,9.71457600878436,2.61334374392921e-22
Genetic gain,CV - GW,20X,WT,200,8,2,DV,0.992361880115535,0.134862247914549,Inf,7.35833708440266,1.86215336769929e-13
Genetic gain,CV - GW,2X,WT,200,8,2,DV,0.942146057115315,0.13486224791455,Inf,6.98598808550386,2.82858080776331e-12
Genetic gain,CV - GW,20X,Chr,2,2,3,DV,1.51851932552655,0.134862247914545,Inf,11.2597806206578,2.07274056670314e-29
Genetic gain,CV - GW,2X,Chr,2,2,3,DV,1.20459931041457,0.13486224791455,Inf,8.932072014533,4.18103174484925e-19
Genetic gain,CV - GW,20X,Peri,2,2,3,DV,1.26639004354643,0.13486224791455,Inf,9.39024866580027,5.98587686659106e-21
Genetic gain,CV - GW,2X,Peri,2,2,3,DV,1.2553094559742,0.134862247914551,Inf,9.30808640213058,1.30156097017787e-20
Genetic gain,CV - GW,20X,WT,2,2,3,DV,1.01731697089578,0.134862247914552,Inf,7.5433784222575,4.57949771768038e-14
Genetic gain,CV - GW,2X,WT,2,2,3,DV,1.1866039549464,0.134862247914551,Inf,8.79863692987111,1.38487948927703e-18
Genetic gain,CV - GW,20X,Chr,200,2,3,DV,1.48281884129514,0.134862247914548,Inf,10.9950624746718,4.03633907234608e-28
Genetic gain,CV - GW,2X,Chr,200,2,3,DV,0.955979018673273,0.134862247914551,Inf,7.0885591294532,1.35515479175478e-12
Genetic gain,CV - GW,20X,Peri,200,2,3,DV,1.53412222005159,0.134862247914551,Inf,11.3754756707274,5.53999889997935e-30
Genetic gain,CV - GW,2X,Peri,200,2,3,DV,0.671670779700442,0.134862247914552,Inf,4.98042105991003,6.34460788971759e-07
