response,contrast,Map_type,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,20X - 2X,Chr,200,2,1,CV,DV,-0.331472465188125,0.134862247914559,Inf,-2.45785955902298,0.0139767819870168
Genetic gain,20X - 2X,Chr,200,8,2,CV,DV,0.448408592285174,0.134862247914549,Inf,3.32493784746413,0.000884382476952167
Genetic gain,20X - 2X,WT,2,8,3,CV,DV,0.355215105032503,0.134862247914551,Inf,2.63391060526862,0.00844077079907373
Genetic gain,20X - 2X,Chr,200,8,3,CV,DV,0.620421104121889,0.134862247914551,Inf,4.60040607149741,4.21668127044295e-06
Genetic gain,20X - 2X,Peri,200,8,3,CV,DV,0.824748962649279,0.134862247914551,Inf,6.11549173621845,9.62596711951795e-10
Genetic gain,20X - 2X,Peri,200,2,4,CV,DV,0.659510253398919,0.134862247914551,Inf,4.89025107913658,1.00707437888632e-06
Genetic gain,20X - 2X,Chr,200,8,4,CV,DV,1.28096816020275,0.13486224791455,Inf,9.49834501508818,2.13252427194679e-21
Genetic gain,20X - 2X,Peri,200,8,4,CV,DV,1.19710086536227,0.134862247914553,Inf,8.87647124286954,6.90149674748437e-19
Genetic gain,20X - 2X,Chr,200,8,5,CV,DV,0.561044584012162,0.13486224791455,Inf,4.16013074591227,3.18065462159959e-05
Genetic gain,20X - 2X,Peri,200,8,5,CV,DV,0.362640415432358,0.134862247914551,Inf,2.68896908541913,0.00716730564867861
Genetic gain,20X - 2X,Chr,200,2,1,GW,DV,-0.45262157874873,0.134862247914555,Inf,-3.3561770306209,0.000790279644705514
Genetic gain,20X - 2X,Chr,200,8,1,GW,DV,-0.304863288995986,0.134862247914551,Inf,-2.26055322160393,0.0237869372235154
Genetic gain,20X - 2X,Chr,200,2,2,GW,DV,-0.309321636193538,0.134862247914551,Inf,-2.2936117481115,0.0218128099744724
Genetic gain,20X - 2X,Chr,200,8,2,GW,DV,-0.454760313214692,0.134862247914551,Inf,-3.37203569009786,0.000746147786692444
Genetic gain,20X - 2X,Chr,200,2,3,GW,DV,-0.454525151697009,0.13486224791455,Inf,-3.37029197366634,0.000750885768018464
Genetic gain,20X - 2X,Peri,200,2,3,GW,DV,-0.652852369168805,0.134862247914551,Inf,-4.84088304372957,1.2926343674177e-06
Genetic gain,20X - 2X,Chr,200,8,3,GW,DV,-0.648849477927607,0.134862247914551,Inf,-4.81120171108759,1.5002551125543e-06
Genetic gain,20X - 2X,Chr,200,2,4,GW,DV,-0.355083510622066,0.13486224791455,Inf,-2.63293483619709,0.00846505867326073
Genetic gain,20X - 2X,Peri,200,8,4,GW,DV,0.477627468074973,0.134862247914554,Inf,3.54159503835045,0.00039771555508524
Genetic gain,20X - 2X,Chr,2,2,5,GW,DV,-0.309305801473622,0.13486224791455,Inf,-2.29349433408229,0.021819561188017
Genetic gain,20X - 2X,Chr,200,2,5,GW,DV,-0.736217501636045,0.13486224791455,Inf,-5.45903329523708,4.78733987453273e-08
Genetic gain,20X - 2X,Peri,200,2,5,GW,DV,-0.337921392924296,0.13486224791455,Inf,-2.50567818755629,0.0122216799531572
Genetic gain,20X - 2X,Chr,2,8,5,GW,DV,-0.326167700951305,0.13486224791455,Inf,-2.41852487256454,0.0155835801386841
Genetic gain,20X - 2X,Chr,200,8,5,GW,DV,-0.569462314428252,0.134862247914551,Inf,-4.22254799422492,2.41555940482261e-05
Genetic gain,20X - 2X,Chr,200,2,1,CV,R,-0.391210430566338,0.134862247914555,Inf,-2.90081499171064,0.00372193552950083
