response,contrast,Matrix,Recombination,Map_type,QTL,H2,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,1 - 2,CV,20X,Chr,2,2,DV,-3.45597615196858,0.134862247914555,Inf,-25.62597172604,0
Genetic gain,1 - 3,CV,20X,Chr,2,2,DV,-3.77416832098567,0.134862247914543,Inf,-27.9853582403374,0
Genetic gain,1 - 4,CV,20X,Chr,2,2,DV,-2.31279026052301,0.134862247914553,Inf,-17.1492785882404,0
Genetic gain,1 - 5,CV,20X,Chr,2,2,DV,-3.89633132400627,0.134862247914543,Inf,-28.891193675455,0
Genetic gain,2 - 4,CV,20X,Chr,2,2,DV,1.14318589144557,0.134862247914552,Inf,8.47669313780007,4.87387907810444e-14
Genetic gain,2 - 5,CV,20X,Chr,2,2,DV,-0.440355172037694,0.134862247914549,Inf,-3.26522194941249,0.00965202247927177
Genetic gain,3 - 4,CV,20X,Chr,2,2,DV,1.46137806046267,0.134862247914548,Inf,10.8360796520953,4.68514116391816e-14
Genetic gain,4 - 5,CV,20X,Chr,2,2,DV,-1.58354106348327,0.134862247914546,Inf,-11.741915087213,0
Genetic gain,1 - 2,GW,20X,Chr,2,2,DV,-2.21040717139184,0.134862247914547,Inf,-16.390110691262,0
Genetic gain,1 - 3,GW,20X,Chr,2,2,DV,-2.12362216122773,0.134862247914546,Inf,-15.7466021371181,0
Genetic gain,1 - 4,GW,20X,Chr,2,2,DV,-1.54607030122314,0.134862247914548,Inf,-11.4640703764835,0
Genetic gain,1 - 5,GW,20X,Chr,2,2,DV,-2.26140689544788,0.13486224791455,Inf,-16.7682722957483,0
Genetic gain,2 - 4,GW,20X,Chr,2,2,DV,0.664336870168696,0.134862247914549,Inf,4.92604031477832,8.31045834748245e-06
Genetic gain,3 - 4,GW,20X,Chr,2,2,DV,0.577551860004587,0.134862247914549,Inf,4.28253176063426,0.000179542887533857
Genetic gain,4 - 5,GW,20X,Chr,2,2,DV,-0.715336594224732,0.13486224791455,Inf,-5.3042019192649,1.12624689685426e-06
Genetic gain,1 - 2,CV,2X,Chr,2,2,DV,-3.48270413453044,0.134862247914572,Inf,-25.824159009544,0
Genetic gain,1 - 3,CV,2X,Chr,2,2,DV,-3.72445689102885,0.134862247914569,Inf,-27.6167493025044,0
Genetic gain,1 - 4,CV,2X,Chr,2,2,DV,-2.34925717730758,0.134862247914569,Inf,-17.4196798113269,0
Genetic gain,1 - 5,CV,2X,Chr,2,2,DV,-3.76110667393791,0.134862247914568,Inf,-27.8885064730678,0
Genetic gain,2 - 4,CV,2X,Chr,2,2,DV,1.13344695722287,0.13486224791455,Inf,8.40447919821883,5.06261699229071e-14
Genetic gain,3 - 4,CV,2X,Chr,2,2,DV,1.37519971372127,0.13486224791455,Inf,10.1970694911789,4.42978986825437e-14
Genetic gain,4 - 5,CV,2X,Chr,2,2,DV,-1.41184949663033,0.134862247914549,Inf,-10.4688266617423,4.70734562441066e-14
Genetic gain,1 - 2,GW,2X,Chr,2,2,DV,-2.43670468598511,0.134862247914552,Inf,-18.0681007744212,0
Genetic gain,1 - 3,GW,2X,Chr,2,2,DV,-2.40006946159506,0.134862247914551,Inf,-17.7964515548914,0
Genetic gain,1 - 4,GW,2X,Chr,2,2,DV,-1.71038769629001,0.134862247914551,Inf,-12.6824795132713,0
Genetic gain,1 - 5,GW,2X,Chr,2,2,DV,-2.60403599882779,0.134862247914552,Inf,-19.3088580317725,0
Genetic gain,2 - 4,GW,2X,Chr,2,2,DV,0.726316989695099,0.13486224791455,Inf,5.38562126115012,7.18989693115901e-07
Genetic gain,3 - 4,GW,2X,Chr,2,2,DV,0.689681765305049,0.13486224791455,Inf,5.11397204162012,3.13293893550171e-06
Genetic gain,4 - 5,GW,2X,Chr,2,2,DV,-0.893648302537777,0.13486224791455,Inf,-6.62637851850135,3.4395775116991e-10
Genetic gain,1 - 2,CV,20X,Peri,2,2,DV,-3.40872584943165,0.134862247914542,Inf,-25.275611982915,0
Genetic gain,1 - 3,CV,20X,Peri,2,2,DV,-3.70456030372796,0.134862247914542,Inf,-27.4692166341126,0
Genetic gain,1 - 4,CV,20X,Peri,2,2,DV,-2.38061257114078,0.134862247914541,Inf,-17.6521792269792,0
Genetic gain,1 - 5,CV,20X,Peri,2,2,DV,-3.49915497713143,0.134862247914543,Inf,-25.9461415721672,0
Genetic gain,2 - 4,CV,20X,Peri,2,2,DV,1.02811327829087,0.134862247914549,Inf,7.62343275593549,2.77444733853827e-13
Genetic gain,3 - 4,CV,20X,Peri,2,2,DV,1.32394773258718,0.134862247914549,Inf,9.81703740713303,5.08482145278322e-14
Genetic gain,4 - 5,CV,20X,Peri,2,2,DV,-1.11854240599065,0.13486224791455,Inf,-8.29396234518772,5.55111512312578e-14
Genetic gain,1 - 2,GW,20X,Peri,2,2,DV,-2.23407042101386,0.13486224791455,Inf,-16.5655730611089,0
Genetic gain,1 - 3,GW,20X,Peri,2,2,DV,-2.31555742854652,0.134862247914551,Inf,-17.1697970659191,0
Genetic gain,1 - 4,GW,20X,Peri,2,2,DV,-1.56915730843576,0.134862247914551,Inf,-11.6352599241115,0
Genetic gain,1 - 5,GW,20X,Peri,2,2,DV,-2.22184876010655,0.134862247914552,Inf,-16.4749497688509,0
Genetic gain,2 - 4,GW,20X,Peri,2,2,DV,0.664913112578105,0.13486224791455,Inf,4.93031313699739,8.13132864241339e-06
Genetic gain,3 - 4,GW,20X,Peri,2,2,DV,0.74640012011076,0.13486224791455,Inf,5.53453714180773,3.11095969762754e-07
Genetic gain,4 - 5,GW,20X,Peri,2,2,DV,-0.652691451670795,0.134862247914551,Inf,-4.83968984473953,1.28582846145031e-05
Genetic gain,1 - 2,CV,2X,Peri,2,2,DV,-3.38611287333617,0.134862247914551,Inf,-25.1079373634765,0
Genetic gain,1 - 3,CV,2X,Peri,2,2,DV,-3.87207394760748,0.134862247914551,Inf,-28.711325871276,0
Genetic gain,1 - 4,CV,2X,Peri,2,2,DV,-2.32109357406172,0.13486224791455,Inf,-17.210847438435,0
Genetic gain,1 - 5,CV,2X,Peri,2,2,DV,-3.4862185598605,0.134862247914551,Inf,-25.8502183803831,0
Genetic gain,2 - 3,CV,2X,Peri,2,2,DV,-0.485961074271313,0.134862247914551,Inf,-3.60338850779961,0.00290170451225447
Genetic gain,2 - 4,CV,2X,Peri,2,2,DV,1.06501929927445,0.13486224791455,Inf,7.89708992504157,1.00475183728577e-13
Genetic gain,3 - 4,CV,2X,Peri,2,2,DV,1.55098037354576,0.13486224791455,Inf,11.5004784328412,0
Genetic gain,3 - 5,CV,2X,Peri,2,2,DV,0.385855387746983,0.134862247914551,Inf,2.86110749089295,0.0343040373455861
Genetic gain,4 - 5,CV,2X,Peri,2,2,DV,-1.16512498579878,0.13486224791455,Inf,-8.63937094194821,4.27435864480685e-14
Genetic gain,1 - 2,GW,2X,Peri,2,2,DV,-2.45711609738888,0.13486224791455,Inf,-18.2194508499201,0
Genetic gain,1 - 3,GW,2X,Peri,2,2,DV,-2.54694486857988,0.13486224791455,Inf,-18.8855288115444,0
Genetic gain,1 - 4,GW,2X,Peri,2,2,DV,-1.69383554676966,0.134862247914551,Inf,-12.5597457625272,0
Genetic gain,1 - 5,GW,2X,Peri,2,2,DV,-2.45511142570915,0.134862247914551,Inf,-18.2045862624559,0
Genetic gain,2 - 4,GW,2X,Peri,2,2,DV,0.76328055061922,0.134862247914551,Inf,5.65970508739286,1.51272083859233e-07
Genetic gain,3 - 4,GW,2X,Peri,2,2,DV,0.853109321810221,0.13486224791455,Inf,6.32578304901725,2.51809384455015e-09
