response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,2 - 8,20X,Chr,2,1,CV,DV,0.342709956847323,0.119201821214722,Inf,2.87503960388313,0.00403976822792434
Genetic gain,2 - 8,2X,Chr,2,1,CV,DV,0.324975836906137,0.119201821214898,Inf,2.72626570293978,0.00640554112036779
Genetic gain,2 - 8,20X,Peri,2,1,CV,DV,0.292070493453628,0.119201821214877,Inf,2.45021838153909,0.0142769595640619
Genetic gain,2 - 8,2X,Peri,2,1,CV,DV,0.363439919512327,0.119201821214883,Inf,3.04894602958423,0.00229645733535128
Genetic gain,2 - 8,20X,WT,2,1,CV,DV,0.306708090459833,0.119201821214886,Inf,2.57301513797282,0.0100816797975313
Genetic gain,2 - 8,2X,WT,2,1,CV,DV,0.346776642098286,0.119201821214885,Inf,2.90915556963808,0.00362406472791924
Genetic gain,2 - 8,20X,Chr,200,1,CV,DV,-2.57009945680033,0.119201821214891,Inf,-21.5609076321669,4.18322609656755e-103
Genetic gain,2 - 8,2X,Chr,200,1,CV,DV,-2.28081349364142,0.119201821214882,Inf,-19.1340490472026,1.31456036686467e-81
Genetic gain,2 - 8,20X,Peri,200,1,CV,DV,-2.56341960546631,0.119201821214883,Inf,-21.5048694670972,1.40179359037579e-102
Genetic gain,2 - 8,2X,Peri,200,1,CV,DV,-2.39711764202951,0.119201821214885,Inf,-20.1097400828148,6.06407461604907e-90
Genetic gain,2 - 8,20X,WT,200,1,CV,DV,-2.26754338385823,0.119201821214883,Inf,-19.0227243237381,1.10585282504181e-80
Genetic gain,2 - 8,2X,WT,200,1,CV,DV,-2.31472499520704,0.119201821214884,Inf,-19.4185371634072,5.38006759494688e-84
Genetic gain,2 - 8,20X,Chr,2,2,CV,DV,-0.551006017208497,0.119201821214881,Inf,-4.62246307642578,3.79210324837775e-06
Genetic gain,2 - 8,2X,Chr,2,2,CV,DV,-0.652880095591697,0.119201821214886,Inf,-5.47709832733801,4.32356993563023e-08
Genetic gain,2 - 8,20X,Peri,2,2,CV,DV,-0.412747362212359,0.119201821214886,Inf,-3.46259275240683,0.000534997481982049
Genetic gain,2 - 8,2X,Peri,2,2,CV,DV,-0.494290409237273,0.119201821214887,Inf,-4.1466682656317,3.37348282941764e-05
Genetic gain,2 - 8,20X,WT,2,2,CV,DV,-0.624632041751764,0.119201821214886,Inf,-5.24012163057252,1.60470793168715e-07
