response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,2 - 200,Chr,20X,2,1,CV,DV,-1.0872479538494,0.119201821214713,Inf,-9.12106830893957,7.43873910042636e-20
Genetic gain,2 - 200,Peri,20X,2,1,CV,DV,-1.20184034438599,0.11920182121488,Inf,-10.0823991792834,6.60922733965586e-24
Genetic gain,2 - 200,WT,20X,2,1,CV,DV,-1.42427152749939,0.119201821214881,Inf,-11.9484040846314,6.61839558849335e-33
Genetic gain,2 - 200,Chr,2X,2,1,CV,DV,-1.44084771134215,0.119201821214894,Inf,-12.0874639049736,1.23025940401563e-33
Genetic gain,2 - 200,Peri,2X,2,1,CV,DV,-1.24782665268551,0.119201821214883,Inf,-10.4681844620148,1.20940229725421e-25
Genetic gain,2 - 200,WT,2X,2,1,CV,DV,-1.37204141435294,0.119201821214882,Inf,-11.5102386890515,1.17153697665052e-30
Genetic gain,2 - 200,Chr,20X,8,1,CV,DV,-4.00005736749705,0.119201821214902,Inf,-33.5570155449687,7.11317321137418e-247
Genetic gain,2 - 200,Peri,20X,8,1,CV,DV,-4.05733044330592,0.119201821214882,Inf,-34.0374870279195,6.21668564495882e-254
Genetic gain,2 - 200,WT,20X,8,1,CV,DV,-3.99852300181745,0.119201821214887,Inf,-33.5441435463411,1.09593660922081e-246
Genetic gain,2 - 200,Chr,2X,8,1,CV,DV,-4.0466370418897,0.119201821214887,Inf,-33.9477786551162,1.31537922814722e-252
Genetic gain,2 - 200,Peri,2X,8,1,CV,DV,-4.00838421422734,0.119201821214886,Inf,-33.6268705744135,6.79299218433216e-248
Genetic gain,2 - 200,WT,2X,8,1,CV,DV,-4.03354305165827,0.119201821214885,Inf,-33.8379314220962,5.46198163915579e-251
Genetic gain,2 - 200,Chr,20X,2,2,CV,DV,1.75361702766828,0.119201821214881,Inf,14.7113274763403,5.45271686037468e-49
Genetic gain,2 - 200,Peri,20X,2,2,CV,DV,1.57670917787396,0.119201821214886,Inf,13.2272238947727,6.11028313053519e-40
Genetic gain,2 - 200,WT,20X,2,2,CV,DV,1.27828197844611,0.119201821214886,Inf,10.7236782577486,7.88056653689479e-27
Genetic gain,2 - 200,Chr,2X,2,2,CV,DV,1.46981786777811,0.119201821214886,Inf,12.3304984168695,6.20616521760699e-35
Genetic gain,2 - 200,Peri,2X,2,2,CV,DV,1.44370535560321,0.119201821214886,Inf,12.1114370643769,9.18703202044235e-34
Genetic gain,2 - 200,WT,2X,2,2,CV,DV,1.39234664636239,0.119201821214887,Inf,11.6805819925551,1.6019491776607e-31
Genetic gain,2 - 200,Chr,20X,8,2,CV,DV,-0.356822708470596,0.119201821214887,Inf,-2.9934333622919,0.00275857742150988
Genetic gain,2 - 200,Peri,20X,8,2,CV,DV,-0.525382511294816,0.119201821214887,Inf,-4.40750406277519,1.04568639951657e-05
Genetic gain,2 - 200,WT,20X,8,2,CV,DV,-0.264087436877902,0.119201821214887,Inf,-2.21546478221862,0.0267281790537745
Genetic gain,2 - 200,Peri,2X,8,2,CV,DV,-0.462492547665106,0.119201821214887,Inf,-3.87991175765147,0.000104494367494555
Genetic gain,2 - 200,Chr,20X,2,3,CV,DV,0.891514417474972,0.119201821214885,Inf,7.47903352808546,7.48711723626698e-14
Genetic gain,2 - 200,Peri,20X,2,3,CV,DV,0.80569154882667,0.119201821214887,Inf,6.75905401960457,1.38895605652862e-11
Genetic gain,2 - 200,WT,20X,2,3,CV,DV,0.505615532446431,0.119201821214886,Inf,4.24167623693396,2.2185657843036e-05
Genetic gain,2 - 200,Chr,2X,2,3,CV,DV,0.634658926155464,0.119201821214887,Inf,5.32423850312952,1.01376822274974e-07
Genetic gain,2 - 200,Peri,2X,2,3,CV,DV,0.882273508806984,0.119201821214886,Inf,7.40151031095826,1.34644221228186e-13
Genetic gain,2 - 200,WT,2X,2,3,CV,DV,0.770494340346671,0.119201821214886,Inf,6.46377993636266,1.02119352366528e-10
Genetic gain,2 - 200,Chr,20X,8,3,CV,DV,-0.958193174054973,0.119201821214889,Inf,-8.03841052333932,9.10112799398635e-16
Genetic gain,2 - 200,Peri,20X,8,3,CV,DV,-0.948438262060195,0.119201821214887,Inf,-7.9565752636483,1.76866563216804e-15
Genetic gain,2 - 200,WT,20X,8,3,CV,DV,-0.833091045463613,0.119201821214886,Inf,-6.9889120566522,2.77025992485349e-12
Genetic gain,2 - 200,Chr,2X,8,3,CV,DV,-0.889624531332833,0.119201821214887,Inf,-7.46317902080618,8.44594682132315e-14
Genetic gain,2 - 200,Peri,2X,8,3,CV,DV,-0.871163533644752,0.119201821214886,Inf,-7.30830724535909,2.70528658210247e-13
Genetic gain,2 - 200,WT,2X,8,3,CV,DV,-1.24203195463706,0.119201821214886,Inf,-10.4195719660864,2.01859600647655e-25
Genetic gain,2 - 200,Chr,20X,2,4,CV,DV,-0.459270170470475,0.119201821214879,Inf,-3.85287880495192,0.000116737179220306
Genetic gain,2 - 200,Peri,20X,2,4,CV,DV,-0.536916086294998,0.119201821214887,Inf,-4.50426076399531,6.66043822061585e-06
Genetic gain,2 - 200,Chr,2X,2,4,CV,DV,-0.497084363457499,0.119201821214886,Inf,-4.17010712077461,3.0445649760842e-05
Genetic gain,2 - 200,Peri,2X,2,4,CV,DV,-0.331824908350048,0.119201821214887,Inf,-2.78372347811584,0.00537388275992616
Genetic gain,2 - 200,WT,2X,2,4,CV,DV,-0.378615964893801,0.119201821214887,Inf,-3.17625990135893,0.00149187226916681
Genetic gain,2 - 200,Chr,20X,8,4,CV,DV,-4.62266115526775,0.119201821214887,Inf,-38.7801218819837,0
Genetic gain,2 - 200,Peri,20X,8,4,CV,DV,-4.86290425477418,0.119201821214887,Inf,-40.7955533330966,0
Genetic gain,2 - 200,WT,20X,8,4,CV,DV,-3.95418894755974,0.119201821214887,Inf,-33.1722192434583,2.70887068547586e-241
Genetic gain,2 - 200,Chr,2X,8,4,CV,DV,-4.06420612098356,0.119201821214887,Inf,-34.0951680063423,8.69851750672751e-255
Genetic gain,2 - 200,Peri,2X,8,4,CV,DV,-4.11560936464227,0.119201821214887,Inf,-34.5263966833443,3.22303246219357e-261
Genetic gain,2 - 200,WT,2X,8,4,CV,DV,-4.12858688481082,0.119201821214887,Inf,-34.6352668334501,7.44490180894764e-263
Genetic gain,2 - 200,Chr,20X,2,5,CV,DV,1.28132066997878,0.119201821214883,Inf,10.7491702468956,5.97971049228335e-27
Genetic gain,2 - 200,Peri,20X,2,5,CV,DV,0.820346234986173,0.119201821214889,Inf,6.88199413922803,5.90204422910413e-12
Genetic gain,2 - 200,WT,20X,2,5,CV,DV,0.731754247740332,0.119201821214887,Inf,6.13878412496055,8.31554773877294e-10
Genetic gain,2 - 200,Chr,2X,2,5,CV,DV,0.859534415115866,0.119201821214887,Inf,7.21074901671485,5.56449355921454e-13
Genetic gain,2 - 200,Peri,2X,2,5,CV,DV,0.682396967004796,0.119201821214887,Inf,5.72471930420113,1.03604895426132e-08
Genetic gain,2 - 200,WT,2X,2,5,CV,DV,0.860704200733031,0.119201821214886,Inf,7.22056250450595,5.17729661070349e-13
Genetic gain,2 - 200,Chr,20X,8,5,CV,DV,-0.527275623848753,0.119201821214886,Inf,-4.42338563685389,9.71660764810023e-06
Genetic gain,2 - 200,Peri,20X,8,5,CV,DV,-0.851868768154155,0.119201821214887,Inf,-7.14644088044994,8.90567178371284e-13
Genetic gain,2 - 200,WT,20X,8,5,CV,DV,-0.838441271267415,0.119201821214887,Inf,-7.0337958155517,2.00989190694311e-12
Genetic gain,2 - 200,Chr,2X,8,5,CV,DV,-0.489643035768432,0.119201821214887,Inf,-4.1076808288503,3.9965185716437e-05
Genetic gain,2 - 200,Peri,2X,8,5,CV,DV,-0.776107852090265,0.119201821214887,Inf,-6.51087243617832,7.47155747195428e-11
Genetic gain,2 - 200,WT,2X,8,5,CV,DV,-0.852107739664399,0.119201821214887,Inf,-7.14844564436891,8.77659893589583e-13
Genetic gain,2 - 200,Chr,20X,2,1,GW,DV,-0.750330853708894,0.119201821214913,Inf,-6.29462575371311,3.081423830436e-10
Genetic gain,2 - 200,Peri,20X,2,1,GW,DV,-0.823515320284533,0.119201821214883,Inf,-6.90858001909211,4.89528839303523e-12
Genetic gain,2 - 200,WT,20X,2,1,GW,DV,-1.06678248588205,0.119201821214888,Inf,-8.94938076456847,3.57482048249288e-19
Genetic gain,2 - 200,Chr,2X,2,1,GW,DV,-1.09738290154013,0.119201821214892,Inf,-9.20609173883184,3.38215393119254e-20
Genetic gain,2 - 200,Peri,2X,2,1,GW,DV,-1.00203709178409,0.119201821214886,Inf,-8.40622300541624,4.23425684254131e-17
Genetic gain,2 - 200,WT,2X,2,1,GW,DV,-1.13412095512824,0.119201821214887,Inf,-9.51429217749737,1.82954127598327e-21
Genetic gain,2 - 200,Chr,20X,8,1,GW,DV,-3.04631725626392,0.11920182121489,Inf,-25.5559623604425,4.7136378604461e-144
Genetic gain,2 - 200,Peri,20X,8,1,GW,DV,-3.02881800746638,0.119201821214886,Inf,-25.4091588249,1.99763330374369e-142
Genetic gain,2 - 200,WT,20X,8,1,GW,DV,-3.36748848680654,0.119201821214887,Inf,-28.2503107124171,1.4108871415538e-175
Genetic gain,2 - 200,Chr,2X,8,1,GW,DV,-3.37169025219876,0.119201821214888,Inf,-28.2855598835233,5.20249659460526e-176
Genetic gain,2 - 200,Peri,2X,8,1,GW,DV,-3.24018992457083,0.119201821214886,Inf,-27.1823860705089,1.04919104063519e-162
Genetic gain,2 - 200,WT,2X,8,1,GW,DV,-3.39631048675106,0.119201821214886,Inf,-28.4921023197164,1.46748918706338e-178
