response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,estimate,SE,df,z.ratio,p.value
Genetic gain,DV - R,GW,20X,Peri,200,2,1,-0.332009808026438,0.119201821214887,Inf,-2.78527462619819,0.00534824048195088
Genetic gain,DV - R,GW,2X,Peri,200,2,1,-0.256619068407891,0.119201821214886,Inf,-2.15281164157117,0.0313334848498037
Genetic gain,DV - R,GW,20X,Chr,200,8,1,-0.265201864162493,0.119201821214888,Inf,-2.22481386156347,0.0260937364629765
Genetic gain,DV - R,CV,2X,Chr,200,8,1,-0.296696795580289,0.119201821214885,Inf,-2.48902904801625,0.0128092499589856
Genetic gain,DV - R,GW,2X,Chr,200,8,1,-0.515783085304423,0.119201821214887,Inf,-4.32697319594315,1.51172349537105e-05
Genetic gain,DV - R,CV,20X,Peri,200,8,1,-0.281857823136548,0.119201821214886,Inf,-2.36454292613903,0.0180523351675355
Genetic gain,DV - R,GW,20X,Peri,200,8,1,-0.721218396976654,0.119201821214887,Inf,-6.05039746562683,1.44488901945012e-09
Genetic gain,DV - R,CV,2X,Peri,200,8,1,-0.336506577515985,0.119201821214886,Inf,-2.82299862608107,0.00475767754946788
Genetic gain,DV - R,GW,2X,Peri,200,8,1,-0.599723603743845,0.119201821214886,Inf,-5.03116141709547,4.8751746403115e-07
Genetic gain,DV - R,CV,20X,WT,200,8,1,-0.374478606295847,0.119201821214886,Inf,-3.14155104745229,0.00168055510032549
Genetic gain,DV - R,GW,20X,WT,200,8,1,-0.584857719424079,0.119201821214887,Inf,-4.90644952789563,9.27398394693854e-07
Genetic gain,DV - R,CV,2X,WT,200,8,1,-0.300147212282738,0.119201821214887,Inf,-2.51797505460642,0.0118031680179675
Genetic gain,DV - R,GW,2X,WT,200,8,1,-0.500171969001042,0.119201821214889,Inf,-4.19600945609182,2.71658909531222e-05
Genetic gain,DV - R,CV,2X,Chr,2,2,2,-0.415483852566874,0.119201821214886,Inf,-3.48554953550482,0.000491127282126618
Genetic gain,DV - R,CV,20X,WT,2,2,2,-0.457469331802949,0.119201821214886,Inf,-3.83777132883117,0.000124156016339424
Genetic gain,DV - R,CV,20X,Chr,200,2,2,-0.239653191885242,0.119201821214886,Inf,-2.0104826372847,0.0443801320452321
Genetic gain,DV - R,GW,20X,Peri,200,2,2,-0.409070677493063,0.119201821214887,Inf,-3.43174855320057,0.000599703306245939
Genetic gain,DV - R,GW,2X,Peri,200,2,2,-0.261613824595861,0.119201821214886,Inf,-2.19471331838335,0.0281841687562161
Genetic gain,DV - R,CV,20X,Chr,2,8,2,-0.563648709942291,0.119201821214886,Inf,-4.72852431445823,2.26157546278846e-06
Genetic gain,DV - R,CV,2X,Chr,2,8,2,-0.456243288254708,0.119201821214886,Inf,-3.82748588574192,0.00012945880501945
Genetic gain,DV - R,GW,2X,Chr,2,8,2,-0.341169169266148,0.119201821214887,Inf,-2.86211373105715,0.00420825869086856
Genetic gain,DV - R,CV,20X,Peri,2,8,2,-0.668613998281905,0.119201821214886,Inf,-5.60909213858896,2.03390724558314e-08
Genetic gain,DV - R,GW,20X,Peri,2,8,2,-0.476760955758848,0.119201821214887,Inf,-3.99961133898603,6.34465937522054e-05
Genetic gain,DV - R,CV,2X,Peri,2,8,2,-0.571904635283,0.119201821214886,Inf,-4.79778437488823,1.60430346951262e-06
