response,contrast,Recombination,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic variance,Chr - WT,20X,200,2,1,CV,DV,0.00702353468214834,0.00235759880447669,Inf,2.97910512544027,0.00813304236767543
Genetic variance,Peri - WT,20X,200,2,1,CV,DV,0.00898426979948352,0.00235759880447667,Inf,3.81077127390121,0.000407121716379022
Genetic variance,Chr - Peri,20X,200,2,2,CV,DV,0.0063670190314787,0.00235759880447668,Inf,2.70063719891137,0.0189693867268614
Genetic variance,Chr - WT,20X,200,2,2,CV,DV,0.019313663105723,0.00235759880447668,Inf,8.1920906428395,3.59712259978551e-14
Genetic variance,Peri - WT,20X,200,2,2,CV,DV,0.0129466440742443,0.00235759880447669,Inf,5.49145344392811,1.19457049363447e-07
Genetic variance,Chr - WT,2X,200,2,2,CV,DV,0.0085096311206457,0.00235759880447669,Inf,3.60944835248785,0.00089547093506015
Genetic variance,Peri - WT,2X,200,2,2,CV,DV,0.00768262069940096,0.00235759880447667,Inf,3.25866329963053,0.0032111517481308
Genetic variance,Chr - WT,20X,200,8,2,CV,DV,0.0076185619735935,0.00235759880447669,Inf,3.23149212627998,0.00352685706255185
Genetic variance,Peri - WT,20X,200,8,2,CV,DV,0.00781248436525246,0.0023575988044767,Inf,3.31374632122218,0.00264916395157855
Genetic variance,Chr - WT,20X,200,2,3,CV,DV,0.0336477759211875,0.00235759880447668,Inf,14.2720533524602,0
Genetic variance,Peri - WT,20X,200,2,3,CV,DV,0.0342298057188799,0.0023575988044767,Inf,14.518927331437,0
Genetic variance,Chr - WT,2X,200,2,3,CV,DV,0.0111489981939875,0.00235759880447668,Inf,4.72896328790861,6.73844856913242e-06
Genetic variance,Peri - WT,2X,200,2,3,CV,DV,0.00901741987103594,0.00235759880447668,Inf,3.82483222078048,0.000384736830640109
Genetic variance,Chr - WT,20X,200,8,3,CV,DV,0.0150198981832775,0.00235759880447668,Inf,6.37084569043606,5.63891711102826e-10
Genetic variance,Peri - WT,20X,200,8,3,CV,DV,0.012735198434918,0.0023575988044767,Inf,5.40176658163208,1.9769713233142e-07
Genetic variance,Chr - WT,2X,200,8,3,CV,DV,0.00630428903164817,0.00235759880447668,Inf,2.67402961847342,0.0204831180854883
Genetic variance,Peri - WT,2X,200,8,3,CV,DV,0.00560563706513183,0.0023575988044767,Inf,2.37768913628885,0.0458515371470574
Genetic variance,Chr - Peri,20X,200,2,4,CV,DV,0.00584521120874741,0.0023575988044767,Inf,2.47930699559582,0.0351388013993166
Genetic variance,Chr - WT,20X,200,2,4,CV,DV,0.0333679113988818,0.0023575988044767,Inf,14.1533459108995,0
Genetic variance,Peri - WT,20X,200,2,4,CV,DV,0.0275227001901344,0.0023575988044767,Inf,11.6740389153037,0
Genetic variance,Chr - WT,2X,200,2,4,CV,DV,0.00873362954750266,0.00235759880447669,Inf,3.70445960988737,0.000620397670882067
Genetic variance,Peri - WT,2X,200,2,4,CV,DV,0.00649411779278152,0.00235759880447669,Inf,2.75454745754463,0.0162005995188851
Genetic variance,Chr - WT,20X,200,8,4,CV,DV,0.020163006194107,0.00235759880447669,Inf,8.5523483282316,2.73114864057789e-14
Genetic variance,Peri - WT,20X,200,8,4,CV,DV,0.0150344717231466,0.00235759880447669,Inf,6.37702720861524,5.41605871262618e-10
Genetic variance,Chr - WT,2X,200,8,4,CV,DV,0.00558357893090758,0.00235759880447669,Inf,2.36833294973907,0.0469635203067607
Genetic variance,Chr - WT,20X,200,2,5,CV,DV,0.0139203588651875,0.00235759880447671,Inf,5.90446467768599,1.06086950335538e-08
Genetic variance,Peri - WT,20X,200,2,5,CV,DV,0.0165477028850053,0.0023575988044767,Inf,7.01887991017974,6.73228139902449e-12
