response,contrast,Recombination,Map_type,QTL,H2,Repulsion,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic variance,CV - GW,2X,Chr,2,2,1,DV,-0.00528536692910226,0.00235759880447651,Inf,-2.24184323433937,0.0249715058837416
Genetic variance,CV - GW,20X,Peri,2,2,1,DV,-0.00551982752489555,0.00235759880447667,Inf,-2.34129212926914,0.0192171239638017
Genetic variance,CV - GW,20X,Chr,200,2,1,DV,-0.00954506511435711,0.00235759880447666,Inf,-4.04863842661981,5.15164609840156e-05
Genetic variance,CV - GW,2X,Chr,200,2,1,DV,-0.0101141006368459,0.00235759880447664,Inf,-4.29000074891502,1.78672515735294e-05
Genetic variance,CV - GW,20X,Peri,200,2,1,DV,-0.0148632230264264,0.00235759880447665,Inf,-6.30439029668823,2.89330565943976e-10
Genetic variance,CV - GW,2X,Peri,200,2,1,DV,-0.0120501998112307,0.00235759880447666,Inf,-5.11121730650249,3.2008953169524e-07
Genetic variance,CV - GW,20X,WT,200,2,1,DV,-0.0065812000214232,0.00235759880447668,Inf,-2.79148428855945,0.00524669047701206
Genetic variance,CV - GW,2X,WT,200,2,1,DV,-0.0113552429245123,0.00235759880447667,Inf,-4.81644413076165,1.46139057513171e-06
Genetic variance,CV - GW,20X,Chr,200,8,1,DV,-0.014803211715629,0.00235759880447657,Inf,-6.27893587641837,3.40898143206257e-10
Genetic variance,CV - GW,2X,Chr,200,8,1,DV,-0.0078788367958556,0.00235759880447667,Inf,-3.34189039326584,0.00083209911610126
Genetic variance,CV - GW,20X,Peri,200,8,1,DV,-0.0126865757836186,0.00235759880447664,Inf,-5.38114277947935,7.40144584174118e-08
Genetic variance,CV - GW,2X,Peri,200,8,1,DV,-0.00842142446500872,0.00235759880447668,Inf,-3.57203458409373,0.000354218619910072
Genetic variance,CV - GW,20X,WT,200,8,1,DV,-0.00632206350833349,0.00235759880447666,Inf,-2.68156884722244,0.007327783442306
Genetic variance,CV - GW,2X,WT,200,8,1,DV,-0.00575664931867925,0.00235759880447668,Inf,-2.44174255083111,0.0146165659600136
Genetic variance,CV - GW,20X,Chr,2,2,2,DV,-0.0242873253418416,0.00235759880447666,Inf,-10.301721096789,6.92117603136529e-25
Genetic variance,CV - GW,2X,Chr,2,2,2,DV,-0.0167132102395475,0.00235759880447668,Inf,-7.08908157223864,1.3500493675841e-12
Genetic variance,CV - GW,20X,Peri,2,2,2,DV,-0.0245082123304977,0.00235759880447669,Inf,-10.3954126053851,2.60158511629456e-25
Genetic variance,CV - GW,2X,Peri,2,2,2,DV,-0.0196343746549473,0.0023575988044767,Inf,-8.3281237747766,8.21336180836105e-17
Genetic variance,CV - GW,20X,WT,2,2,2,DV,-0.0113571557525515,0.00235759880447669,Inf,-4.81725547662571,1.45546286523498e-06
Genetic variance,CV - GW,2X,WT,2,2,2,DV,-0.00873742698990627,0.00235759880447669,Inf,-3.70607033449259,0.000210499865303455
Genetic variance,CV - GW,20X,Chr,200,2,2,DV,-0.00792096251009967,0.00235759880447668,Inf,-3.35975845214168,0.000780106457675542
Genetic variance,CV - GW,2X,Chr,200,2,2,DV,-0.00999732328260628,0.00235759880447669,Inf,-4.24046842220272,2.23053814373363e-05
Genetic variance,CV - GW,20X,Peri,200,2,2,DV,-0.0211381382050174,0.00235759880447667,Inf,-8.96596069054655,3.07587686562066e-19
Genetic variance,CV - GW,2X,Peri,200,2,2,DV,-0.0116861470226226,0.00235759880447667,Inf,-4.95680053808675,7.16634797236382e-07
Genetic variance,CV - GW,20X,WT,200,2,2,DV,-0.00916237375515049,0.00235759880447669,Inf,-3.88631591505419,0.000101777040089937
Genetic variance,CV - GW,2X,WT,200,2,2,DV,-0.00959090897380154,0.00235759880447668,Inf,-4.06808357536915,4.74013810856005e-05
Genetic variance,CV - GW,20X,Chr,200,8,2,DV,-0.0166657289941987,0.00235759880447668,Inf,-7.06894190926518,1.56119480242033e-12
Genetic variance,CV - GW,2X,Chr,200,8,2,DV,-0.00953433095688633,0.0023575988044767,Inf,-4.04408542232977,5.25277665051305e-05
Genetic variance,CV - GW,20X,Peri,200,8,2,DV,-0.0129232496604085,0.00235759880447665,Inf,-5.4815304605133,4.21662104849606e-08
Genetic variance,CV - GW,2X,Peri,200,8,2,DV,-0.009623109390666,0.00235759880447667,Inf,-4.08174171635708,4.46994562203626e-05
Genetic variance,CV - GW,20X,WT,200,8,2,DV,-0.0060699868359874,0.00235759880447669,Inf,-2.57464791060358,0.0100342173052166
Genetic variance,CV - GW,2X,WT,200,8,2,DV,-0.00635868196768385,0.00235759880447672,Inf,-2.69710094678097,0.00699460630207449
Genetic variance,CV - GW,20X,Chr,2,2,3,DV,-0.0231915053426826,0.00235759880447667,Inf,-9.83691767176249,7.80659361214436e-23
Genetic variance,CV - GW,2X,Chr,2,2,3,DV,-0.01542603030318,0.00235759880447669,Inf,-6.54311084391818,6.02521376363064e-11
Genetic variance,CV - GW,20X,Peri,2,2,3,DV,-0.0350429449522296,0.0023575988044767,Inf,-14.8638287759939,5.65960188776609e-50
Genetic variance,CV - GW,2X,Peri,2,2,3,DV,-0.0165959093825817,0.0023575988044767,Inf,-7.03932719641222,1.93170281229669e-12
Genetic variance,CV - GW,20X,WT,2,2,3,DV,-0.0145126165117419,0.0023575988044767,Inf,-6.15567690490206,7.47574942285408e-10
Genetic variance,CV - GW,2X,WT,2,2,3,DV,-0.0117162192066122,0.0023575988044767,Inf,-4.969555967014,6.71063995041706e-07
Genetic variance,CV - GW,2X,Chr,200,2,3,DV,-0.0127035347989479,0.00235759880447668,Inf,-5.38833612183127,7.11129637350115e-08
Genetic variance,CV - GW,20X,Peri,200,2,3,DV,-0.01653078414095,0.0023575988044767,Inf,-7.01170364930655,2.35433480929719e-12
Genetic variance,CV - GW,2X,Peri,200,2,3,DV,-0.011332981918493,0.00235759880447668,Inf,-4.80700189403455,1.53210539848396e-06
Genetic variance,CV - GW,20X,WT,200,2,3,DV,-0.0107559625699997,0.00235759880447669,Inf,-4.56225314908367,5.06075768191947e-06
Genetic variance,CV - GW,2X,WT,200,2,3,DV,-0.00953106742521193,0.00235759880447669,Inf,-4.04270116150128,5.28389466764931e-05
Genetic variance,CV - GW,20X,Chr,200,8,3,DV,-0.0197251664788258,0.0023575988044767,Inf,-8.36663406910919,5.92874550566409e-17
Genetic variance,CV - GW,2X,Chr,200,8,3,DV,-0.0130580510560736,0.0023575988044767,Inf,-5.53870787144892,3.04711423584318e-08
Genetic variance,CV - GW,20X,Peri,200,8,3,DV,-0.0174316865080701,0.00235759880447668,Inf,-7.39383073785508,1.42657989904424e-13
Genetic variance,CV - GW,2X,Peri,200,8,3,DV,-0.00916344003645291,0.00235759880447667,Inf,-3.88676818933447,0.00010158768040613
Genetic variance,CV - GW,20X,WT,200,8,3,DV,-0.00822729119456775,0.00235759880447669,Inf,-3.48969094272761,0.000483579452336153
Genetic variance,CV - GW,2X,WT,200,8,3,DV,-0.00721923762208852,0.00235759880447666,Inf,-3.06211455841447,0.00219779322342209
