response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic variance,2 - 200,Chr,20X,2,1,CV,DV,-0.0220079813657835,0.00235759880447625,Inf,-9.33491369439028,1.01073562423857e-20
Genetic variance,2 - 200,Peri,20X,2,1,CV,DV,-0.023968716483054,0.00235759880447663,Inf,-10.1665798428223,2.79552729366574e-24
Genetic variance,2 - 200,WT,20X,2,1,CV,DV,-0.0149844466835739,0.00235759880447656,Inf,-6.35580856892263,2.07333098413154e-10
Genetic variance,2 - 200,Chr,2X,2,1,CV,DV,-0.0176479674255056,0.00235759880447659,Inf,-7.48556853354174,7.1238071822836e-14
Genetic variance,2 - 200,Peri,2X,2,1,CV,DV,-0.0194083360776155,0.00235759880447661,Inf,-8.23224716638087,1.83733654987797e-16
Genetic variance,2 - 200,WT,2X,2,1,CV,DV,-0.0149664194913079,0.00235759880447667,Inf,-6.34816214823712,2.17902350039032e-10
Genetic variance,2 - 200,Chr,20X,8,1,CV,DV,-0.011915574445056,0.00235759880447658,Inf,-5.05411456030214,4.32392023597509e-07
Genetic variance,2 - 200,Peri,20X,8,1,CV,DV,-0.0112361770140223,0.00235759880447659,Inf,-4.76594108916545,1.87974180778411e-06
Genetic variance,2 - 200,WT,20X,8,1,CV,DV,-0.00726540749183707,0.00235759880447663,Inf,-3.08169798781771,0.00205823548259916
Genetic variance,2 - 200,Chr,2X,8,1,CV,DV,-0.00896606281343658,0.00235759880447661,Inf,-3.803048591818,0.000142926307515529
Genetic variance,2 - 200,Peri,2X,8,1,CV,DV,-0.00853420961748903,0.00235759880447666,Inf,-3.61987357699881,0.00029474698887435
Genetic variance,2 - 200,WT,2X,8,1,CV,DV,-0.00771686647737791,0.00235759880447667,Inf,-3.273189001761,0.00106341343861344
Genetic variance,2 - 200,Chr,20X,2,2,CV,DV,-0.0421465638253278,0.00235759880447662,Inf,-17.8769024421371,1.78481596776141e-71
Genetic variance,2 - 200,Peri,20X,2,2,CV,DV,-0.0357795447938411,0.00235759880447669,Inf,-15.1762652432219,5.07888501162811e-52
Genetic variance,2 - 200,WT,20X,2,2,CV,DV,-0.022832900719598,0.00235759880447667,Inf,-9.68481179929436,3.49852276773695e-22
Genetic variance,2 - 200,Chr,2X,2,2,CV,DV,-0.0296625789848404,0.00235759880447667,Inf,-12.5816907136687,2.66269395972742e-36
Genetic variance,2 - 200,Peri,2X,2,2,CV,DV,-0.0288355685635972,0.00235759880447669,Inf,-12.2309056608119,2.12555437437353e-34
Genetic variance,2 - 200,WT,2X,2,2,CV,DV,-0.0211529478641963,0.00235759880447668,Inf,-8.97224236118139,2.90538272877479e-19
Genetic variance,2 - 200,Chr,20X,8,2,CV,DV,-0.0195228956198777,0.00235759880447669,Inf,-8.2808387851262,1.22310679460924e-16
Genetic variance,2 - 200,Peri,20X,8,2,CV,DV,-0.0197168180115373,0.00235759880447669,Inf,-8.36309298006865,6.10950270475086e-17
Genetic variance,2 - 200,WT,20X,8,2,CV,DV,-0.0119043336462848,0.00235759880447668,Inf,-5.04934665884648,4.43323622929236e-07
Genetic variance,2 - 200,Chr,2X,8,2,CV,DV,-0.0148062640664536,0.0023575988044767,Inf,-6.28023056269748,3.38071293614318e-10
Genetic variance,2 - 200,Peri,2X,8,2,CV,DV,-0.015362238856116,0.00235759880447671,Inf,-6.51605303962048,7.21814610623509e-11
Genetic variance,2 - 200,WT,2X,8,2,CV,DV,-0.0120554780576404,0.00235759880447667,Inf,-5.11345612949462,3.1631724497898e-07
Genetic variance,2 - 200,Chr,20X,2,3,CV,DV,-0.059550546032065,0.00235759880447667,Inf,-25.2589821130673,9.02388527960239e-141
Genetic variance,2 - 200,Peri,20X,2,3,CV,DV,-0.0601325758297559,0.0023575988044767,Inf,-25.5058560920432,1.69738710897328e-143
Genetic variance,2 - 200,WT,20X,2,3,CV,DV,-0.0259027701108769,0.00235759880447668,Inf,-10.9869287606067,4.41701437558135e-28
Genetic variance,2 - 200,Chr,2X,2,3,CV,DV,-0.0398201449404274,0.00235759880447669,Inf,-16.8901277286091,5.31877381054138e-64
