response,contrast,Matrix,Recombination,Map_type,QTL,H2,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic variance,1 - 2,GW,20X,Chr,2,2,DV,-0.0218850785448061,0.0023575988044767,Inf,-9.28278318738959,5.21804821573824e-14
Genetic variance,1 - 3,GW,20X,Chr,2,2,DV,-0.0207892585456537,0.00235759880447669,Inf,-8.81797976236599,3.75255382323303e-14
Genetic variance,1 - 4,GW,20X,Chr,2,2,DV,-0.0129063401643643,0.00235759880447666,Inf,-5.47435812227998,4.37586500812159e-07
Genetic variance,1 - 5,GW,20X,Chr,2,2,DV,-0.0262210499687028,0.0023575988044767,Inf,-11.1219304654012,1.88737914186277e-14
Genetic variance,2 - 4,GW,20X,Chr,2,2,DV,0.00897873838044176,0.00235759880447669,Inf,3.80842506510973,0.00131820571598396
Genetic variance,3 - 4,GW,20X,Chr,2,2,DV,0.00788291838128939,0.00235759880447669,Inf,3.34362164008611,0.00738709276595739
Genetic variance,4 - 5,GW,20X,Chr,2,2,DV,-0.0133147098043384,0.0023575988044767,Inf,-5.64757234312128,1.62332043029956e-07
Genetic variance,1 - 2,GW,2X,Chr,2,2,DV,-0.0114278433104218,0.00235759880447666,Inf,-4.84723833788955,1.23805836592661e-05
Genetic variance,1 - 3,GW,2X,Chr,2,2,DV,-0.0101406633740526,0.00235759880447666,Inf,-4.30126760956838,0.000165151490329474
Genetic variance,1 - 4,GW,2X,Chr,2,2,DV,-0.00785313741160794,0.00235759880447667,Inf,-3.33098973272984,0.00771591631749846
Genetic variance,1 - 5,GW,2X,Chr,2,2,DV,-0.0112038116141557,0.00235759880447664,Inf,-4.75221296892489,1.98573511419609e-05
Genetic variance,1 - 2,GW,20X,Peri,2,2,DV,-0.0189883848055971,0.00235759880447668,Inf,-8.05412047611381,7.18314296932476e-14
Genetic variance,1 - 3,GW,20X,Peri,2,2,DV,-0.029523117427329,0.00235759880447669,Inf,-12.5225366467227,0
Genetic variance,1 - 4,GW,20X,Peri,2,2,DV,-0.0180087387010762,0.00235759880447669,Inf,-7.63859341414686,2.5024426975051e-13
Genetic variance,1 - 5,GW,20X,Peri,2,2,DV,-0.0314899799561846,0.0023575988044767,Inf,-13.35680180037,0
Genetic variance,2 - 3,GW,20X,Peri,2,2,DV,-0.0105347326217319,0.00235759880447669,Inf,-4.46841617060891,7.71427850104756e-05
Genetic variance,2 - 5,GW,20X,Peri,2,2,DV,-0.0125015951505875,0.0023575988044767,Inf,-5.30268132425627,1.1356559456166e-06
Genetic variance,3 - 4,GW,20X,Peri,2,2,DV,0.0115143787262528,0.0023575988044767,Inf,4.88394323257581,1.0290584572914e-05
