response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,estimate,SE,df,z.ratio,p.value
Genetic variance,DV - R,GW,2X,Peri,2,2,1,-0.0135690847688549,0.00628011413484603,Inf,-2.16064301977652,0.0307229255765771
Genetic variance,DV - R,CV,20X,Chr,200,2,1,-0.0169553587418291,0.00628011413484582,Inf,-2.69984882085991,0.00693709910514925
Genetic variance,DV - R,GW,20X,Chr,200,2,1,-0.0183864182810049,0.00628011413484613,Inf,-2.9277204022432,0.00341456953235143
Genetic variance,DV - R,CV,2X,Chr,200,2,1,-0.0245779429394839,0.00628011413484601,Inf,-3.91361405409976,9.09249231771703e-05
Genetic variance,DV - R,GW,2X,Chr,200,2,1,-0.0203518546041592,0.00628011413484609,Inf,-3.24068228174933,0.00119244007001141
Genetic variance,DV - R,CV,20X,Peri,200,2,1,-0.0159834083816948,0.00628011413484588,Inf,-2.54508246800949,0.010925193276937
Genetic variance,DV - R,CV,2X,Peri,200,2,1,-0.0219877470548079,0.00628011413484607,Inf,-3.50116997600504,0.000463220298190175
Genetic variance,DV - R,CV,20X,WT,200,2,1,-0.0226794369861119,0.00628011413484605,Inf,-3.61130968309509,0.000304654611093234
Genetic variance,DV - R,GW,20X,WT,200,2,1,-0.0159993555107908,0.0062801141348461,Inf,-2.54762177362607,0.0108459992005874
Genetic variance,DV - R,CV,2X,WT,200,2,1,-0.0218598003946799,0.00628011413484608,Inf,-3.4807966742814,0.000499924836447875
Genetic variance,DV - R,GW,2X,WT,200,2,1,-0.025357624263936,0.00628011413484608,Inf,-4.03776487488271,5.39628990916099e-05
Genetic variance,DV - R,CV,20X,Chr,200,8,1,-0.020127088725316,0.00628011413484607,Inf,-3.20489218717189,0.00135113079786573
Genetic variance,DV - R,CV,2X,Chr,200,8,1,-0.0208815320472748,0.00628011413484595,Inf,-3.32502429078656,0.000884108319292389
Genetic variance,DV - R,GW,2X,Chr,200,8,1,-0.0127665615125839,0.00628011413484609,Inf,-2.03285501480727,0.0420671730434279
Genetic variance,DV - R,CV,20X,Peri,200,8,1,-0.0186783473256615,0.00628011413484608,Inf,-2.97420507408012,0.00293748684208065
Genetic variance,DV - R,CV,2X,Peri,200,8,1,-0.0149668692911376,0.00628011413484607,Inf,-2.38321612788722,0.0171621150999848
Genetic variance,DV - R,CV,20X,WT,200,8,1,-0.0167564786231154,0.0062801141348461,Inf,-2.66818058769661,0.00762632545984478
Genetic variance,DV - R,CV,2X,WT,200,8,1,-0.0161926190120821,0.00628011413484602,Inf,-2.57839565721191,0.00992602721986573
Genetic variance,DV - R,GW,20X,Chr,2,2,2,0.0139242838798178,0.00628011413484598,Inf,2.21720235983567,0.0266092664098836
Genetic variance,DV - R,GW,2X,Peri,2,2,2,0.016566133813661,0.00628011413484603,Inf,2.63787145551092,0.00834281995495594
Genetic variance,DV - R,GW,20X,WT,2,2,2,-0.024391134172331,0.00628011413484605,Inf,-3.88386797574165,0.000102807746401874
Genetic variance,DV - R,GW,2X,WT,2,2,2,-0.0153386091797418,0.00628011413484606,Inf,-2.44240930186816,0.0145895950725357
Genetic variance,DV - R,CV,20X,Chr,200,2,2,-0.0178068843744741,0.00628011413484605,Inf,-2.83543961019279,0.00457626660273508
Genetic variance,DV - R,GW,20X,Chr,200,2,2,-0.024213594752952,0.00628011413484604,Inf,-3.85559788135054,0.000115447125508045
Genetic variance,DV - R,CV,2X,Chr,200,2,2,-0.0360737559473866,0.00628011413484607,Inf,-5.74412425838353,9.23979209810559e-09
Genetic variance,DV - R,GW,2X,Chr,200,2,2,-0.0330061258881727,0.00628011413484613,Inf,-5.25565701187394,1.47496953390187e-07
Genetic variance,DV - R,CV,20X,Peri,200,2,2,-0.0363907137711972,0.00628011413484602,Inf,-5.79459433217602,6.84865207865595e-09
Genetic variance,DV - R,GW,20X,Peri,200,2,2,-0.014258124794813,0.00628011413484598,Inf,-2.27036077508529,0.0231857023670906
Genetic variance,DV - R,CV,2X,Peri,200,2,2,-0.027294764351044,0.00628011413484602,Inf,-4.34622106620571,1.38502983632515e-05
Genetic variance,DV - R,GW,2X,Peri,200,2,2,-0.0208213602186066,0.00628011413484602,Inf,-3.31544296354052,0.000914980106286884
Genetic variance,DV - R,CV,20X,WT,200,2,2,-0.0310639031777809,0.00628011413484605,Inf,-4.94639150034211,7.56018348552674e-07
Genetic variance,DV - R,GW,20X,WT,200,2,2,-0.0183253452760528,0.00628011413484609,Inf,-2.9179955781969,0.00352289345592558
Genetic variance,DV - R,CV,2X,WT,200,2,2,-0.0270771137230896,0.00628011413484607,Inf,-4.31156395277095,1.62103873466299e-05
Genetic variance,DV - R,GW,2X,WT,200,2,2,-0.019135747769944,0.00628011413484613,Inf,-3.047038216036,0.00231108325159721
Genetic variance,DV - R,CV,20X,Chr,200,8,2,-0.0240984760528995,0.00628011413484606,Inf,-3.83726721130526,0.000124411075730657
Genetic variance,DV - R,CV,2X,Chr,200,8,2,-0.0201741546664839,0.00628011413484608,Inf,-3.21238662758449,0.0013163709221826
Genetic variance,DV - R,GW,2X,Chr,200,8,2,-0.0175573523988926,0.00628011413484606,Inf,-2.79570594130976,0.00517864958725802
Genetic variance,DV - R,CV,20X,Peri,200,8,2,-0.0140388433190417,0.00628011413484604,Inf,-2.23544397722732,0.0253882156942919
Genetic variance,DV - R,CV,2X,Peri,200,8,2,-0.0156506835247796,0.00628011413484603,Inf,-2.49210176578476,0.0126989646874119
Genetic variance,DV - R,CV,20X,WT,200,8,2,-0.0142327577416408,0.00628011413484602,Inf,-2.26632150881917,0.0234317054417532
Genetic variance,DV - R,CV,2X,WT,200,8,2,-0.0178144961175396,0.00628011413484597,Inf,-2.83665164916251,0.00455893223697882
Genetic variance,DV - R,GW,2X,WT,200,8,2,-0.0153871822580007,0.00628011413484652,Inf,-2.45014372790165,0.0142799201117987
Genetic variance,DV - R,GW,2X,Chr,2,2,3,-0.0219726743162454,0.00628011413484604,Inf,-3.49876990201931,0.000467409756331624
Genetic variance,DV - R,GW,20X,Peri,2,2,3,0.0174498098318127,0.00628011413484607,Inf,2.77858163994028,0.00545967917337769
Genetic variance,DV - R,GW,20X,WT,2,2,3,-0.0172949619732996,0.00628011413484606,Inf,-2.7539247857513,0.00588852991164973
Genetic variance,DV - R,GW,20X,Chr,200,2,3,-0.020470136425019,0.00628011413484606,Inf,-3.2595166242979,0.00111602239823501
Genetic variance,DV - R,CV,2X,Chr,200,2,3,-0.0343556024467624,0.00628011413484606,Inf,-5.47053790887903,4.486717211309e-08
Genetic variance,DV - R,CV,20X,Peri,200,2,3,-0.0136635327666263,0.00628011413484608,Inf,-2.17568223653966,0.0295790293546871
Genetic variance,DV - R,CV,2X,Peri,200,2,3,-0.0197640284286602,0.00628011413484607,Inf,-3.14708108870137,0.00164909221030854
Genetic variance,DV - R,CV,20X,WT,200,2,3,-0.0306194664717754,0.00628011413484608,Inf,-4.87562261040434,1.0846579971145e-06
Genetic variance,DV - R,GW,20X,WT,200,2,3,-0.0240967080714287,0.00628011413484611,Inf,-3.83698569070977,0.000124553726558278
Genetic variance,DV - R,CV,2X,WT,200,2,3,-0.0201480872311606,0.00628011413484604,Inf,-3.20823583752504,0.00133551934195714
Genetic variance,DV - R,GW,20X,Peri,2,8,3,0.0142563688769274,0.0062801141348461,Inf,2.27008117540793,0.0232026582674842
Genetic variance,DV - R,CV,20X,Chr,200,8,3,-0.0172109848880921,0.00628011413484606,Inf,-2.74055288145077,0.00613359109626082
Genetic variance,DV - R,CV,2X,Chr,200,8,3,-0.0221529312856246,0.00628011413484601,Inf,-3.52747271943774,0.000419546992335769
Genetic variance,DV - R,CV,2X,Peri,200,8,3,-0.0254307556390912,0.00628011413484604,Inf,-4.04940978667654,5.13469663168654e-05
Genetic variance,DV - R,CV,20X,WT,200,8,3,-0.0156980116537238,0.00628011413484607,Inf,-2.49963795508449,0.0124320284610223
Genetic variance,DV - R,CV,2X,WT,200,8,3,-0.0192565080002867,0.00628011413484601,Inf,-3.06626720260377,0.00216749520343355
Genetic variance,DV - R,GW,2X,WT,200,8,3,-0.0163367262250441,0.00628011413484619,Inf,-2.60134224860616,0.00928597616727192
Genetic variance,DV - R,CV,20X,Chr,200,2,4,-0.028717854568847,0.00628011413484609,Inf,-4.5728236704333,4.81195074657877e-06
Genetic variance,DV - R,GW,20X,Chr,200,2,4,-0.014611118440485,0.00628011413484605,Inf,-2.3265689327863,0.0199882196511952
Genetic variance,DV - R,CV,2X,Chr,200,2,4,-0.047638515074254,0.00628011413484605,Inf,-7.58561294450451,3.3091891337852e-14
Genetic variance,DV - R,GW,2X,Chr,200,2,4,-0.0246384338550697,0.00628011413484603,Inf,-3.92324619044105,8.73637958959448e-05
Genetic variance,DV - R,CV,20X,Peri,200,2,4,-0.0192377094201526,0.00628011413484608,Inf,-3.06327385252595,0.00218929609908641
Genetic variance,DV - R,GW,20X,Peri,200,2,4,0.0238294687893815,0.00628011413484608,Inf,3.79443243828331,0.000147981568492516
Genetic variance,DV - R,CV,2X,Peri,200,2,4,-0.0219693109821571,0.00628011413484608,Inf,-3.49823434899971,0.000468349404385213
Genetic variance,DV - R,GW,2X,Peri,200,2,4,-0.0253101521018019,0.0062801141348462,Inf,-4.03020575077841,5.57280511891992e-05
Genetic variance,DV - R,CV,20X,WT,200,2,4,-0.0257345043380731,0.00628011413484605,Inf,-4.0977765348693,4.17137686660631e-05
Genetic variance,DV - R,GW,20X,WT,200,2,4,-0.021829665589509,0.00628011413484611,Inf,-3.47599822563478,0.000508955653378203
Genetic variance,DV - R,CV,2X,WT,200,2,4,-0.0226410391675361,0.00628011413484603,Inf,-3.6051954918955,0.00031191803823881
Genetic variance,DV - R,GW,2X,WT,200,2,4,0.0156902566214367,0.00628011413484599,Inf,2.49840309977448,0.01247542441744
Genetic variance,DV - R,CV,20X,Chr,200,8,4,-0.0295979350938372,0.00628011413484605,Inf,-4.71296133450968,2.44142536217393e-06
Genetic variance,DV - R,CV,2X,Chr,200,8,4,-0.0328547234450602,0.00628011413484602,Inf,-5.23154878073976,1.68095662248386e-07
Genetic variance,DV - R,CV,20X,Peri,200,8,4,-0.0169413204904223,0.00628011413484615,Inf,-2.69761347113436,0.00698384787901307
Genetic variance,DV - R,GW,20X,Peri,200,8,4,0.0201839723836743,0.00628011413484621,Inf,3.21394992993524,0.00130922501223778
Genetic variance,DV - R,CV,2X,Peri,200,8,4,-0.0153732275806431,0.00628011413484609,Inf,-2.44792168590417,0.0143682882031192
Genetic variance,DV - R,CV,20X,WT,200,8,4,-0.0303379334851177,0.00628011413484602,Inf,-4.83079333173005,1.35990104342528e-06
Genetic variance,DV - R,GW,20X,WT,200,8,4,-0.0179253891134635,0.00628011413484607,Inf,-2.85430944861368,0.00431304970117071
Genetic variance,DV - R,CV,2X,WT,200,8,4,-0.0141323131145088,0.00628011413484592,Inf,-2.25032743212326,0.0244281678018431
Genetic variance,DV - R,GW,2X,Chr,2,2,5,-0.0146573135147022,0.00628011413484604,Inf,-2.33392470263784,0.0195996650058935
Genetic variance,DV - R,GW,20X,WT,2,2,5,-0.0163571330811087,0.00628011413484606,Inf,-2.60459168892313,0.00919838057165243
Genetic variance,DV - R,GW,2X,WT,2,2,5,-0.0259268666142854,0.0062801141348461,Inf,-4.12840691388498,3.6528526203543e-05
Genetic variance,DV - R,CV,20X,Chr,200,2,5,-0.019762023732306,0.00628011413484607,Inf,-3.14676187533818,0.0016508935145975
Genetic variance,DV - R,CV,2X,Chr,200,2,5,-0.020577504862874,0.00628011413484605,Inf,-3.27661319858774,0.00105060188985951
Genetic variance,DV - R,GW,2X,Chr,200,2,5,-0.0196543954563658,0.0062801141348461,Inf,-3.12962392630901,0.0017503022619146
Genetic variance,DV - R,CV,20X,Peri,200,2,5,-0.0172225855398915,0.00628011413484607,Inf,-2.74240008542674,0.00609920021912882
Genetic variance,DV - R,CV,2X,Peri,200,2,5,-0.0311774185188865,0.00628011413484608,Inf,-4.96446686309318,6.88900466488952e-07
Genetic variance,DV - R,CV,20X,WT,200,2,5,-0.0374372297520531,0.00628011413484604,Inf,-5.96123397572152,2.50340209190001e-09
Genetic variance,DV - R,GW,20X,WT,200,2,5,-0.0162994211391143,0.00628011413484608,Inf,-2.59540205625797,0.00944803265690856
Genetic variance,DV - R,CV,2X,WT,200,2,5,-0.034039326841132,0.00628011413484604,Inf,-5.4201764665805,5.9540233617548e-08
Genetic variance,DV - R,CV,20X,Chr,200,8,5,-0.0213730204755821,0.00628011413484605,Inf,-3.40328535702737,0.000665807038237245
Genetic variance,DV - R,CV,2X,Chr,200,8,5,-0.0195403360132857,0.00628011413484605,Inf,-3.11146192469076,0.00186163479626427
