response,contrast,Map_type,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic variance,20X - 2X,Chr,200,2,2,CV,DV,0.0295929472416888,0.00628011413484607,Inf,4.7121671049716,2.45096262216402e-06
Genetic variance,20X - 2X,Chr,200,8,2,CV,DV,0.0164829766953224,0.00628011413484609,Inf,2.62463011681018,0.00867431421875038
Genetic variance,20X - 2X,Chr,200,2,3,CV,DV,0.0458218617518121,0.0062801141348461,Inf,7.29634219505072,2.95696287719578e-13
Genetic variance,20X - 2X,Peri,200,2,3,CV,DV,0.0355264728794535,0.00628011413484607,Inf,5.65697885685389,1.54060733379246e-08
Genetic variance,20X - 2X,Chr,200,8,3,CV,DV,0.0205998276832996,0.00628011413484606,Inf,3.28016772322635,0.00103745390651585
Genetic variance,20X - 2X,Peri,200,8,3,CV,DV,0.0288252189301559,0.00628011413484614,Inf,4.58991959560335,4.4341678301888e-06
Genetic variance,20X - 2X,Chr,200,2,4,CV,DV,0.044241961840205,0.00628011413484609,Inf,7.04477034815694,1.85767635580214e-12
Genetic variance,20X - 2X,Peri,200,2,4,CV,DV,0.0392023885782229,0.00628011413484606,Inf,6.24230511364486,4.31168830831822e-10
Genetic variance,20X - 2X,Chr,200,8,4,CV,DV,0.0372029248224632,0.00628011413484606,Inf,5.92392495162433,3.1434695766215e-09
Genetic variance,20X - 2X,Peri,200,8,4,CV,DV,0.0220981510088151,0.00628011413484606,Inf,3.51874990395486,0.00043358523903068
Genetic variance,20X - 2X,Peri,200,2,5,CV,DV,0.0154123661374741,0.00628011413484604,Inf,2.4541538269116,0.0141216558144152
Genetic variance,20X - 2X,Chr,200,8,5,CV,DV,0.0176012902896153,0.00628011413484602,Inf,2.80270229357016,0.00506764240217989
Genetic variance,20X - 2X,Peri,200,8,5,CV,DV,0.0132065305697302,0.00628011413484604,Inf,2.10291250862019,0.0354734181962298
Genetic variance,20X - 2X,Peri,200,2,1,GW,DV,0.0164885980685369,0.00628011413484604,Inf,2.62552522366555,0.00865153985379718
Genetic variance,20X - 2X,Chr,200,8,1,GW,DV,0.014585286427038,0.00628011413484607,Inf,2.32245562960545,0.0202084149241943
Genetic variance,20X - 2X,Peri,200,8,1,GW,DV,0.0162768666234134,0.00628011413484605,Inf,2.59181063813778,0.00954723059274909
