response,contrast,Recombination,Map_type,QTL,H2,Repulsion,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,CV - GW,2X,Chr,200,2,1,DV,-0.0546906846605616,0.0203763376163252,Inf,-2.68402917591748,0.00727407580688193
Prediction accuracy,CV - GW,2X,WT,200,2,1,DV,-0.0664383600304605,0.0203763376163226,Inf,-3.2605643507418,0.00111190733211691
Prediction accuracy,CV - GW,20X,Chr,200,8,1,DV,0.21600101114308,0.0203763376163207,Inf,10.6005806936606,2.96135689201765e-26
Prediction accuracy,CV - GW,2X,Chr,200,8,1,DV,0.187300925430377,0.0203763376163222,Inf,9.19207999774902,3.85317352629199e-20
Prediction accuracy,CV - GW,20X,Peri,200,8,1,DV,0.183578858648535,0.0203763376163219,Inf,9.00941386549681,2.0716069743088e-19
Prediction accuracy,CV - GW,2X,Peri,200,8,1,DV,0.103043168735041,0.0203763376163225,Inf,5.05700144330639,4.25900016431823e-07
Prediction accuracy,CV - GW,20X,WT,200,8,1,DV,0.110818924593117,0.0203763376163219,Inf,5.43860858019691,5.36982805788395e-08
Prediction accuracy,CV - GW,2X,WT,200,8,1,DV,0.142812613699828,0.0203763376163225,Inf,7.00874791088209,2.40460252588295e-12
Prediction accuracy,CV - GW,20X,Chr,200,2,2,DV,0.127136189079771,0.0203763376163243,Inf,6.23940334488358,4.39243060855686e-10
Prediction accuracy,CV - GW,2X,Chr,200,2,2,DV,0.0848084859769363,0.0203763376163227,Inf,4.16210643805781,3.15325301661132e-05
Prediction accuracy,CV - GW,20X,Peri,200,2,2,DV,0.0738021567528952,0.0203763376163224,Inf,3.62195396162734,0.000292386165036083
Prediction accuracy,CV - GW,20X,Chr,200,8,2,DV,0.27475002309663,0.0203763376163236,Inf,13.4837785018112,1.9486605183049e-41
Prediction accuracy,CV - GW,2X,Chr,200,8,2,DV,0.20591520051828,0.0203763376163228,Inf,10.1056040783957,5.21730321060839e-24
Prediction accuracy,CV - GW,20X,Peri,200,8,2,DV,0.236645244493,0.0203763376163227,Inf,11.6137280873984,3.50972331351374e-31
Prediction accuracy,CV - GW,2X,Peri,200,8,2,DV,0.195630370593193,0.0203763376163227,Inf,9.60086028592699,7.92799149558367e-22
Prediction accuracy,CV - GW,20X,WT,200,8,2,DV,0.150411037467518,0.0203763376163228,Inf,7.38165220363393,1.5633715310384e-13
Prediction accuracy,CV - GW,2X,WT,200,8,2,DV,0.169162718121284,0.0203763376163228,Inf,8.30191967303163,1.02442463999405e-16
Prediction accuracy,CV - GW,20X,Chr,200,2,3,DV,0.122203597304502,0.0203763376163221,Inf,5.99732884316821,2.00589602957617e-09
Prediction accuracy,CV - GW,20X,Peri,200,2,3,DV,0.16393253976766,0.0203763376163229,Inf,8.04524065386207,8.60761051383444e-16
Prediction accuracy,CV - GW,2X,Peri,200,2,3,DV,0.0435365793203385,0.0203763376163227,Inf,2.13662436008437,0.0326285566497678
Prediction accuracy,CV - GW,20X,Chr,200,8,3,DV,0.238461599981011,0.0203763376163225,Inf,11.7028685169601,1.23216642914888e-31
Prediction accuracy,CV - GW,2X,Chr,200,8,3,DV,0.178651094485269,0.0203763376163224,Inf,8.76757628623907,1.82553341936643e-18
Prediction accuracy,CV - GW,20X,Peri,200,8,3,DV,0.216847284209784,0.0203763376163227,Inf,10.6421128415185,1.89776410745786e-26
Prediction accuracy,CV - GW,2X,Peri,200,8,3,DV,0.17657042017563,0.0203763376163226,Inf,8.66546400537588,4.49677761879428e-18
Prediction accuracy,CV - GW,20X,WT,200,8,3,DV,0.166960749938027,0.0203763376163226,Inf,8.19385470940967,2.52990425482311e-16
Prediction accuracy,CV - GW,2X,WT,200,8,3,DV,0.17409774823365,0.0203763376163227,Inf,8.54411383987804,1.29526312711941e-17
Prediction accuracy,CV - GW,20X,Chr,200,2,4,DV,0.121875156351823,0.0203763376163224,Inf,5.9812101000032,2.21485968060644e-09
Prediction accuracy,CV - GW,2X,Chr,200,2,4,DV,0.0463499823798016,0.0203763376163223,Inf,2.27469642742243,0.0229241469590005
Prediction accuracy,CV - GW,20X,Peri,200,2,4,DV,0.102843794306186,0.0203763376163224,Inf,5.04721683762263,4.48292468691299e-07
Prediction accuracy,CV - GW,2X,Peri,200,2,4,DV,0.0923123860184727,0.0203763376163227,Inf,4.53037183406919,5.88799654565263e-06
Prediction accuracy,CV - GW,20X,Chr,200,8,4,DV,0.242740483167745,0.0203763376163224,Inf,11.9128612677333,1.01435693088112e-32
Prediction accuracy,CV - GW,2X,Chr,200,8,4,DV,0.194644388502247,0.0203763376163228,Inf,9.55247170356681,1.2663820699906e-21
Prediction accuracy,CV - GW,20X,Peri,200,8,4,DV,0.180109153280838,0.0203763376163227,Inf,8.83913275644588,9.64644423738192e-19
Prediction accuracy,CV - GW,2X,Peri,200,8,4,DV,0.171875500425791,0.0203763376163228,Inf,8.4350536225954,3.31050986737005e-17
Prediction accuracy,CV - GW,20X,WT,200,8,4,DV,0.15082115688311,0.0203763376163227,Inf,7.40177944255754,1.34371552676433e-13
Prediction accuracy,CV - GW,2X,WT,200,8,4,DV,0.165658342558623,0.0203763376163228,Inf,8.12993707102299,4.29513350853094e-16
Prediction accuracy,CV - GW,20X,Chr,200,2,5,DV,0.0701970296344383,0.0203763376163252,Inf,3.44502682259238,0.000571002727072021
Prediction accuracy,CV - GW,2X,Chr,200,2,5,DV,0.0433322717581054,0.0203763376163227,Inf,2.1265976533189,0.0334535276533531
