response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,estimate,SE,df,z.ratio,p.value
Prediction accuracy,DV - R,GW,20X,WT,2,2,1,0.0725154402566685,0.0337303189361111,Inf,2.14985931185592,0.0315663449092763
Prediction accuracy,DV - R,GW,20X,Chr,200,2,1,-0.0399640176292605,0.0203763376163255,Inf,-1.96129541931232,0.0498445713382797
Prediction accuracy,DV - R,CV,2X,Peri,200,2,1,-0.0515479428719968,0.0203763376163228,Inf,-2.52979430566087,0.0114129413029999
Prediction accuracy,DV - R,CV,20X,WT,200,2,1,-0.0687436394218908,0.0203763376163223,Inf,-3.3736994702534,0.00074165290439647
Prediction accuracy,DV - R,GW,20X,WT,200,2,1,-0.0501651296370475,0.0203763376163223,Inf,-2.46193062667273,0.0138191393362678
Prediction accuracy,DV - R,GW,20X,Chr,2,8,1,-0.318843965556,0.131528693741405,Inf,-2.42413998410772,0.0153446893721332
Prediction accuracy,DV - R,GW,2X,Chr,2,8,1,0.202234304620043,0.101881688081621,Inf,1.98499169407192,0.0471453956064909
Prediction accuracy,DV - R,GW,20X,Chr,200,8,1,-0.061332694606545,0.0203763376163234,Inf,-3.00999599444268,0.00261251135076653
Prediction accuracy,DV - R,GW,2X,Chr,200,8,1,-0.11260434676407,0.020376337616323,Inf,-5.52623090981108,3.27183453859099e-08
Prediction accuracy,DV - R,GW,20X,Peri,200,8,1,-0.0764435653840721,0.0203763376163222,Inf,-3.75158513877577,0.000175720060448428
Prediction accuracy,DV - R,CV,2X,Peri,200,8,1,-0.0560650016157242,0.0203763376163244,Inf,-2.75147588695271,0.00593273873765634
Prediction accuracy,DV - R,GW,2X,Peri,200,8,1,-0.0770795417946223,0.0203763376163246,Inf,-3.78279665590491,0.00015507609946215
Prediction accuracy,DV - R,CV,20X,WT,200,8,1,-0.0616050130358258,0.0203763376163219,Inf,-3.02336043875121,0.00249984303459095
Prediction accuracy,DV - R,GW,20X,WT,200,8,1,-0.0958478852638706,0.0203763376163219,Inf,-4.70388187851258,2.55260966202738e-06
Prediction accuracy,DV - R,CV,2X,WT,200,8,1,-0.0417746575061819,0.0203763376163225,Inf,-2.05015534649947,0.0403492738864605
