response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,2 - 8,20X,Chr,200,1,CV,DV,-0.467155108627101,0.0304226666147092,Inf,-15.3554951163036,3.25415635429314e-53
Prediction accuracy,2 - 8,2X,Chr,200,1,CV,DV,-0.478342795845272,0.0304226666147056,Inf,-15.7232369503747,1.04828355644188e-55
Prediction accuracy,2 - 8,20X,Peri,200,1,CV,DV,-0.487518497089741,0.0304226666147093,Inf,-16.0248443459597,8.57052208137793e-58
Prediction accuracy,2 - 8,2X,Peri,200,1,CV,DV,-0.481881137724229,0.030422666614705,Inf,-15.8395430560748,1.660228706927e-56
Prediction accuracy,2 - 8,20X,WT,200,1,CV,DV,-0.479877932139224,0.0304226666147045,Inf,-15.7736972309745,4.72037541551454e-56
Prediction accuracy,2 - 8,2X,WT,200,1,CV,DV,-0.497675417625364,0.0304226666147064,Inf,-16.3587046437536,3.77063238616249e-60
Prediction accuracy,2 - 8,20X,Chr,2,2,CV,DV,0.387474545312538,0.117387891703196,Inf,3.30080504633502,0.000964078470291422
Prediction accuracy,2 - 8,2X,Chr,2,2,CV,DV,0.747719894943824,0.130954610909289,Inf,5.70976378572699,1.13133082835702e-08
Prediction accuracy,2 - 8,20X,Peri,2,2,CV,DV,0.397175418734417,0.157687070964028,Inf,2.51875703129156,0.0117769892173622
Prediction accuracy,2 - 8,20X,WT,2,2,CV,DV,-0.836881723261348,0.220770480769058,Inf,-3.79073198711193,0.00015020396560302
Prediction accuracy,2 - 8,2X,WT,2,2,CV,DV,-0.358474745568182,0.0996091456403505,Inf,-3.59881357543708,0.000319672236087093
Prediction accuracy,2 - 8,20X,Chr,200,2,CV,DV,-0.473737334898689,0.0304226666147073,Inf,-15.571854397197,1.13080704575463e-54
Prediction accuracy,2 - 8,2X,Chr,200,2,CV,DV,-0.422410531235094,0.0304226666147074,Inf,-13.8847306380067,7.83945308495361e-44
Prediction accuracy,2 - 8,20X,Peri,200,2,CV,DV,-0.44005643037277,0.0304226666147063,Inf,-14.4647553728918,2.02323021245592e-47
Prediction accuracy,2 - 8,2X,Peri,200,2,CV,DV,-0.444163364890612,0.0304226666147,Inf,-14.5997512484982,2.81871943833535e-48
Prediction accuracy,2 - 8,20X,WT,200,2,CV,DV,-0.445896328940871,0.0304226666147079,Inf,-14.6567141726262,1.22037391606079e-48
Prediction accuracy,2 - 8,2X,WT,200,2,CV,DV,-0.464618898661593,0.0304226666147081,Inf,-15.2721293154811,1.17280059576534e-52
Prediction accuracy,2 - 8,2X,Chr,2,3,CV,DV,-0.329180059669323,0.0658619762974715,Inf,-4.99802888061774,5.79193120197759e-07
Prediction accuracy,2 - 8,20X,Peri,2,3,CV,DV,0.433686306352892,0.0820494956643041,Inf,5.28566693605611,1.25247594852439e-07
Prediction accuracy,2 - 8,2X,Peri,2,3,CV,DV,-0.429088325644186,0.0693041462413557,Inf,-6.19138029851578,5.96396207444854e-10
Prediction accuracy,2 - 8,20X,WT,2,3,CV,DV,-0.478725392027496,0.0551503148753211,Inf,-8.68037459277895,3.94467457793618e-18
Prediction accuracy,2 - 8,20X,Chr,200,3,CV,DV,-0.403350752050459,0.0304226666147065,Inf,-13.2582313430565,4.04319176404487e-40
Prediction accuracy,2 - 8,2X,Chr,200,3,CV,DV,-0.399659892233961,0.0304226666147068,Inf,-13.1369119379154,2.02316038794827e-39
Prediction accuracy,2 - 8,20X,Peri,200,3,CV,DV,-0.385100897241888,0.030422666614707,Inf,-12.6583544473291,1.0058566184427e-36
Prediction accuracy,2 - 8,2X,Peri,200,3,CV,DV,-0.379995265623373,0.0304226666147057,Inf,-12.4905311699301,8.40903385949412e-36
Prediction accuracy,2 - 8,20X,WT,200,3,CV,DV,-0.357776678516514,0.0304226666147067,Inf,-11.7602011371206,6.25850234293552e-32
Prediction accuracy,2 - 8,2X,WT,200,3,CV,DV,-0.372628917416156,0.0304226666147039,Inf,-12.248397621925,1.71348016960693e-34
Prediction accuracy,2 - 8,2X,Peri,2,4,CV,DV,-0.477779626775195,0.159582061877911,Inf,-2.99394318605009,0.00275397220775809
Prediction accuracy,2 - 8,2X,WT,2,4,CV,DV,-0.802567247556324,0.161976603641127,Inf,-4.95483439901283,7.23919170232377e-07
Prediction accuracy,2 - 8,20X,Chr,200,4,CV,DV,-0.440120276056477,0.0304226666147074,Inf,-14.4668539950968,1.96244936721011e-47
Prediction accuracy,2 - 8,2X,Chr,200,4,CV,DV,-0.465406162033323,0.0304226666147058,Inf,-15.2980068423178,7.88341425774926e-53
Prediction accuracy,2 - 8,20X,Peri,200,4,CV,DV,-0.404399604592463,0.0304226666147064,Inf,-13.2927073656645,2.55175340850523e-40
Prediction accuracy,2 - 8,2X,Peri,200,4,CV,DV,-0.488896190476698,0.0304226666146988,Inf,-16.0701294422523,4.13222589160125e-58
Prediction accuracy,2 - 8,20X,WT,200,4,CV,DV,-0.424009018516678,0.0304226666147062,Inf,-13.937273280039,3.7603396266507e-44
Prediction accuracy,2 - 8,2X,WT,200,4,CV,DV,-0.462960655917274,0.0304226666147026,Inf,-15.2176224977444,2.70172248806973e-52
Prediction accuracy,2 - 8,20X,Chr,2,5,CV,DV,-0.460114177963632,0.0477186265781514,Inf,-9.64223430047966,5.30211494601614e-22
Prediction accuracy,2 - 8,2X,Chr,2,5,CV,DV,-0.464902545621091,0.0467690688213681,Inf,-9.94038490261076,2.77751834722399e-23
Prediction accuracy,2 - 8,20X,Peri,2,5,CV,DV,-0.120680996511261,0.0513919159522634,Inf,-2.34824863551222,0.0188619256391335
Prediction accuracy,2 - 8,2X,Peri,2,5,CV,DV,-0.202369818124463,0.0520914721451205,Inf,-3.88489343439336,0.000102374783057562
Prediction accuracy,2 - 8,20X,WT,2,5,CV,DV,-0.366161334885276,0.0527853616651388,Inf,-6.93679693260681,4.01089710579947e-12
Prediction accuracy,2 - 8,2X,WT,2,5,CV,DV,-0.294370065230519,0.0466291158449882,Inf,-6.31300979862259,2.73660163339717e-10
Prediction accuracy,2 - 8,20X,Chr,200,5,CV,DV,-0.378193359388922,0.0304226666147208,Inf,-12.4313021004517,1.76731924369855e-35
Prediction accuracy,2 - 8,2X,Chr,200,5,CV,DV,-0.380687179819448,0.0304226666147094,Inf,-12.5132745475831,6.31655814643252e-36
Prediction accuracy,2 - 8,20X,Peri,200,5,CV,DV,-0.414137068211281,0.0304226666147089,Inf,-13.6127800187986,3.36207412768238e-42
Prediction accuracy,2 - 8,2X,Peri,200,5,CV,DV,-0.402919540971653,0.0304226666147036,Inf,-13.244057336411,4.88375319925764e-40
Prediction accuracy,2 - 8,20X,WT,200,5,CV,DV,-0.356100776538862,0.0304226666147035,Inf,-11.7051138563493,1.1999805786002e-31
Prediction accuracy,2 - 8,2X,WT,200,5,CV,DV,-0.38777049130614,0.030422666614705,Inf,-12.746104613943,3.27715834739341e-37
Prediction accuracy,2 - 8,20X,Chr,200,1,GW,DV,-0.307619266068002,0.0304226666147144,Inf,-10.1115155342503,4.91184906775252e-24
Prediction accuracy,2 - 8,2X,Chr,200,1,GW,DV,-0.346934883120281,0.0304226666147057,Inf,-11.4038288462386,4.00125911467539e-30
Prediction accuracy,2 - 8,20X,Peri,200,1,GW,DV,-0.314877941223735,0.0304226666147112,Inf,-10.3501098444629,4.18005945844486e-25
Prediction accuracy,2 - 8,2X,Peri,200,1,GW,DV,-0.370205598277354,0.0304226666147053,Inf,-12.1687425683588,4.56053794179134e-34
Prediction accuracy,2 - 8,20X,WT,200,1,GW,DV,-0.355483572338954,0.0304226666147019,Inf,-11.6848262133328,1.52390938335815e-31
Prediction accuracy,2 - 8,2X,WT,200,1,GW,DV,-0.389559849008737,0.0304226666147048,Inf,-12.8049212103071,1.53881925122115e-37
Prediction accuracy,2 - 8,20X,Chr,200,2,GW,DV,-0.314621835407271,0.0304226666147073,Inf,-10.3416915877839,4.56408958590659e-25
Prediction accuracy,2 - 8,2X,Chr,200,2,GW,DV,-0.334712014305978,0.0304226666147059,Inf,-11.0020603566744,3.73499070839804e-28
Prediction accuracy,2 - 8,20X,Peri,200,2,GW,DV,-0.32903787163302,0.0304226666147064,Inf,-10.8155499910702,2.90544662681575e-27
Prediction accuracy,2 - 8,2X,Peri,200,2,GW,DV,-0.332948382303028,0.0304226666146991,Inf,-10.9440893699358,7.09268538160515e-28
Prediction accuracy,2 - 8,20X,WT,200,2,GW,DV,-0.342581555764859,0.0304226666147094,Inf,-11.2607339817878,2.05043754088351e-29
Prediction accuracy,2 - 8,2X,WT,200,2,GW,DV,-0.310233416085767,0.03042266661471,Inf,-10.1974432423936,2.03560673173662e-24
Prediction accuracy,2 - 8,20X,Chr,2,3,GW,DV,-0.107762191566542,0.0308205844997367,Inf,-3.49643568789106,0.000471518137577984
Prediction accuracy,2 - 8,20X,Peri,2,3,GW,DV,-0.124786012733865,0.0307381102661035,Inf,-4.05965141167031,4.91460307900239e-05
Prediction accuracy,2 - 8,2X,Peri,2,3,GW,DV,-0.0714549574251806,0.0307381094954933,Inf,-2.32463735076671,0.0200913598268369
Prediction accuracy,2 - 8,20X,WT,2,3,GW,DV,-0.0754928977092192,0.0311662072418125,Inf,-2.42226771847741,0.0154239828159867
Prediction accuracy,2 - 8,20X,Chr,200,3,GW,DV,-0.308216614737291,0.0304226666147064,Inf,-10.1311505214437,4.01892480695896e-24
Prediction accuracy,2 - 8,2X,Chr,200,3,GW,DV,-0.34827942831835,0.0304226666147066,Inf,-11.4480243539857,2.40565824087888e-30
Prediction accuracy,2 - 8,20X,Peri,200,3,GW,DV,-0.315483823315423,0.0304226666147066,Inf,-10.3700253271985,3.39434784452511e-25
Prediction accuracy,2 - 8,2X,Peri,200,3,GW,DV,-0.32777906900913,0.0304226666147064,Inf,-10.7741728613191,4.55860847638173e-27
Prediction accuracy,2 - 8,20X,WT,200,3,GW,DV,-0.298004327848552,0.0304226666147067,Inf,-9.79547031897897,1.17748147509884e-22
Prediction accuracy,2 - 8,2X,WT,200,3,GW,DV,-0.283514378531304,0.0304226666147047,Inf,-9.31918237549457,1.1724025322226e-20
Prediction accuracy,2 - 8,20X,Chr,200,4,GW,DV,-0.324815306984401,0.030422666614706,Inf,-10.676753326659,1.30765251802214e-26
Prediction accuracy,2 - 8,2X,Chr,200,4,GW,DV,-0.352338107595958,0.0304226666146953,Inf,-11.5814340688257,5.11825883423631e-31
Prediction accuracy,2 - 8,20X,Peri,200,4,GW,DV,-0.356403302425067,0.0304226666147117,Inf,-11.715057951321,1.06718242945498e-31
Prediction accuracy,2 - 8,2X,Peri,200,4,GW,DV,-0.363873309437757,0.0304226666146977,Inf,-11.9605987879433,5.71483309328117e-33
Prediction accuracy,2 - 8,20X,WT,200,4,GW,DV,-0.355622194171965,0.0304226666147051,Inf,-11.6893827446432,1.44432483741455e-31
Prediction accuracy,2 - 8,2X,WT,200,4,GW,DV,-0.362856284003204,0.0304226666146922,Inf,-11.9271689296285,8.54296739268238e-33
Prediction accuracy,2 - 8,20X,Chr,2,5,GW,DV,-0.123835779988743,0.0304994371457102,Inf,-4.060264436918,4.90171689120376e-05
Prediction accuracy,2 - 8,2X,Chr,2,5,GW,DV,-0.100693573267502,0.0308205847131809,Inf,-3.26708835035302,0.00108659763907902
Prediction accuracy,2 - 8,20X,Peri,2,5,GW,DV,-0.109539172671289,0.0304994372519615,Inf,-3.59151455046088,0.000328761817450906
Prediction accuracy,2 - 8,2X,Peri,2,5,GW,DV,-0.100066840500823,0.0306571205728694,Inf,-3.26406520348096,0.00109825887372923
Prediction accuracy,2 - 8,20X,WT,2,5,GW,DV,-0.11015091749505,0.0306571205499851,Inf,-3.59299619530325,0.00032689736291952
