response,contrast,Recombination,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,Chr - WT,20X,2,2,2,CV,DV,0.21998109295323,0.0681274573302658,Inf,3.22896379189397,0.00355763352462946
Prediction accuracy,Peri - WT,20X,2,2,2,CV,DV,0.218230560244382,0.0644289537769123,Inf,3.38715045723098,0.00204039375057463
Prediction accuracy,Chr - Peri,2X,2,2,2,CV,DV,0.143838159515645,0.05971812184781,Inf,2.40861827306312,0.0423322249214935
Prediction accuracy,Chr - WT,20X,2,8,2,CV,DV,-1.00437517562066,0.240579025904017,Inf,-4.17482435073691,8.84154991311892e-05
Prediction accuracy,Peri - WT,20X,2,8,2,CV,DV,-1.01582658175138,0.263541034650979,Inf,-3.85452907968088,0.000341202917897854
Prediction accuracy,Chr - Peri,2X,2,8,2,CV,DV,-0.663202428490249,0.175694164601224,Inf,-3.77475501247027,0.000470161491621823
Prediction accuracy,Chr - WT,2X,2,8,2,CV,DV,-0.985871518539229,0.152155499146685,Inf,-6.47936830458427,2.76309308766542e-10
Prediction accuracy,Chr - Peri,2X,2,2,3,CV,DV,0.150606745906113,0.0468594315291743,Inf,3.21401137383296,0.00374472140954207
Prediction accuracy,Peri - WT,2X,2,2,3,CV,DV,-0.138348885252553,0.0446853757952914,Inf,-3.09606628097622,0.00556629903734052
Prediction accuracy,Chr - Peri,20X,2,8,3,CV,DV,0.439614181574387,0.0999828150205206,Inf,4.39689742166351,3.2672544913237e-05
Prediction accuracy,Chr - WT,20X,2,8,3,CV,DV,-0.403648947720938,0.0788814082003833,Inf,-5.11716204020526,9.28345670225816e-07
Prediction accuracy,Peri - WT,20X,2,8,3,CV,DV,-0.843263129295324,0.0883184237834804,Inf,-9.54798662805227,2.38697950294409e-14
Prediction accuracy,Chr - WT,2X,2,8,3,CV,DV,0.455416529027112,0.0942009198893497,Inf,4.83452316136672,3.98842620541462e-06
Prediction accuracy,Peri - WT,2X,2,8,3,CV,DV,0.404718049095862,0.0982105170504624,Inf,4.12092371826034,0.000111762020077788
Prediction accuracy,Chr - Peri,20X,2,2,4,CV,DV,0.36472498569618,0.0677119087233954,Inf,5.38642304688367,2.15322262686612e-07
Prediction accuracy,Chr - WT,20X,2,2,4,CV,DV,-0.320297296154876,0.0700474831793412,Inf,-4.57257394009183,1.43646836492373e-05
Prediction accuracy,Peri - WT,20X,2,2,4,CV,DV,-0.685022281851056,0.0739294556423032,Inf,-9.26589105654227,3.19744231092045e-14
Prediction accuracy,Chr - Peri,2X,2,2,4,CV,DV,0.266831292435621,0.0734934345682854,Inf,3.6306820330692,0.000825600200723753
Prediction accuracy,Chr - WT,2X,2,2,4,CV,DV,0.589201571463726,0.0785698547754454,Inf,7.49907929889496,2.12163620005867e-13
Prediction accuracy,Peri - WT,2X,2,2,4,CV,DV,0.322370279028105,0.0734934244401769,Inf,4.38638261155612,3.42868451347345e-05
