response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,2 - 200,Chr,20X,2,2,CV,DV,0.107309525697743,0.0516468618505021,Inf,2.07775500490937,0.0377319299987845
Prediction accuracy,2 - 200,WT,20X,2,2,CV,DV,-0.156049563362957,0.0538469393571041,Inf,-2.89802104309145,0.00375525392915439
Prediction accuracy,2 - 200,Chr,20X,8,2,CV,DV,-0.753902354513484,0.109718529523593,Inf,-6.87124005204032,6.36461860106386e-12
Prediction accuracy,2 - 200,Peri,20X,8,2,CV,DV,-0.758084471040671,0.153667714475975,Inf,-4.93327094520686,8.08638591747691e-07
Prediction accuracy,2 - 200,Chr,2X,8,2,CV,DV,-1.08472409870561,0.126082162255431,Inf,-8.603311359049,7.74484993525242e-18
Prediction accuracy,2 - 200,Peri,2X,8,2,CV,DV,-0.436554064751145,0.126082317007093,Inf,-3.4624527460626,0.00053527589892316
Prediction accuracy,2 - 200,Peri,20X,2,3,CV,DV,0.085464455980343,0.0375161795150563,Inf,2.27806927797761,0.0227224503341213
Prediction accuracy,2 - 200,Chr,2X,2,3,CV,DV,0.120816600935276,0.0413996910813358,Inf,2.91829716066996,0.00351948771307524
Prediction accuracy,2 - 200,WT,2X,2,3,CV,DV,0.0827730652943725,0.0389210026859537,Inf,2.1266940618733,0.0334455112305873
Prediction accuracy,2 - 200,Chr,20X,8,3,CV,DV,-0.273212072923687,0.0683508428162717,Inf,-3.99720122922385,6.40958118531513e-05
Prediction accuracy,2 - 200,Peri,20X,8,3,CV,DV,-0.733322747614437,0.0790590681028901,Inf,-9.27563105929943,1.76570676886553e-20
Prediction accuracy,2 - 200,WT,20X,8,3,CV,DV,0.108274248758675,0.0497560916752009,Inf,2.17610035501724,0.029547757388708
Prediction accuracy,2 - 200,WT,2X,8,3,CV,DV,-0.403834460826012,0.0790590826186402,Inf,-5.10800843432501,3.25572121950834e-07
Prediction accuracy,2 - 200,Peri,20X,2,4,CV,DV,-0.455221198200618,0.0550897315326648,Inf,-8.263267682303,1.41737907630746e-16
Prediction accuracy,2 - 200,WT,20X,2,4,CV,DV,0.257756535414246,0.0579346574852291,Inf,4.44909052029803,8.62346688736154e-06
Prediction accuracy,2 - 200,Chr,2X,2,4,CV,DV,0.43764455436872,0.0595764410427898,Inf,7.34593316936117,2.04328456827389e-13
Prediction accuracy,2 - 200,Peri,2X,2,4,CV,DV,0.182413641724566,0.0527033379608285,Inf,3.4611402006481,0.000537892603208902
Prediction accuracy,2 - 200,WT,2X,2,4,CV,DV,-0.163838807261563,0.0595764350709417,Inf,-2.75006060813254,0.00595842427428249
Prediction accuracy,2 - 200,Peri,20X,2,5,CV,DV,0.18332711844291,0.0342762365191701,Inf,5.34851947180311,8.86766369781979e-08
Prediction accuracy,2 - 200,Peri,2X,2,5,CV,DV,0.097946153247792,0.0353171702142583,Inf,2.77332959162875,0.00554858920682747
Prediction accuracy,2 - 200,Chr,20X,8,5,CV,DV,0.140712008910632,0.0453778997748651,Inf,3.10089293706301,0.00192938036687676
Prediction accuracy,2 - 200,Peri,20X,8,5,CV,DV,-0.11012895325711,0.0489059072619246,Inf,-2.25185380300367,0.0243315123336646
Prediction accuracy,2 - 200,Peri,2X,8,5,CV,DV,-0.102603569599397,0.0489059069337417,Inf,-2.09797907926349,0.0359069934928744
Prediction accuracy,2 - 200,Peri,20X,2,1,GW,DV,-0.0848350568242307,0.0315392846636654,Inf,-2.68982184373904,0.00714901735744878
Prediction accuracy,2 - 200,WT,20X,2,1,GW,DV,-0.123541343427376,0.0321581988349124,Inf,-3.84167484197697,0.00012219764550648
Prediction accuracy,2 - 200,Chr,2X,2,1,GW,DV,-0.109015311056039,0.032616639658999,Inf,-3.34232196191189,0.000830806331548494
Prediction accuracy,2 - 200,Peri,2X,2,1,GW,DV,-0.0899232199456674,0.0316372411821343,Inf,-2.84232178867883,0.00447862620810364
Prediction accuracy,2 - 200,WT,2X,2,1,GW,DV,-0.146317722742722,0.0323824251611016,Inf,-4.51843004391412,6.22998500435138e-06
Prediction accuracy,2 - 200,Chr,20X,8,1,GW,DV,-0.364135882538886,0.0748815174234625,Inf,-4.86282723785712,1.15720843545701e-06
Prediction accuracy,2 - 200,Peri,20X,8,1,GW,DV,-0.414566196228453,0.074881531220118,Inf,-5.53629432349366,3.0893824444753e-08
Prediction accuracy,2 - 200,WT,20X,8,1,GW,DV,-0.56936639309967,0.0841258655773316,Inf,-6.76803013190144,1.30547572655737e-11
Prediction accuracy,2 - 200,Chr,2X,8,1,GW,DV,-0.535267004902142,0.0841258966280948,Inf,-6.3626900438097,1.98250508048408e-10
Prediction accuracy,2 - 200,Peri,2X,8,1,GW,DV,-0.554909549444406,0.0790590894724181,Inf,-7.01892158317863,2.2358721716586e-12
Prediction accuracy,2 - 200,WT,2X,8,1,GW,DV,-0.437725264888241,0.0904412269986704,Inf,-4.83988640373793,1.29913365345769e-06
Prediction accuracy,2 - 200,WT,20X,2,2,GW,DV,-0.0739111124006436,0.0304994373090209,Inf,-2.42335986896331,0.0153776847816952
Prediction accuracy,2 - 200,Chr,20X,8,2,GW,DV,-0.235524294995128,0.032049625514367,Inf,-7.34873781565869,2.00087219103185e-13
Prediction accuracy,2 - 200,Peri,20X,8,2,GW,DV,-0.274638763279106,0.031539284189219,Inf,-8.70783121238323,3.09744080537619e-18
Prediction accuracy,2 - 200,WT,20X,8,2,GW,DV,-0.364527716093564,0.0327377058548161,Inf,-11.1347972185393,8.49380980972143e-29
Prediction accuracy,2 - 200,Chr,2X,8,2,GW,DV,-0.325944846331394,0.0320496258994026,Inf,-10.1700047093988,2.6989561929913e-24
Prediction accuracy,2 - 200,Peri,2X,8,2,GW,DV,-0.288583700175994,0.0324982426188163,Inf,-8.8799786364111,6.68732046080446e-19
Prediction accuracy,2 - 200,WT,2X,8,2,GW,DV,-0.352915800941784,0.032382425881979,Inf,-10.8983743907273,1.17334810527129e-27
Prediction accuracy,2 - 200,WT,20X,2,3,GW,DV,-0.104290714440099,0.0304226666147075,Inf,-3.42805960308822,0.000607911976406553
Prediction accuracy,2 - 200,Peri,2X,2,3,GW,DV,-0.0786857526431628,0.0304226666147072,Inf,-2.58641866078642,0.00969790566436471
Prediction accuracy,2 - 200,WT,2X,2,3,GW,DV,-0.0718897156178117,0.0304226666147077,Inf,-2.36303137158453,0.0181261351244684
Prediction accuracy,2 - 200,Chr,20X,8,3,GW,DV,-0.226068805471267,0.0308205844997369,Inf,-7.33499410023183,2.21731253742334e-13
Prediction accuracy,2 - 200,Peri,20X,8,3,GW,DV,-0.215599859896457,0.0307381102661053,Inf,-7.01408961155942,2.31451023682898e-12
Prediction accuracy,2 - 200,WT,20X,8,3,GW,DV,-0.326802144579432,0.0311662072418131,Inf,-10.4857848773138,1.00408469513707e-25
Prediction accuracy,2 - 200,Chr,2X,8,3,GW,DV,-0.391137206577723,0.0307381094348926,Inf,-12.7248296583173,4.30412439365328e-37
Prediction accuracy,2 - 200,Peri,2X,8,3,GW,DV,-0.335009864227112,0.0307381094954929,Inf,-10.8988441295075,1.16730700105136e-27
Prediction accuracy,2 - 200,WT,2X,8,3,GW,DV,-0.330497338743187,0.0309901609839402,Inf,-10.6645892841427,1.49056137776854e-26
Prediction accuracy,2 - 200,Chr,20X,2,4,GW,DV,-0.0757887223406583,0.0304226666147055,Inf,-2.49119261307699,0.0127315079071456
Prediction accuracy,2 - 200,Peri,20X,2,4,GW,DV,-0.12828135183662,0.0304226666147075,Inf,-4.21663733364529,2.47972293914602e-05
Prediction accuracy,2 - 200,WT,20X,2,4,GW,DV,-0.118975464277802,0.030422666614707,Inf,-3.91075068417201,9.20097090292746e-05
Prediction accuracy,2 - 200,Chr,2X,2,4,GW,DV,-0.109871412452171,0.0304226666147073,Inf,-3.61149842134666,0.000304432937616678
Prediction accuracy,2 - 200,Peri,2X,2,4,GW,DV,-0.110046068605842,0.0304226666147083,Inf,-3.61723940900823,0.000297761866543933
Prediction accuracy,2 - 200,WT,2X,2,4,GW,DV,-0.133405766298346,0.0304226666147063,Inf,-4.38507800739129,1.15944221324416e-05
