response,contrast,Map_type,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,20X - 2X,Chr,2,8,2,CV,DV,0.330364936388563,0.16434671425498,Inf,2.01017061938951,0.0444131338624095
Prediction accuracy,20X - 2X,Peri,2,2,3,CV,DV,0.137660757567153,0.0434675945386844,Inf,3.16697436396303,0.0015403389672355
Prediction accuracy,20X - 2X,Chr,2,8,3,CV,DV,-0.336198172786789,0.0854139501628554,Inf,-3.93610378803197,8.28151684182642e-05
Prediction accuracy,20X - 2X,Peri,2,8,3,CV,DV,-0.725113874429925,0.0982132296238501,Inf,-7.38305701998663,1.54695734386127e-13
Prediction accuracy,20X - 2X,WT,2,8,3,CV,DV,0.522867303961261,0.08832000762178,Inf,5.9201455937411,3.21656735675612e-09
Prediction accuracy,20X - 2X,Chr,2,2,4,CV,DV,-0.456609532478049,0.0714121816602175,Inf,-6.39400060133464,1.61600792211051e-10
Prediction accuracy,20X - 2X,Peri,2,2,4,CV,DV,-0.554503225738608,0.0699045095271461,Inf,-7.93229549122689,2.15131806346285e-15
Prediction accuracy,20X - 2X,WT,2,2,4,CV,DV,0.452889335140554,0.0773325441606123,Inf,5.85638737295317,4.73044128024427e-09
Prediction accuracy,20X - 2X,Peri,200,2,4,CV,DV,0.0831316141865761,0.0304226666147081,Inf,2.73255514512937,0.00628451501005853
Prediction accuracy,20X - 2X,Chr,200,8,1,GW,DV,-0.0823128599550369,0.0304226666147111,Inf,-2.70564250653931,0.00681723911275475
Prediction accuracy,20X - 2X,Peri,200,8,1,GW,DV,-0.0646306995584243,0.0304226666147078,Inf,-2.12442585579196,0.033634549855293
Prediction accuracy,20X - 2X,Chr,200,8,2,GW,DV,-0.0750429202584722,0.0304226666147061,Inf,-2.46667792829827,0.0136372956808651
Prediction accuracy,20X - 2X,Chr,200,2,3,GW,DV,-0.0653331658639583,0.0304226666147073,Inf,-2.14751608369445,0.0317522181383743
Prediction accuracy,20X - 2X,Peri,200,2,3,GW,DV,-0.06673855807951,0.0304226666147072,Inf,-2.19371164680372,0.0282561460036001
Prediction accuracy,20X - 2X,Chr,200,8,3,GW,DV,-0.105395979445017,0.0304226666147086,Inf,-3.46438991623636,0.000531435599947251
Prediction accuracy,20X - 2X,Peri,200,8,3,GW,DV,-0.0790338037732161,0.0304226666147071,Inf,-2.5978591809243,0.00938069551852923
Prediction accuracy,20X - 2X,Chr,200,8,4,GW,DV,-0.0692615036147773,0.0304226666147047,Inf,-2.27664144277543,0.0228076459534224
Prediction accuracy,20X - 2X,Peri,200,2,5,GW,DV,-0.0601522155739958,0.0304226666147075,Inf,-1.977217064362,0.0480170995421857
