response,contrast,Matrix,Recombination,Map_type,QTL,H2,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,1 - 2,GW,20X,Chr,2,2,DV,-0.109548822993621,0.0315175555914788,Inf,-3.47580327654722,0.00463417417935796
Prediction accuracy,1 - 3,GW,20X,Chr,2,2,DV,-0.110274850231947,0.0314432595952145,Inf,-3.5071061859226,0.00413807999740712
Prediction accuracy,1 - 5,GW,20X,Chr,2,2,DV,-0.113172489824602,0.0315175554608848,Inf,-3.59077625690407,0.00304153606828816
Prediction accuracy,2 - 4,CV,2X,Chr,2,2,DV,-0.370502534822353,0.0692928408933168,Inf,-5.34690929172292,8.90737459013913e-07
Prediction accuracy,3 - 4,CV,2X,Chr,2,2,DV,-0.270294879304474,0.0658619702884929,Inf,-4.10395981353899,0.000390986308518637
Prediction accuracy,3 - 5,CV,2X,Chr,2,2,DV,0.130419889410208,0.0451186691796492,Inf,2.89059699192179,0.0314720306613701
Prediction accuracy,4 - 5,CV,2X,Chr,2,2,DV,0.400714768714682,0.0622168240151579,Inf,6.4406175509225,1.18938670023994e-09
Prediction accuracy,1 - 2,GW,2X,Chr,2,2,DV,-0.112841145281848,0.032616639659003,Inf,-3.45961896938397,0.00491149860122531
Prediction accuracy,1 - 3,GW,2X,Chr,2,2,DV,-0.172080612320865,0.0326882818051798,Inf,-5.26429052913993,1.40004191739873e-06
Prediction accuracy,1 - 4,GW,2X,Chr,2,2,DV,-0.119305962751346,0.0326166396590031,Inf,-3.65782508555919,0.00236362486176356
Prediction accuracy,1 - 5,GW,2X,Chr,2,2,DV,-0.19077177663101,0.0326166396590011,Inf,-5.84890959416672,4.94006842099992e-08
Prediction accuracy,2 - 4,CV,20X,Peri,2,2,DV,0.419201037400305,0.0654700417119661,Inf,6.40294440691776,1.52338064385305e-09
Prediction accuracy,2 - 5,CV,20X,Peri,2,2,DV,-0.164681417700776,0.0492630585792267,Inf,-3.34289876532796,0.00740556155605421
Prediction accuracy,3 - 4,CV,20X,Peri,2,2,DV,0.538093650530795,0.059302069216033,Inf,9.07377529392035,6.53921361504217e-14
Prediction accuracy,4 - 5,CV,20X,Peri,2,2,DV,-0.583882455101081,0.0573074430090342,Inf,-10.1885972300149,4.49640324973188e-14
Prediction accuracy,1 - 2,GW,20X,Peri,2,2,DV,-0.125849256107416,0.031539284663659,Inf,-3.99023812523007,0.000630893598591031
Prediction accuracy,1 - 3,GW,20X,Peri,2,2,DV,-0.152162717340414,0.0315392846636596,Inf,-4.82454560916977,1.38706037968728e-05
Prediction accuracy,1 - 5,GW,20X,Peri,2,2,DV,-0.125795975934502,0.0315392846636647,Inf,-3.98854879798294,0.000635329294838782
Prediction accuracy,3 - 4,GW,20X,Peri,2,2,DV,0.0891495882136835,0.0304226666147075,Inf,2.93036732587357,0.0279742523629918
Prediction accuracy,2 - 4,CV,2X,Peri,2,2,DV,-0.247509401902378,0.0645517237599494,Inf,-3.8342802869649,0.00118958035733463
Prediction accuracy,2 - 5,CV,2X,Peri,2,2,DV,-0.213083846570563,0.0513449317270237,Inf,-4.1500463512821,0.000320844831019018
Prediction accuracy,3 - 5,CV,2X,Peri,2,2,DV,-0.119644777443152,0.0415831099809116,Inf,-2.87724457112693,0.0327282740233529
Prediction accuracy,1 - 2,GW,2X,Peri,2,2,DV,-0.166868837558489,0.0316372411821354,Inf,-5.27444338770965,1.3248432778612e-06
Prediction accuracy,1 - 3,GW,2X,Peri,2,2,DV,-0.160902692708291,0.0316372411821364,Inf,-5.08586358026513,3.63317956975084e-06
Prediction accuracy,1 - 4,GW,2X,Peri,2,2,DV,-0.116969975694862,0.0316372411821364,Inf,-3.69722426242739,0.00203351987966649
Prediction accuracy,1 - 5,GW,2X,Peri,2,2,DV,-0.166082340861802,0.0316372411821337,Inf,-5.2495835495161,1.51633099265691e-06
Prediction accuracy,2 - 3,CV,20X,WT,2,2,DV,-0.267974604289808,0.0588665162100539,Inf,-4.55224160596818,5.2104437278766e-05
Prediction accuracy,2 - 4,CV,20X,WT,2,2,DV,-0.484051804695133,0.0730106468394049,Inf,-6.62987969083275,3.35899419390273e-10
Prediction accuracy,2 - 5,CV,20X,WT,2,2,DV,-0.313352442503637,0.0573919442010581,Inf,-5.45986805057319,4.74798569127799e-07
Prediction accuracy,3 - 4,CV,20X,WT,2,2,DV,-0.216077200405325,0.0626287448087844,Inf,-3.45012822889942,0.00508110645299142
Prediction accuracy,4 - 5,CV,20X,WT,2,2,DV,0.170699362191496,0.0612445285122959,Inf,2.78717734200901,0.0423840875555501
Prediction accuracy,1 - 2,GW,20X,WT,2,2,DV,-0.115042326750522,0.0322308548507944,Inf,-3.56932285175447,0.00329374278996952
Prediction accuracy,1 - 3,GW,20X,WT,2,2,DV,-0.172108506631762,0.0321581988349182,Inf,-5.35193241124196,8.66393314091773e-07
Prediction accuracy,1 - 4,GW,20X,WT,2,2,DV,-0.127841501788391,0.0321581988349182,Inf,-3.97539372290891,0.000670886638905466
Prediction accuracy,1 - 5,GW,20X,WT,2,2,DV,-0.195268805348465,0.0321581988349131,Inf,-6.07213128915877,1.26096900698869e-08
Prediction accuracy,2 - 3,CV,2X,WT,2,2,DV,-0.208272916837095,0.0570652205222648,Inf,-3.64973472337384,0.00243727365289381
Prediction accuracy,2 - 5,CV,2X,WT,2,2,DV,-0.168302705658444,0.0545529510512405,Inf,-3.08512559660358,0.0173811436429222
Prediction accuracy,3 - 4,CV,2X,WT,2,2,DV,0.306648831505692,0.0643309468521594,Inf,4.76673897261934,1.84846044443132e-05
Prediction accuracy,4 - 5,CV,2X,WT,2,2,DV,-0.266678620327041,0.0621112480253581,Inf,-4.29356402914597,0.000170931015202491
Prediction accuracy,1 - 2,GW,2X,WT,2,2,DV,-0.203696403038312,0.0323824251611023,Inf,-6.29033810855501,3.16580595072224e-09
Prediction accuracy,1 - 3,GW,2X,WT,2,2,DV,-0.263150942109419,0.0323824251611025,Inf,-8.12635066089842,6.60582699651968e-14
Prediction accuracy,1 - 4,GW,2X,WT,2,2,DV,-0.15973536828319,0.0323824251611019,Inf,-4.93277966330531,8.02962111134953e-06
Prediction accuracy,1 - 5,GW,2X,WT,2,2,DV,-0.225183006556261,0.0323824251611007,Inf,-6.95386480277461,3.5572988998922e-11
Prediction accuracy,3 - 4,GW,2X,WT,2,2,DV,0.103415573826229,0.0304226666147071,Inf,3.39929353123291,0.00608418007666178
Prediction accuracy,1 - 3,CV,20X,Chr,200,2,DV,-0.17083276660632,0.0304226666147065,Inf,-5.61531205564137,1.95696585936211e-07
Prediction accuracy,1 - 4,CV,20X,Chr,200,2,DV,-0.172005747899339,0.0304226666147064,Inf,-5.65386821864559,1.56498317305243e-07
Prediction accuracy,1 - 5,CV,20X,Chr,200,2,DV,-0.172503546799273,0.0304226666147093,Inf,-5.67023098218049,1.42272544412236e-07
Prediction accuracy,2 - 3,CV,20X,Chr,200,2,DV,-0.100240802214108,0.0304226666147072,Inf,-3.29493806324159,0.00872861147255533
Prediction accuracy,2 - 4,CV,20X,Chr,200,2,DV,-0.101413783507127,0.0304226666147071,Inf,-3.33349422624581,0.00764968577702574
Prediction accuracy,2 - 5,CV,20X,Chr,200,2,DV,-0.101911582407061,0.0304226666147121,Inf,-3.3498569897807,0.00722951168404873
Prediction accuracy,1 - 3,GW,20X,Chr,200,2,DV,-0.0968799625806321,0.0304226666147087,Inf,-3.18446649689126,0.0126221639327079
Prediction accuracy,1 - 4,GW,20X,Chr,200,2,DV,-0.121420604047017,0.0304226666147077,Inf,-3.99112298684286,0.000628581828322483
Prediction accuracy,1 - 5,GW,20X,Chr,200,2,DV,-0.088177799555163,0.0304226666147165,Inf,-2.8984244107158,0.0307551526375636
Prediction accuracy,1 - 2,CV,2X,Chr,200,2,DV,-0.129441166576808,0.0304226666147068,Inf,-4.25476070905086,0.000203079288854435
Prediction accuracy,1 - 3,CV,2X,Chr,200,2,DV,-0.194238548632723,0.0304226666147072,Inf,-6.38466545660471,1.71689040762146e-09
Prediction accuracy,1 - 4,CV,2X,Chr,200,2,DV,-0.147705474503753,0.0304226666147065,Inf,-4.85511268207999,1.19004437402204e-05
Prediction accuracy,1 - 5,CV,2X,Chr,200,2,DV,-0.196526597214764,0.0304226666147075,Inf,-6.45987413607443,1.04748787421727e-09
Prediction accuracy,1 - 3,GW,2X,Chr,200,2,DV,-0.119215885541832,0.0304226666147065,Inf,-3.91865338603167,0.00084675439932913
Prediction accuracy,1 - 4,GW,2X,Chr,200,2,DV,-0.120162064147478,0.0304226666147062,Inf,-3.94975449290144,0.000745620779295741
Prediction accuracy,1 - 5,GW,2X,Chr,200,2,DV,-0.0957622665502054,0.030422666614706,Inf,-3.14772757309561,0.0142260971901791
Prediction accuracy,1 - 2,CV,20X,Peri,200,2,DV,-0.106367316219698,0.0304226666147086,Inf,-3.49631797786827,0.00430326768714551
Prediction accuracy,1 - 3,CV,20X,Peri,200,2,DV,-0.218942851436361,0.0304226666147084,Inf,-7.19670153209087,6.20359319469799e-12
Prediction accuracy,1 - 4,CV,20X,Peri,200,2,DV,-0.221534855086528,0.0304226666147084,Inf,-7.28190128407162,3.32622818177697e-12
Prediction accuracy,1 - 5,CV,20X,Peri,200,2,DV,-0.166868993544081,0.0304226666147128,Inf,-5.48502192977983,4.12022449269855e-07
Prediction accuracy,2 - 3,CV,20X,Peri,200,2,DV,-0.112575535216663,0.0304226666147067,Inf,-3.70038355422278,0.00200899375457442
Prediction accuracy,2 - 4,CV,20X,Peri,200,2,DV,-0.115167538866829,0.0304226666147066,Inf,-3.78558330620355,0.00144251441195564
Prediction accuracy,1 - 3,GW,20X,Peri,200,2,DV,-0.0922297098310822,0.0304226666147094,Inf,-3.0316116269206,0.0205542572785538
Prediction accuracy,1 - 4,GW,20X,Peri,200,2,DV,-0.10645942413912,0.0304226666147096,Inf,-3.4993455862165,0.00425630925596043
Prediction accuracy,1 - 2,CV,2X,Peri,200,2,DV,-0.115740299009266,0.0304226666147064,Inf,-3.80441006290084,0.00133930612160338
Prediction accuracy,1 - 3,CV,2X,Peri,200,2,DV,-0.198882957091883,0.030422666614707,Inf,-6.53732822341545,6.26086404942328e-10
