response,contrast,Recombination,Map_type,QTL,H2,Repulsion,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,CV - GW,20X,Chr,2,2,1,negative_QTL,DV,0.0188095238226558,0.00541011292048559,Inf,3.476734053264,0.000507561002633712
QTL fixation,CV - GW,2X,Chr,2,2,1,negative_QTL,DV,0.0242857142798233,0.00541011292048821,Inf,4.48894776074872,7.15758453760656e-06
QTL fixation,CV - GW,20X,Peri,2,2,1,negative_QTL,DV,0.0207142857151511,0.00541011292048619,Inf,3.82880838525817,0.000128765209841066
QTL fixation,CV - GW,2X,Peri,2,2,1,negative_QTL,DV,0.0161904761902001,0.00541011292048697,Inf,2.99263184117473,0.00276583174838801
QTL fixation,CV - GW,20X,WT,2,2,1,negative_QTL,DV,0.0207142857150063,0.00541011292048831,Inf,3.82880838522991,0.000128765209855849
QTL fixation,CV - GW,2X,WT,2,2,1,negative_QTL,DV,0.0188095238089965,0.00541011292048747,Inf,3.47673405073802,0.000507561007415194
QTL fixation,CV - GW,20X,Chr,2,2,2,negative_QTL,DV,-0.0378571428541896,0.00541011292048754,Inf,-6.99747739290773,2.6061209694307e-12
QTL fixation,CV - GW,2X,Chr,2,2,2,negative_QTL,DV,-0.0242857142866043,0.00541011292048729,Inf,-4.48894776200289,7.15758449547222e-06
QTL fixation,CV - GW,20X,Peri,2,2,2,negative_QTL,DV,-0.0195238095246195,0.00541011292048728,Inf,-3.60876192633352,0.000307661786381229
QTL fixation,CV - GW,2X,Peri,2,2,2,negative_QTL,DV,-0.0216666666665657,0.00541011292048734,Inf,-4.00484555220966,6.20580141638183e-05
QTL fixation,CV - GW,20X,WT,2,2,2,negative_QTL,DV,-0.0219047619055401,0.00541011292048729,Inf,-4.04885484415492,5.14688530764711e-05
QTL fixation,CV - GW,2X,WT,2,2,2,negative_QTL,DV,-0.0164285714284793,0.00541011292048726,Inf,-3.03664113299131,0.00239230086075186
QTL fixation,CV - GW,20X,Chr,2,8,2,negative_QTL,DV,-0.0178571428581506,0.00541011292048726,Inf,-3.30069688389097,0.000964450182407432
QTL fixation,CV - GW,2X,Peri,2,8,2,negative_QTL,DV,-0.0145238095237647,0.00541011292048735,Inf,-2.68456679873816,0.00726238692507368
QTL fixation,CV - GW,20X,WT,2,8,2,negative_QTL,DV,-0.0126190476189476,0.00541011292048728,Inf,-2.33249246446616,0.0196747988818229
QTL fixation,CV - GW,20X,Chr,200,8,2,negative_QTL,DV,-0.0129559078188697,0.00541011292048726,Inf,-2.39475737554528,0.0166313664417024
QTL fixation,CV - GW,20X,Peri,200,8,2,negative_QTL,DV,-0.0120699409102072,0.00541011292048733,Inf,-2.23099611553394,0.0256813863222966
QTL fixation,CV - GW,20X,Chr,2,2,3,negative_QTL,DV,-0.0419047619012775,0.00541011292048776,Inf,-7.7456353531156,9.5105081400739e-15
QTL fixation,CV - GW,2X,Chr,2,2,3,negative_QTL,DV,-0.0300000000010364,0.0054101129204874,Inf,-5.54517076481533,2.93667422262998e-08
QTL fixation,CV - GW,20X,Peri,2,2,3,negative_QTL,DV,-0.0361904761907153,0.00541011292048731,Inf,-6.689412351019,2.24068539168471e-11
QTL fixation,CV - GW,2X,Peri,2,2,3,negative_QTL,DV,-0.0285714285714944,0.00541011292048729,Inf,-5.28111501393968,1.28400051164941e-07
QTL fixation,CV - GW,20X,WT,2,2,3,negative_QTL,DV,-0.0147619047623488,0.00541011292048732,Inf,-2.72857609061128,0.00636084135207782
QTL fixation,CV - GW,2X,WT,2,2,3,negative_QTL,DV,-0.0361904761905542,0.00541011292048738,Inf,-6.68941235098914,2.24068539214196e-11
QTL fixation,CV - GW,2X,WT,200,2,3,negative_QTL,DV,0.0106844113194968,0.00541011292048731,Inf,1.97489617620299,0.0482799314343674
QTL fixation,CV - GW,20X,Chr,2,8,3,negative_QTL,DV,-0.0264285714301306,0.00541011292048735,Inf,-4.88503138817108,1.03412378291435e-06
QTL fixation,CV - GW,2X,Chr,2,8,3,negative_QTL,DV,-0.0133333333329623,0.0054101129204873,Inf,-2.46452033976425,0.0137196776461663
QTL fixation,CV - GW,2X,Peri,2,8,3,negative_QTL,DV,-0.0323809523809246,0.00541011292048729,Inf,-5.98526368244602,2.16039581284519e-09
QTL fixation,CV - GW,20X,WT,2,8,3,negative_QTL,DV,-0.0185714285712892,0.00541011292048731,Inf,-3.4327247590271,0.000597548376126961
QTL fixation,CV - GW,2X,WT,2,8,3,negative_QTL,DV,-0.0316666666666492,0.0054101129204873,Inf,-5.85323580709974,4.82099817322895e-09
QTL fixation,CV - GW,20X,Chr,200,8,3,negative_QTL,DV,-0.023500993660086,0.00541011292048743,Inf,-4.34390076611722,1.39974763368714e-05
QTL fixation,CV - GW,2X,Chr,200,8,3,negative_QTL,DV,-0.0108353460560038,0.0054101129204874,Inf,-2.00279480581111,0.0451993176247131
QTL fixation,CV - GW,20X,Peri,200,8,3,negative_QTL,DV,-0.0192170218447087,0.0054101129204874,Inf,-3.55205559054717,0.000382234096850715
QTL fixation,CV - GW,2X,Chr,2,2,4,negative_QTL,DV,-0.0173809523803549,0.00541011292048723,Inf,-3.21267830002883,0.00131503495211342
QTL fixation,CV - GW,20X,Peri,2,2,4,negative_QTL,DV,-0.0121428571430342,0.00541011292048723,Inf,-2.24447388095194,0.0248019276107534
