response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 8,20X,Chr,2,1,CV,negative_QTL,DV,0.0233333332968254,0.00576834677914816,Inf,4.04506424287327,5.23087778181181e-05
QTL fixation,2 - 8,2X,Chr,2,1,CV,negative_QTL,DV,0.0269047619032519,0.00576834677914889,Inf,4.66420673606271,3.09809802538241e-06
QTL fixation,2 - 8,20X,Peri,2,1,CV,negative_QTL,DV,0.0245238095237678,0.00576834677914822,Inf,4.25144507823594,2.12395599118564e-05
QTL fixation,2 - 8,2X,Peri,2,1,CV,negative_QTL,DV,0.0228571428563768,0.00576834677914852,Inf,3.96251191745285,7.41653037849766e-05
QTL fixation,2 - 8,20X,WT,2,1,CV,negative_QTL,DV,0.0249999999990034,0.00576834677914818,Inf,4.3339974096868,1.46425897860321e-05
QTL fixation,2 - 8,2X,WT,2,1,CV,negative_QTL,DV,0.0249999999994297,0.00576834677914853,Inf,4.33399740976044,1.46425897811317e-05
QTL fixation,2 - 8,20X,Chr,200,1,CV,negative_QTL,DV,0.0130921550963439,0.00576834677914879,Inf,2.26965465108113,0.0232285449309131
QTL fixation,2 - 8,2X,Chr,200,1,CV,negative_QTL,DV,0.0130859583912351,0.0057683467791487,Inf,2.26858039092552,0.0232938551919685
QTL fixation,2 - 8,20X,Peri,200,1,CV,negative_QTL,DV,0.0117544433363889,0.00576834677914842,Inf,2.03774907896994,0.0415750331920553
QTL fixation,2 - 8,2X,Peri,200,1,CV,negative_QTL,DV,0.0116491904782219,0.00576834677914858,Inf,2.01950245438284,0.0434350224669957
QTL fixation,2 - 8,20X,WT,200,1,CV,negative_QTL,DV,0.0145125665705723,0.00576834677914847,Inf,2.51589703709086,0.011872986284832
QTL fixation,2 - 8,2X,WT,200,1,CV,negative_QTL,DV,0.0130781157742514,0.00576834677914858,Inf,2.26722079565781,0.0233767410745531
QTL fixation,2 - 8,20X,Chr,2,2,CV,negative_QTL,DV,-0.0502380952335279,0.00576834677914842,Inf,-8.70927098473516,3.05835338525008e-18
QTL fixation,2 - 8,2X,Chr,2,2,CV,negative_QTL,DV,-0.0530952380965622,0.00576834677914847,Inf,-9.20458497545465,3.42994100523524e-20
QTL fixation,2 - 8,20X,Peri,2,2,CV,negative_QTL,DV,-0.0566666666677212,0.00576834677914849,Inf,-9.82372746253064,8.89908157481556e-23
QTL fixation,2 - 8,2X,Peri,2,2,CV,negative_QTL,DV,-0.0583333333331421,0.00576834677914858,Inf,-10.1126606229718,4.8547620987821e-24
QTL fixation,2 - 8,20X,WT,2,2,CV,negative_QTL,DV,-0.045952380953497,0.00576834677914854,Inf,-7.96630000117294,1.63495751912106e-15
QTL fixation,2 - 8,2X,WT,2,2,CV,negative_QTL,DV,-0.0557142857140235,0.00576834677914852,Inf,-9.65862279906958,4.51897948458693e-22
QTL fixation,2 - 8,20X,Chr,2,3,CV,negative_QTL,DV,-0.0326190476184582,0.0057683467791485,Inf,-5.65483471561903,1.5599631635912e-08
QTL fixation,2 - 8,2X,Chr,2,3,CV,negative_QTL,DV,-0.0347619047616449,0.00576834677914854,Inf,-6.02632020794978,1.67734709592012e-09
QTL fixation,2 - 8,20X,Peri,2,3,CV,negative_QTL,DV,-0.047857142857133,0.00576834677914856,Inf,-8.2965093274432,1.07215106512543e-16
QTL fixation,2 - 8,2X,Peri,2,3,CV,negative_QTL,DV,-0.0221428571428152,0.00576834677914851,Inf,-3.83868342015385,0.000123695793947779
QTL fixation,2 - 8,20X,WT,2,3,CV,negative_QTL,DV,-0.0235714285716027,0.0057683467791485,Inf,-4.08634041504042,4.3823066676531e-05
QTL fixation,2 - 8,2X,WT,2,3,CV,negative_QTL,DV,-0.0399999999999815,0.00576834677914854,Inf,-6.93439585577168,4.07960813476999e-12
QTL fixation,2 - 8,20X,Chr,200,3,CV,negative_QTL,DV,0.0140494392270781,0.00576834677914856,Inf,2.43560932880528,0.0148667312197222
QTL fixation,2 - 8,2X,Chr,200,3,CV,negative_QTL,DV,0.0186979502933185,0.00576834677914853,Inf,3.24147472563683,0.00118912978046667
QTL fixation,2 - 8,20X,Peri,200,3,CV,negative_QTL,DV,0.0209894493531956,0.00576834677914857,Inf,3.63872876524489,0.000273987180243944
QTL fixation,2 - 8,2X,Peri,200,3,CV,negative_QTL,DV,0.0168519451151415,0.00576834677914847,Inf,2.9214514592046,0.00348404561977325
QTL fixation,2 - 8,20X,WT,200,3,CV,negative_QTL,DV,0.0203963290579928,0.00576834677914854,Inf,3.53590549231914,0.000406380046343427
QTL fixation,2 - 8,2X,WT,200,3,CV,negative_QTL,DV,0.0234316246514299,0.0057683467791486,Inf,4.06210402192366,4.86323962302339e-05
