response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,1,CV,DV,-0.948095238152207,0.00576834677914738,Inf,-164.361692258097,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,1,CV,DV,-0.99476190477584,0.0057683467791488,Inf,-172.451820749,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,1,CV,DV,-0.943809523814399,0.00576834677914879,Inf,-163.618721264479,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,1,CV,DV,-0.997619047619335,0.00576834677914859,Inf,-172.947134736339,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,1,CV,DV,-0.945238095238736,0.00576834677914796,Inf,-163.866378258617,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,1,CV,DV,-0.994285714285789,0.00576834677914862,Inf,-172.369268414986,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,1,CV,DV,-0.951428571429849,0.00576834677914843,Inf,-164.939558569727,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,1,CV,DV,-0.997142857142945,0.00576834677914855,Inf,-172.864582404689,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,1,CV,DV,-0.945238095239949,0.00576834677914846,Inf,-163.866378258813,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,1,CV,DV,-0.995238095238147,0.00576834677914844,Inf,-172.53437307822,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,1,CV,DV,-0.946666666667473,0.00576834677914843,Inf,-164.114035253482,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,1,CV,DV,-0.99666666666657,0.00576834677914851,Inf,-172.782030073041,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,200,1,CV,DV,-0.805607594581479,0.00576834677914855,Inf,-139.660049131164,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,200,1,CV,DV,-0.881093657090443,0.00576834677914857,Inf,-152.746305106937,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,200,1,CV,DV,-0.820314393211329,0.00576834677914857,Inf,-142.209618217927,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,200,1,CV,DV,-0.887546439651859,0.00576834677914863,Inf,-153.864958823238,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,200,1,CV,DV,-0.808518033182198,0.00576834677914843,Inf,-140.16460246545,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,200,1,CV,DV,-0.882399791653986,0.0057683467791485,Inf,-152.972736459551,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,200,1,CV,DV,-0.818267589478351,0.00576834677914852,Inf,-141.85478453484,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,200,1,CV,DV,-0.887562238025736,0.00576834677914855,Inf,-153.867697627698,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,200,1,CV,DV,-0.82316439322404,0.00576834677914841,Inf,-142.703693924859,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,200,1,CV,DV,-0.89119718708045,0.00576834677914849,Inf,-154.497852019224,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,200,1,CV,DV,-0.819583525650211,0.0057683467791485,Inf,-142.082915093256,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,200,1,CV,DV,-0.890370669455103,0.00576834677914853,Inf,-154.354567009325,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,2,CV,DV,-0.51880952380427,0.00576834677914866,Inf,-89.9407652951198,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,2,CV,DV,-0.428333333334836,0.00576834677914848,Inf,-74.255822289184,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,2,CV,DV,-0.509047619049327,0.00576834677914844,Inf,-88.2484424981945,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,2,CV,DV,-0.419761904761848,0.00576834677914851,Inf,-72.7698803198186,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,2,CV,DV,-0.513809523811001,0.00576834677914851,Inf,-89.0739658143172,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,2,CV,DV,-0.41499999999959,0.00576834677914854,Inf,-71.9443570035933,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,2,CV,DV,-0.527142857142587,0.00576834677914845,Inf,-91.3854310992735,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,2,CV,DV,-0.42142857142858,0.00576834677914847,Inf,-73.0588134804877,0
