response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 200,Chr,20X,2,2,CV,negative_QTL,DV,-0.0396997201660306,0.0057683467791484,Inf,-6.88233937486879,5.88775376771139e-12
QTL fixation,2 - 200,Peri,20X,2,2,CV,negative_QTL,DV,-0.0408739843920142,0.00576834677914851,Inf,-7.0859096994248,1.38133864342445e-12
QTL fixation,2 - 200,WT,20X,2,2,CV,negative_QTL,DV,-0.046607368732988,0.00576834677914853,Inf,-8.07984861476512,6.48472235216863e-16
QTL fixation,2 - 200,Chr,2X,2,2,CV,negative_QTL,DV,-0.0444795019000422,0.00576834677914843,Inf,-7.71096184106472,1.24872999565098e-14
QTL fixation,2 - 200,Peri,2X,2,2,CV,negative_QTL,DV,-0.0503504950264918,0.00576834677914852,Inf,-8.72875660119798,2.57487689170424e-18
QTL fixation,2 - 200,WT,2X,2,2,CV,negative_QTL,DV,-0.0457673777437363,0.0057683467791485,Inf,-7.93422786389626,2.11808906751689e-15
QTL fixation,2 - 200,Chr,20X,8,2,CV,negative_QTL,DV,0.012762688445533,0.00576834677914846,Inf,2.21253834663128,0.0269294896588847
QTL fixation,2 - 200,Peri,20X,8,2,CV,negative_QTL,DV,0.0212719372758345,0.00576834677914852,Inf,3.68770084224626,0.000226289469246311
QTL fixation,2 - 200,Chr,2X,8,2,CV,negative_QTL,DV,0.0127282477665374,0.00576834677914853,Inf,2.20656771408882,0.0273442746411571
QTL fixation,2 - 200,WT,2X,8,2,CV,negative_QTL,DV,0.0147265516071199,0.00576834677914852,Inf,2.55299346085668,0.0106801501356531
QTL fixation,2 - 200,Chr,20X,2,3,CV,negative_QTL,DV,-0.0537765197231224,0.00576834677914856,Inf,-9.32269188765036,1.13425362491095e-20
QTL fixation,2 - 200,Peri,20X,2,3,CV,negative_QTL,DV,-0.062888184446899,0.00576834677914862,Inf,-10.9022891401444,1.12393496368769e-27
QTL fixation,2 - 200,WT,20X,2,3,CV,negative_QTL,DV,-0.0686642493982675,0.00576834677914852,Inf,-11.903627161681,1.13312772154517e-32
QTL fixation,2 - 200,Chr,2X,2,3,CV,negative_QTL,DV,-0.0658890859544685,0.00576834677914858,Inf,-11.4225251145865,3.22718867064276e-30
QTL fixation,2 - 200,Peri,2X,2,3,CV,negative_QTL,DV,-0.0738362182558997,0.00576834677914856,Inf,-12.800239146995,1.63447111286484e-37
QTL fixation,2 - 200,WT,2X,2,3,CV,negative_QTL,DV,-0.0911408079365069,0.00576834677914855,Inf,-15.8001610211722,3.10322915645034e-56
QTL fixation,2 - 200,WT,20X,8,3,CV,negative_QTL,DV,-0.024696491768672,0.00576834677914851,Inf,-4.28138125432145,1.85736827182354e-05
QTL fixation,2 - 200,Chr,2X,8,3,CV,negative_QTL,DV,-0.0124292308995051,0.00576834677914852,Inf,-2.15473018099995,0.0311829545942423
QTL fixation,2 - 200,Peri,2X,8,3,CV,negative_QTL,DV,-0.034841415997943,0.00576834677914854,Inf,-6.04010426763661,1.54014670153571e-09
QTL fixation,2 - 200,WT,2X,8,3,CV,negative_QTL,DV,-0.0277091832850955,0.00576834677914856,Inf,-4.8036611434768,1.5579039790948e-06
QTL fixation,2 - 200,Chr,20X,2,4,CV,negative_QTL,DV,-0.193114943507628,0.00576834677914862,Inf,-33.478386598687,9.94596167854022e-246
QTL fixation,2 - 200,Peri,20X,2,4,CV,negative_QTL,DV,-0.198862145237322,0.00576834677914865,Inf,-34.4747208951041,1.9195225259475e-260
QTL fixation,2 - 200,WT,20X,2,4,CV,negative_QTL,DV,-0.220364080992096,0.00576834677914852,Inf,-38.2022942498309,0
QTL fixation,2 - 200,Chr,2X,2,4,CV,negative_QTL,DV,-0.209114682272197,0.00576834677914863,Inf,-36.2520996532495,9.20819662935121e-288
QTL fixation,2 - 200,Peri,2X,2,4,CV,negative_QTL,DV,-0.216560245120879,0.00576834677914858,Inf,-37.5428616572951,0
QTL fixation,2 - 200,WT,2X,2,4,CV,negative_QTL,DV,-0.208959849224232,0.00576834677914855,Inf,-36.2252578120964,2.43747181975712e-287
QTL fixation,2 - 200,Chr,20X,8,4,CV,negative_QTL,DV,-0.238836484529297,0.00576834677914846,Inf,-41.4046682131955,0
QTL fixation,2 - 200,Peri,20X,8,4,CV,negative_QTL,DV,-0.233420033219063,0.00576834677914851,Inf,-40.4656727752279,0
QTL fixation,2 - 200,WT,20X,8,4,CV,negative_QTL,DV,-0.261764023341035,0.00576834677914845,Inf,-45.3793839661765,0
QTL fixation,2 - 200,Chr,2X,8,4,CV,negative_QTL,DV,-0.263171338160793,0.00576834677914852,Inf,-45.6233559175234,0
QTL fixation,2 - 200,Peri,2X,8,4,CV,negative_QTL,DV,-0.265190263113848,0.0057683467791485,Inf,-45.9733565382133,0
QTL fixation,2 - 200,WT,2X,8,4,CV,negative_QTL,DV,-0.260621359130056,0.0057683467791485,Inf,-45.1812918169473,0
QTL fixation,2 - 200,Chr,20X,2,5,CV,negative_QTL,DV,-0.0748699250223094,0.00576834677914868,Inf,-12.9794424449216,1.60041349291917e-38
QTL fixation,2 - 200,Peri,20X,2,5,CV,negative_QTL,DV,-0.0800886101796377,0.00576834677914861,Inf,-13.8841531631111,7.90288718995787e-44
QTL fixation,2 - 200,WT,20X,2,5,CV,negative_QTL,DV,-0.081658728447718,0.00576834677914858,Inf,-14.1563487033925,1.70632363542513e-45
QTL fixation,2 - 200,Chr,2X,2,5,CV,negative_QTL,DV,-0.0851689459799101,0.00576834677914848,Inf,-14.7648796510952,2.46762367996779e-49
QTL fixation,2 - 200,Peri,2X,2,5,CV,negative_QTL,DV,-0.0724907994802149,0.00576834677914854,Inf,-12.5669974874352,3.20672521573303e-36
QTL fixation,2 - 200,WT,2X,2,5,CV,negative_QTL,DV,-0.0926045915538292,0.00576834677914848,Inf,-16.0539223974151,5.36628330408751e-58
QTL fixation,2 - 200,Chr,20X,8,5,CV,negative_QTL,DV,-0.0463043782793766,0.00576834677914863,Inf,-8.0273222211184,9.9623180149708e-16
QTL fixation,2 - 200,Peri,20X,8,5,CV,negative_QTL,DV,-0.0471508470543878,0.00576834677914857,Inf,-8.17406596025551,2.98166673988144e-16
QTL fixation,2 - 200,WT,20X,8,5,CV,negative_QTL,DV,-0.0630621069626545,0.00576834677914853,Inf,-10.9324403294566,8.06498776764292e-28
QTL fixation,2 - 200,Chr,2X,8,5,CV,negative_QTL,DV,-0.0588689657222679,0.00576834677914853,Inf,-10.2055177984562,1.87319310220331e-24
QTL fixation,2 - 200,Peri,2X,8,5,CV,negative_QTL,DV,-0.070422740655247,0.00576834677914858,Inf,-12.2084790238013,2.80075982082512e-34
QTL fixation,2 - 200,WT,2X,8,5,CV,negative_QTL,DV,-0.0682003720324399,0.00576834677914847,Inf,-11.8232094296016,2.96150172328792e-32
QTL fixation,2 - 200,Chr,20X,2,1,GW,negative_QTL,DV,-0.0190026940779402,0.00576834677914825,Inf,-3.29430507656583,0.00098665349384274
QTL fixation,2 - 200,Peri,20X,2,1,GW,negative_QTL,DV,-0.0149237243995591,0.00576834677914846,Inf,-2.58717531572577,0.00967663440625565
