response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,DV - R,GW,20X,Chr,2,2,2,negative_QTL,0.014761904759922,0.00576834677914854,Inf,2.55912227976366,0.0104936823066332
QTL fixation,DV - R,CV,2X,Chr,2,2,2,negative_QTL,0.0133333333318689,0.00576834677914844,Inf,2.31146528500445,0.0208071685201173
QTL fixation,DV - R,CV,20X,Peri,2,2,2,negative_QTL,0.0126190476179918,0.00576834677914853,Inf,2.1876367876507,0.0286960699264022
QTL fixation,DV - R,CV,20X,WT,2,2,2,negative_QTL,0.0185714285701899,0.00576834677914853,Inf,3.21954093282361,0.0012839602862141
QTL fixation,DV - R,GW,20X,WT,2,2,2,negative_QTL,0.0126190476195472,0.00576834677914849,Inf,2.18763678792037,0.0286960699067437
QTL fixation,DV - R,CV,20X,Chr,200,2,2,negative_QTL,0.0159564271322128,0.00576834677914847,Inf,2.76620455446479,0.00567129482776659
QTL fixation,DV - R,GW,20X,Chr,200,2,2,negative_QTL,0.0118886616974788,0.00576834677914853,Inf,2.06101716014266,0.0393014029951046
QTL fixation,DV - R,CV,2X,Chr,200,2,2,negative_QTL,0.0166555622914807,0.00576834677914847,Inf,2.88740655324115,0.00388431968238119
QTL fixation,DV - R,GW,2X,Chr,200,2,2,negative_QTL,0.0151793050787635,0.00576834677914851,Inf,2.63148275579303,0.00850131812786283
QTL fixation,DV - R,CV,20X,Peri,200,2,2,negative_QTL,0.0171845957176349,0.00576834677914848,Inf,2.97911973318838,0.0028907779433081
QTL fixation,DV - R,GW,20X,Peri,200,2,2,negative_QTL,0.0130456431329641,0.00576834677914848,Inf,2.26159134192864,0.0237226634367624
QTL fixation,DV - R,CV,2X,Peri,200,2,2,negative_QTL,0.0185729698310462,0.00576834677914845,Inf,3.21980812564602,0.00128276423291719
QTL fixation,DV - R,GW,2X,Peri,200,2,2,negative_QTL,0.0124640442766733,0.00576834677914833,Inf,2.16076542445902,0.0307134641808979
QTL fixation,DV - R,CV,20X,WT,200,2,2,negative_QTL,0.0190822194112427,0.00576834677914852,Inf,3.30809158010771,0.000939340866695681
