response,contrast,Map_type,QTL,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,20X - 2X,WT,2,2,3,CV,negative_QTL,DV,0.0161904761903524,0.00576834677914851,Inf,2.80677927493505,0.00500395160368274
QTL fixation,20X - 2X,Chr,200,2,3,CV,negative_QTL,DV,-0.016398280516849,0.00576834677914857,Inf,-2.84280421144678,0.00447185318620877
QTL fixation,20X - 2X,Peri,200,2,3,CV,negative_QTL,DV,-0.0126147004756801,0.00576834677914857,Inf,-2.18688316750993,0.0287510540279746
QTL fixation,20X - 2X,Peri,2,8,3,CV,negative_QTL,DV,0.0240476190476383,0.00576834677914849,Inf,4.16889274662995,3.06082970848509e-05
QTL fixation,20X - 2X,Chr,200,8,3,CV,negative_QTL,DV,-0.0117497694506086,0.00576834677914851,Inf,-2.03693881461527,0.0416561738456573
QTL fixation,20X - 2X,Peri,200,8,3,CV,negative_QTL,DV,-0.0167522047137342,0.00576834677914851,Inf,-2.90416047355029,0.00368239364012264
QTL fixation,20X - 2X,Chr,200,2,4,CV,negative_QTL,DV,-0.0162378340016283,0.00576834677914856,Inf,-2.81498922019128,0.00487788700840467
QTL fixation,20X - 2X,Peri,200,2,4,CV,negative_QTL,DV,-0.0136504808365904,0.00576834677914858,Inf,-2.36644594356466,0.0179597967942959
QTL fixation,20X - 2X,Peri,2,8,4,CV,negative_QTL,DV,0.0147619047619072,0.00576834677914852,Inf,2.55912228010782,0.0104936822962439
QTL fixation,20X - 2X,Chr,200,8,4,CV,negative_QTL,DV,-0.0195729488695201,0.00576834677914861,Inf,-3.39316438815231,0.000690901626120935
QTL fixation,20X - 2X,Peri,200,8,4,CV,negative_QTL,DV,-0.0170083251328779,0.00576834677914853,Inf,-2.94856148287751,0.00319256628150563
QTL fixation,20X - 2X,Peri,2,2,5,CV,negative_QTL,DV,-0.0183333333332732,0.00576834677914861,Inf,-3.1782647672197,0.0014815938688649
QTL fixation,20X - 2X,WT,2,2,5,CV,negative_QTL,DV,0.0133333333335044,0.00576834677914861,Inf,2.31146528528791,0.0208071685044772
QTL fixation,20X - 2X,Chr,200,2,5,CV,negative_QTL,DV,-0.0150609257207028,0.00576834677914854,Inf,-2.61096052254436,0.0090288315719826
QTL fixation,20X - 2X,Chr,200,8,5,CV,negative_QTL,DV,-0.018755063633891,0.00576834677914856,Inf,-3.25137588844118,0.00114847906407925
QTL fixation,20X - 2X,Peri,200,8,5,CV,negative_QTL,DV,-0.0194623697912805,0.00576834677914857,Inf,-3.37399441060533,0.000740858720124948
QTL fixation,20X - 2X,WT,2,8,3,GW,negative_QTL,DV,-0.0126190476190208,0.00576834677914854,Inf,-2.18763678782909,0.0286960699133976
QTL fixation,20X - 2X,Chr,2,8,4,GW,negative_QTL,DV,0.0138095238096869,0.00576834677914851,Inf,2.39401761690295,0.016664948333538
QTL fixation,20X - 2X,Chr,200,2,1,CV,positive_QTL,DV,-0.0172904680820139,0.00576834677914845,Inf,-2.99747375530818,0.00272227297212254
QTL fixation,20X - 2X,Peri,200,2,1,CV,positive_QTL,DV,-0.0118824548286276,0.00576834677914849,Inf,-2.0599411380017,0.0394041683169177
QTL fixation,20X - 2X,Chr,200,2,2,CV,positive_QTL,DV,-0.0126628137239858,0.00576834677914855,Inf,-2.1952240752514,0.0281475280952378
QTL fixation,20X - 2X,Peri,200,8,2,CV,positive_QTL,DV,-0.0113515094148697,0.00576834677914854,Inf,-1.96789649608155,0.0490799480626827
QTL fixation,20X - 2X,WT,2,2,3,CV,positive_QTL,DV,-0.0128571428567972,0.00576834677914849,Inf,-2.22891295358202,0.025819697068833
QTL fixation,20X - 2X,Chr,200,2,3,CV,positive_QTL,DV,-0.0169889457696214,0.00576834677914853,Inf,-2.94520187847118,0.00322744005081759
QTL fixation,20X - 2X,Peri,200,2,3,CV,positive_QTL,DV,-0.0171807646238198,0.00576834677914854,Inf,-2.97845557516149,0.00289705022980799
QTL fixation,20X - 2X,Peri,2,8,3,CV,positive_QTL,DV,-0.0230952380953336,0.00576834677914846,Inf,-4.00378808341044,6.23362089239318e-05
QTL fixation,20X - 2X,Chr,200,8,3,CV,positive_QTL,DV,-0.0164982659062626,0.00576834677914848,Inf,-2.86013766819651,0.00423457138190906
QTL fixation,20X - 2X,Peri,200,8,3,CV,positive_QTL,DV,-0.019136314898921,0.0057683467791485,Inf,-3.31746956824705,0.000908368104897699
QTL fixation,20X - 2X,Chr,200,2,4,CV,positive_QTL,DV,-0.0183760808382818,0.00576834677914844,Inf,-3.18567547025918,0.00144416496636166
