response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,1 - 2,CV,20X,Chr,2,2,negative_QTL,DV,-0.209047619100087,0.005768346779148,Inf,-36.2404735886846,0
QTL fixation,1 - 3,CV,20X,Chr,2,2,negative_QTL,DV,-0.27380952385862,0.00576834677914813,Inf,-47.4675906879261,0
QTL fixation,1 - 4,CV,20X,Chr,2,2,negative_QTL,DV,-0.142142857192247,0.00576834677914844,Inf,-24.6418709960484,0
QTL fixation,1 - 5,CV,20X,Chr,2,2,negative_QTL,DV,-0.279523809571867,0.00576834677914798,Inf,-48.4582186671437,0
QTL fixation,2 - 3,CV,20X,Chr,2,2,negative_QTL,DV,-0.0647619047585336,0.00576834677914844,Inf,-11.2271170992418,9.99200722162641e-15
QTL fixation,2 - 4,CV,20X,Chr,2,2,negative_QTL,DV,0.0669047619078398,0.0057683467791486,Inf,11.5986025926331,0
QTL fixation,2 - 5,CV,20X,Chr,2,2,negative_QTL,DV,-0.0704761904717798,0.00576834677914856,Inf,-12.2177450784577,0
QTL fixation,3 - 4,CV,20X,Chr,2,2,negative_QTL,DV,0.131666666666373,0.00576834677914858,Inf,22.8257196918746,0
QTL fixation,4 - 5,CV,20X,Chr,2,2,negative_QTL,DV,-0.13738095237962,0.00576834677914874,Inf,-23.8163476710902,0
QTL fixation,1 - 2,GW,20X,Chr,2,2,negative_QTL,DV,-0.25119047618599,0.00576834677914833,Inf,-43.5463549268577,0
QTL fixation,1 - 3,GW,20X,Chr,2,2,negative_QTL,DV,-0.322380952378335,0.0057683467791483,Inf,-55.8879285038295,0
QTL fixation,1 - 4,GW,20X,Chr,2,2,negative_QTL,DV,-0.157380952377308,0.00576834677914841,Inf,-27.2835455985784,0
QTL fixation,1 - 5,GW,20X,Chr,2,2,negative_QTL,DV,-0.34238095237887,0.00576834677914845,Inf,-59.3551264318081,0
QTL fixation,2 - 3,GW,20X,Chr,2,2,negative_QTL,DV,-0.0711904761923452,0.00576834677914853,Inf,-12.341573576971,0
QTL fixation,2 - 4,GW,20X,Chr,2,2,negative_QTL,DV,0.0938095238086817,0.00576834677914855,Inf,16.2628093282784,0
QTL fixation,2 - 5,GW,20X,Chr,2,2,negative_QTL,DV,-0.0911904761928796,0.00576834677914857,Inf,-15.808771504951,0
QTL fixation,3 - 4,GW,20X,Chr,2,2,negative_QTL,DV,0.165000000001027,0.00576834677914855,Inf,28.6043829052494,0
QTL fixation,3 - 5,GW,20X,Chr,2,2,negative_QTL,DV,-0.0200000000005344,0.00576834677914859,Inf,-3.46719792798005,0.00477979272338369
QTL fixation,4 - 5,GW,20X,Chr,2,2,negative_QTL,DV,-0.185000000001561,0.0057683467791486,Inf,-32.0715808332291,0
QTL fixation,1 - 2,CV,2X,Chr,2,2,negative_QTL,DV,-0.20857142857185,0.00576834677914868,Inf,-36.1579212480411,0
QTL fixation,1 - 3,CV,2X,Chr,2,2,negative_QTL,DV,-0.275952380954118,0.00576834677914889,Inf,-47.8390761719832,0
QTL fixation,1 - 4,CV,2X,Chr,2,2,negative_QTL,DV,-0.140238095239301,0.00576834677914896,Inf,-24.3116616612276,0
QTL fixation,1 - 5,CV,2X,Chr,2,2,negative_QTL,DV,-0.282142857144963,0.00576834677914865,Inf,-48.912256483062,0
QTL fixation,2 - 3,CV,2X,Chr,2,2,negative_QTL,DV,-0.0673809523822681,0.00576834677914847,Inf,-11.6811549239442,0
QTL fixation,2 - 4,CV,2X,Chr,2,2,negative_QTL,DV,0.0683333333325483,0.00576834677914853,Inf,11.8462595868127,0
QTL fixation,2 - 5,CV,2X,Chr,2,2,negative_QTL,DV,-0.0735714285731135,0.00576834677914845,Inf,-12.7543352350211,0
QTL fixation,3 - 4,CV,2X,Chr,2,2,negative_QTL,DV,0.135714285714816,0.00576834677914856,Inf,23.5274145107567,0
QTL fixation,4 - 5,CV,2X,Chr,2,2,negative_QTL,DV,-0.141904761905662,0.00576834677914853,Inf,-24.6005948218336,0
QTL fixation,1 - 2,GW,2X,Chr,2,2,negative_QTL,DV,-0.245952380952722,0.00576834677914855,Inf,-42.638279279913,0
