response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,2 - 8,20X,Chr,200,1,CV,large_neg,DV,0.0154537777762244,0.0075459928297203,Inf,2.04794493248905,0.0405653954780759
QTL AF,2 - 8,20X,Peri,200,1,CV,large_neg,DV,0.0154298591998348,0.00754599282974215,Inf,2.04477522679571,0.040877023180963
QTL AF,2 - 8,20X,Chr,2,2,CV,large_neg,DV,-0.149956818182242,0.00754599282974457,Inf,-19.8723775075887,7.05795850552479e-88
QTL AF,2 - 8,2X,Chr,2,2,CV,large_neg,DV,-0.141965909090869,0.00754599282974155,Inf,-18.8134169080215,5.86338580070849e-79
QTL AF,2 - 8,20X,Peri,2,2,CV,large_neg,DV,-0.149177272727239,0.00754599282974198,Inf,-19.7690716242491,5.49783311582731e-87
QTL AF,2 - 8,2X,Peri,2,2,CV,large_neg,DV,-0.150443181818202,0.00754599282974124,Inf,-19.9368307408478,1.95036744406209e-88
QTL AF,2 - 8,20X,WT,2,2,CV,large_neg,DV,-0.144359090909071,0.00754599282974164,Inf,-19.1305629578784,1.40548219473488e-81
QTL AF,2 - 8,2X,WT,2,2,CV,large_neg,DV,-0.135388636363653,0.00754599282974144,Inf,-17.941792341763,5.56314531002546e-72
QTL AF,2 - 8,20X,Chr,200,2,CV,large_neg,DV,0.0250840469449417,0.00754599282974131,Inf,3.32415462231517,0.000886870094070191
QTL AF,2 - 8,2X,Chr,200,2,CV,large_neg,DV,0.0207326946459482,0.00754599282974142,Inf,2.74751051501577,0.00600495833559576
QTL AF,2 - 8,20X,Peri,200,2,CV,large_neg,DV,0.0232080241093956,0.00754599282974149,Inf,3.07554282558079,0.00210119750918752
QTL AF,2 - 8,2X,Peri,200,2,CV,large_neg,DV,0.0203027215418716,0.00754599282974151,Inf,2.69053019264095,0.00713385793860029
QTL AF,2 - 8,20X,WT,200,2,CV,large_neg,DV,0.0189651038082616,0.0075459928297414,Inf,2.51326819891923,0.0119618358425281
QTL AF,2 - 8,2X,WT,200,2,CV,large_neg,DV,0.0206505955175457,0.00754599282974142,Inf,2.73663068379213,0.00620719350411817
QTL AF,2 - 8,20X,Chr,2,3,CV,large_neg,DV,-0.158170454545803,0.00754599282974059,Inf,-20.9608540737562,1.4938266770704e-97
QTL AF,2 - 8,2X,Chr,2,3,CV,large_neg,DV,-0.152522727272647,0.00754599282974017,Inf,-20.2124134907108,7.61326922135665e-91
QTL AF,2 - 8,20X,Peri,2,3,CV,large_neg,DV,-0.166129545454521,0.00754599282974172,Inf,-22.0155981065526,2.04159168668859e-107
QTL AF,2 - 8,2X,Peri,2,3,CV,large_neg,DV,-0.164002272727298,0.00754599282974134,Inf,-21.7336905066897,9.85542738629749e-105
QTL AF,2 - 8,20X,WT,2,3,CV,large_neg,DV,-0.178152272727265,0.00754599282974128,Inf,-23.6088579391578,3.12576913060345e-123
QTL AF,2 - 8,2X,WT,2,3,CV,large_neg,DV,-0.168709090909108,0.00754599282974138,Inf,-22.3574411897354,1.02207075843637e-110
QTL AF,2 - 8,20X,Chr,200,3,CV,large_neg,DV,0.0316806365511173,0.00754599282974054,Inf,4.19833907425097,2.6887982589915e-05
QTL AF,2 - 8,2X,Chr,200,3,CV,large_neg,DV,0.0262143962315436,0.00754599282974084,Inf,3.47394926327328,0.000512858000121767
QTL AF,2 - 8,20X,Peri,200,3,CV,large_neg,DV,0.0328293092836827,0.00754599282974144,Inf,4.35056195048195,1.35789083394019e-05
QTL AF,2 - 8,2X,Peri,200,3,CV,large_neg,DV,0.0299723084341745,0.00754599282974133,Inf,3.97195029341182,7.12865967751458e-05
QTL AF,2 - 8,20X,WT,200,3,CV,large_neg,DV,0.025321105233043,0.00754599282974117,Inf,3.35556974467886,0.000792016828794122
QTL AF,2 - 8,2X,WT,200,3,CV,large_neg,DV,0.0259471957917166,0.00754599282974131,Inf,3.43853968286982,0.000584860810140718
QTL AF,2 - 8,20X,Chr,2,4,CV,large_neg,DV,-0.0991409090909351,0.00754599282974292,Inf,-13.1382193606342,1.98851094287485e-39
QTL AF,2 - 8,2X,Chr,2,4,CV,large_neg,DV,-0.0865499999999964,0.00754599282974,Inf,-11.4696636947346,1.87386101900776e-30
QTL AF,2 - 8,20X,Peri,2,4,CV,large_neg,DV,-0.0985613636363628,0.00754599282974114,Inf,-13.061417610669,5.46996095871717e-39
QTL AF,2 - 8,2X,Peri,2,4,CV,large_neg,DV,-0.0811500000000227,0.0075459928297413,Inf,-10.7540520950647,5.67141076882129e-27
QTL AF,2 - 8,20X,WT,2,4,CV,large_neg,DV,-0.105856818181796,0.007545992829741,Inf,-14.0282161102225,1.0475350569965e-44
QTL AF,2 - 8,2X,WT,2,4,CV,large_neg,DV,-0.0906409090909254,0.00754599282974135,Inf,-12.0117936944862,3.08089217764893e-33
QTL AF,2 - 8,20X,Chr,200,4,CV,large_neg,DV,0.0268475977411722,0.00754599282974073,Inf,3.55786154942512,0.000373886281769129
QTL AF,2 - 8,2X,Chr,200,4,CV,large_neg,DV,0.0206066161643462,0.00754599282974076,Inf,2.73080251058947,0.0063180319255478
QTL AF,2 - 8,20X,Peri,200,4,CV,large_neg,DV,0.0245230789413143,0.00754599282974144,Inf,3.24981476852987,0.00115480199819054
QTL AF,2 - 8,2X,Peri,200,4,CV,large_neg,DV,0.0217225106928734,0.00754599282974142,Inf,2.87868159737143,0.00399341292558079
QTL AF,2 - 8,20X,WT,200,4,CV,large_neg,DV,0.0184756537807194,0.00754599282974133,Inf,2.44840595499913,0.014348988371262
QTL AF,2 - 8,2X,WT,200,4,CV,large_neg,DV,0.0228962384876886,0.0075459928297415,Inf,3.03422478715408,0.00241154671572412
QTL AF,2 - 8,20X,Chr,2,5,CV,large_neg,DV,-0.174520454545652,0.00754599282974403,Inf,-23.1275669727308,2.44534543642922e-118
