response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,large_neg - med_neg,2,20X,Chr,2,1,CV,DV,0.0339018181841099,0.00754599282973244,Inf,4.49269154491259,2.09509493838134e-05
QTL AF,med_neg - small_neg,2,20X,Chr,2,1,CV,DV,-0.0263949999998115,0.00754599282974288,Inf,-3.49788299503471,0.0013621572126189
QTL AF,large_neg - small_neg,8,20X,Chr,2,1,CV,DV,0.0427249999997065,0.00754599282972779,Inf,5.66194548070459,4.48640080641383e-08
QTL AF,med_neg - small_neg,8,20X,Chr,2,1,CV,DV,0.0397574999998442,0.0075459928297414,Inf,5.26869040255989,4.11484322837552e-07
QTL AF,large_neg - med_neg,2,2X,Chr,2,1,CV,DV,0.0301838636363038,0.00754599282973071,Inf,3.99998572982754,0.000187116341694216
QTL AF,med_neg - small_neg,2,2X,Chr,2,1,CV,DV,-0.019231590909022,0.00754599282974205,Inf,-2.54858324715363,0.0291301089944704
QTL AF,large_neg - small_neg,8,2X,Chr,2,1,CV,DV,0.04577954545471,0.00754599282974113,Inf,6.06673588056941,3.91476073779984e-09
QTL AF,med_neg - small_neg,8,2X,Chr,2,1,CV,DV,0.0431370454545533,0.0075459928297416,Inf,5.71655001904242,3.25892265395922e-08
QTL AF,large_neg - med_neg,2,20X,Peri,2,1,CV,DV,0.0284827272723596,0.00754599282973404,Inf,3.77455000488829,0.000470545196869288
QTL AF,med_neg - small_neg,2,20X,Peri,2,1,CV,DV,-0.0204872727272507,0.00754599282974056,Inf,-2.71498703875062,0.0181945054556937
QTL AF,large_neg - small_neg,8,20X,Peri,2,1,CV,DV,0.0440977272726609,0.00754599282974173,Inf,5.84386021397402,1.52930603736223e-08
QTL AF,med_neg - small_neg,8,20X,Peri,2,1,CV,DV,0.041408863636364,0.00754599282974131,Inf,5.48753021248014,1.22138818503537e-07
QTL AF,large_neg - med_neg,2,2X,Peri,2,1,CV,DV,0.0328487500001071,0.00754599282974143,Inf,4.35313824718181,3.99059611512209e-05
QTL AF,large_neg - small_neg,2,2X,Peri,2,1,CV,DV,0.0208204545455555,0.00754599282974143,Inf,2.75914051541299,0.0159820839846905
QTL AF,large_neg - small_neg,8,2X,Peri,2,1,CV,DV,0.0461840909089559,0.00754599282974158,Inf,6.12034651383806,2.80033185529049e-09
